Unnamed: 0,PIT,KAN
First Downs,18,18
Rush-Yds-TDs,24-147-0,29-138-1
Cmp-Att-Yd-TD-INT,16-29-209-1-2,21-32-251-1-0
Sacked-Yards,2-17,2-12
Net Pass Yards,192,239
Total Yards,339,377
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,1-5,6-66
Third Down Conv.,2-10,9-16
Fourth Down Conv.,1-2,0-0
Time of Possession,27:34,32:26
