Quarter,Time,Tm,Detail,HOU,CIN
1.0,0:48,Texans,Owen Daniels 12 yard pass from Matt Schaub (Kris Brown kick),7,0
2.0,11:33,Bengals,Cedric Benson 10 yard rush (Shayne Graham kick),7,7
,7:59,Texans,Steve Slaton 38 yard pass from Matt Schaub (Kris Brown kick),14,7
,0:48,Bengals,Laveranues Coles 8 yard pass from Carson Palmer (Shayne Graham kick),14,14
,0:00,Bengals,Shayne Graham 50 yard field goal,14,17
3.0,11:23,Texans,Jacoby Jones 23 yard pass from Matt Schaub (Kris Brown kick),21,17
,2:29,Texans,Owen Daniels 7 yard pass from Matt Schaub (Kris Brown kick),28,17
