Unnamed: 0,BAL,SFO
First Downs,25,15
Rush-Yds-TDs,22-77-0,25-65-0
Cmp-Att-Yd-TD-INT,33-53-343-2-2,16-27-340-2-0
Sacked-Yards,0-0,3-14
Net Pass Yards,343,326
Total Yards,420,391
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,3-15,4-25
Third Down Conv.,4-13,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,33:07,26:53
