Unnamed: 0,TAM,ARI
First Downs,21,16
Rush-Yds-TDs,30-115-0,27-121-1
Cmp-Att-Yd-TD-INT,32-48-281-1-2,25-46-221-0-1
Sacked-Yards,0-0,1-17
Net Pass Yards,281,204
Total Yards,396,325
Fumbles-Lost,0-0,2-2
Turnovers,2,3
Penalties-Yards,5-30,6-74
Third Down Conv.,6-17,5-19
Fourth Down Conv.,1-2,1-1
Time of Possession,36:57,29:22
