Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Leonard Fournette,TAM,20,72,0,2,40,2.0,32,1.6,0,
Rachaad White,TAM,7,36,0,2,20,2.9,16,2.3,0,
Tom Brady,TAM,2,1,0,1,0,0.0,1,0.5,0,
Ke'Shawn Vaughn,TAM,1,6,0,,5,5.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,ARI,15,79,1,5,57,3.8,22,1.5,1,15.0
Trace McSorley,ARI,7,14,0,1,12,1.7,2,0.3,0,
Greg Dortch,ARI,3,25,0,2,20,6.7,5,1.7,0,
Marquise Brown,ARI,1,1,0,0,0,0.0,1,1.0,0,
Keaontay Ingram,ARI,1,2,0,,2,2.0,0,0.0,0,
