Quarter,Time,Tm,Detail,HOU,JAX
1,8:33,Texans,Domanick Williams 1 yard rush (Kris Brown kick),7,0
2,6:46,Texans,Andre Johnson 10 yard pass from David Carr (Kris Brown kick),14,0
4,3:11,Texans,Antwan Peek 66 yard defensive fumble return (Kris Brown kick),21,0
