Unnamed: 0,PIT,CIN
First Downs,22,22
Rush-Yds-TDs,28-84-2,16-64-0
Cmp-Att-Yd-TD-INT,30-39-282-0-1,25-37-339-2-3
Sacked-Yards,2-12,3-18
Net Pass Yards,270,321
Total Yards,354,385
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,5-82,4-27
Third Down Conv.,8-14,3-8
Fourth Down Conv.,0-0,0-0
Time of Possession,35:47,24:13
