Quarter,Time,Tm,Detail,PIT,CIN
1.0,9:23,Steelers,DeAngelo Williams 1 yard rush (Chris Boswell kick),7,0
2.0,12:33,Steelers,Chris Boswell 42 yard field goal,10,0
,7:00,Steelers,Chris Boswell 47 yard field goal,13,0
,6:23,Bengals,A.J. Green 66 yard pass from A.J. McCarron (Mike Nugent kick),13,7
,0:22,Steelers,Chris Boswell 45 yard field goal,16,7
3.0,14:10,Steelers,William Gay 23 yard interception return (Chris Boswell kick),23,7
,10:10,Bengals,Mike Nugent 46 yard field goal,23,10
4.0,14:56,Steelers,Chris Boswell 31 yard field goal,26,10
,10:06,Bengals,Mike Nugent 27 yard field goal,26,13
,3:49,Steelers,DeAngelo Williams 1 yard rush (Chris Boswell kick),33,13
,1:03,Bengals,Rex Burkhead 5 yard pass from A.J. McCarron (Mike Nugent kick),33,20
