Unnamed: 0,ATL,NOR
First Downs,21,19
Rush-Yds-TDs,16-26-0,31-150-0
Cmp-Att-Yd-TD-INT,35-47-377-2-1,15-22-171-4-1
Sacked-Yards,6-37,2-9
Net Pass Yards,340,162
Total Yards,366,312
Fumbles-Lost,5-3,1-0
Turnovers,4,1
Penalties-Yards,2-26,3-19
Third Down Conv.,5-15,5-11
Fourth Down Conv.,4-6,0-0
Time of Possession,30:59,29:01
