Unnamed: 0,PHI,NYG
First Downs,22,22
Rush-Yds-TDs,23-156-2,36-151-3
Cmp-Att-Yd-TD-INT,21-37-208-0-0,21-28-244-0-0
Sacked-Yards,3-18,3-13
Net Pass Yards,190,231
Total Yards,346,382
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,11-74,7-64
Third Down Conv.,0-9,5-14
Fourth Down Conv.,1-3,1-2
Time of Possession,28:17,31:43
