Quarter,Time,Tm,Detail,PHI,NYG
1.0,11:11,Giants,Daniel Jones 34 yard rush (Graham Gano kick),0,7
,6:27,Eagles,Jake Elliott 40 yard field goal,3,7
2.0,14:57,Giants,Wayne Gallman 2 yard rush (Graham Gano kick),3,14
3.0,12:31,Eagles,Boston Scott 56 yard rush (Miles Sanders run),11,14
,9:49,Giants,Wayne Gallman 1 yard rush (Graham Gano kick),11,21
,5:20,Eagles,Corey Clement 5 yard rush (pass failed),17,21
4.0,7:45,Giants,Graham Gano 35 yard field goal,17,24
,3:06,Giants,Graham Gano 44 yard field goal,17,27
