Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short right to Rob Gronkowski for 9 yards (tackle by Myles Jack),0.610,1.280
1,14:26,2,1,NWE 34,0,0,Rex Burkhead up the middle for 2 yards (tackle by Marcell Dareus),1.280,1.330
1,13:51,1,10,NWE 36,0,0,Rex Burkhead up the middle for 2 yards (tackle by Myles Jack),1.330,1.060
1,13:12,2,8,NWE 38,0,0,Tom Brady pass complete short left to Jacob Hollister for 23 yards (tackle by A.J. Bouye),1.060,2.980
1,12:36,1,10,JAX 39,0,0,Tom Brady pass incomplete short left intended for Rob Gronkowski,2.980,2.440
1,12:30,2,10,JAX 39,0,0,Rex Burkhead left end for 3 yards (tackle by Calais Campbell),2.440,2.150
1,11:49,3,7,JAX 36,0,0,Tom Brady pass incomplete short right intended for Chris Hogan,2.150,0.880
1,11:49,4,7,JAX 36,0,0,Stephen Gostkowski 54 yard field goal no good,0.880,-1.860
1,11:38,1,10,JAX 44,0,0,T.J. Yeldon up the middle for 4 yards (tackle by Elandon Roberts),1.860,1.860
1,11:06,2,6,JAX 48,0,0,Blake Bortles pass incomplete short right intended for Donte Moncrief,1.860,1.160
1,11:02,3,6,JAX 48,0,0,Blake Bortles pass complete short middle to Austin Seferian-Jenkins for 11 yards (tackle by Devin McCourty),1.160,2.850
1,10:28,1,10,NWE 41,0,0,"Blake Bortles pass complete short left to Dede Westbrook for 4 yards (tackle by Trey Flowers). Dede Westbrook fumbles (forced by Trey Flowers), recovered by DJ Chark at NE-37 and returned for 7 yards (tackle by Eric Rowe)",2.850,3.580
1,9:38,1,10,NWE 30,0,0,Blake Bortles pass complete short left to Corey Grant for 15 yards (tackle by Kyle Van Noy),3.580,4.580
1,9:03,1,10,NWE 15,0,0,T.J. Yeldon up the middle for 3 yards (tackle by Trey Flowers),4.580,4.450
1,8:28,2,7,NWE 12,0,0,Blake Bortles pass incomplete short left intended for T.J. Yeldon,4.450,3.580
1,8:23,3,7,NWE 12,0,0,Blake Bortles pass complete short middle to Corey Grant for 8 yards (tackle by Kyle Van Noy),3.580,6.280
1,7:52,1,4,NWE 4,0,6,"Blake Bortles pass complete short right to Donte Moncrief for 4 yards, touchdown",6.280,7.000
1,7:46,,,NWE 15,0,7,Josh Lambo kicks extra point good,0.000,0.000
1,7:46,,,JAX 35,0,7,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,7:46,1,10,NWE 25,0,7,Tom Brady pass complete short left to Sony Michel for 7 yards (tackle by Jalen Ramsey),0.610,1.010
1,7:21,2,3,NWE 32,0,7,Sony Michel left end for 2 yards (tackle by Ronnie Harrison),1.010,0.560
1,6:52,3,1,NWE 34,0,7,Sony Michel left end for -1 yards (tackle by Malik Jackson),0.560,-1.180
1,6:14,4,2,NWE 33,0,7,"Ryan Allen punts 56 yards, returned by Jaydon Mickens for 5 yards (tackle by Ja'Whaun Bentley)",-1.180,0.140
1,6:02,1,10,JAX 16,0,7,Blake Bortles pass complete short left to Donte Moncrief for 4 yards (tackle by Kyle Van Noy),-0.140,0.010
1,5:28,2,6,JAX 20,0,7,Blake Bortles pass incomplete short left intended for T.J. Yeldon,0.010,-0.820
1,5:21,3,6,JAX 20,0,7,Blake Bortles left end for 9 yards (tackle by Ja'Whaun Bentley),-0.820,0.870
1,4:50,1,10,JAX 29,0,7,"Penalty on James O'Shaughnessy: False Start, 5 yards (no play)",0.870,0.540
1,4:30,1,15,JAX 24,0,7,Blake Bortles pass complete short left to Keelan Cole for 22 yards (tackle by Eric Rowe),0.540,1.990
1,3:46,1,10,JAX 46,0,7,Blake Bortles pass complete short right to Corey Grant for 13 yards (tackle by Kyle Van Noy),1.990,2.850
1,2:59,1,10,NWE 41,0,7,Blake Bortles pass complete short right to James O'Shaughnessy for 17 yards (tackle by Patrick Chung),2.850,3.970
1,2:18,1,10,NWE 24,0,13,"Blake Bortles pass complete deep left to Keelan Cole for 24 yards, touchdown, touchdown",3.970,7.000
1,2:10,,,NWE 15,0,14,Josh Lambo kicks extra point good,0.000,0.000
1,2:10,,,JAX 35,0,14,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,2:10,1,10,NWE 25,0,14,Sony Michel up the middle for 3 yards (tackle by Marcell Dareus),0.610,0.470
1,1:37,2,7,NWE 28,0,14,Tom Brady pass incomplete short left intended for Sony Michel,0.470,-0.230
1,1:32,3,7,NWE 28,0,14,Tom Brady pass complete short left to James White for 12 yards (tackle by Telvin Smith),-0.230,1.600
1,0:58,1,10,NWE 40,0,14,Sony Michel right end for 5 yards (tackle by Telvin Smith),1.600,1.730
1,0:12,2,5,NWE 45,0,14,Tom Brady pass incomplete short left intended for Chris Hogan,1.730,1.030
1,0:07,3,5,NWE 45,0,14,James White up the middle for 3 yards (tackle by Barry Church),1.030,-0.190
Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,NWE 48,0,14,"Ryan Allen punts 52 yards, touchback.",-0.190,-0.280
2,14:52,1,10,JAX 20,0,14,T.J. Yeldon left end for 15 yards (tackle by Dont'a Hightower),0.280,1.270
2,14:15,1,10,JAX 35,0,14,T.J. Yeldon left end for 20 yards (tackle by Devin McCourty),1.270,2.590
2,13:38,1,10,NWE 45,0,14,Brandon Wilds up the middle for 2 yards (tackle by Patrick Chung),2.590,2.310
2,12:54,2,8,NWE 43,0,14,Corey Grant left end for 1 yard (tackle by Keionta Davis),2.310,1.750
2,12:23,3,7,NWE 42,0,14,"Blake Bortles pass complete short right to Donte Moncrief for 7 yards (tackle by Nate Ebner). Penalty on Andrew Norwell: Illegal Use of Hands, 10 yards (no play)",1.750,0.430
2,12:02,3,17,JAX 48,0,14,Blake Bortles pass complete short middle to Donte Moncrief for 12 yards (tackle by Jason McCourty),0.430,0.590
2,11:13,4,5,NWE 40,0,14,Logan Cooke punts 34 yards downed by Jarrod Wilson,0.590,0.380
2,11:05,1,10,NWE 6,0,14,Tom Brady pass complete short middle to Phillip Dorsett for 6 yards (tackle by A.J. Bouye),-0.380,-0.340
2,10:25,2,4,NWE 12,0,14,Tom Brady pass complete short right to Jacob Hollister for 3 yards (tackle by Ronnie Harrison),-0.340,-0.370
2,9:44,,,,,,Timeout #1 by New England Patriots,,
2,9:44,3,1,NWE 15,0,14,Tom Brady up the middle for 1 yard (tackle by Myles Jack),-0.370,-0.140
2,9:00,1,10,NWE 16,0,14,Cordarrelle Patterson up the middle for 5 yards (tackle by Myles Jack),-0.140,0.150
2,8:16,2,5,NWE 21,0,14,Tom Brady pass complete short right to Rob Gronkowski for 6 yards (tackle by Myles Jack),0.150,0.740
2,7:37,1,10,NWE 27,0,14,Tom Brady pass complete short left to Phillip Dorsett for 14 yards (tackle by Tashaun Gipson),0.740,1.660
2,7:00,1,10,NWE 41,0,14,Sony Michel right end for 3 yards (tackle by Myles Jack and Barry Church),1.660,1.530
2,6:27,2,7,NWE 44,0,14,Tom Brady pass complete short middle to James White for 11 yards (tackle by Ronnie Harrison),1.530,2.590
2,5:45,1,10,JAX 45,0,14,James White up the middle for 2 yards (tackle by D.J. Hayden),2.590,2.310
2,5:02,2,8,JAX 43,0,14,Tom Brady pass complete short left to James White for 10 yards (tackle by Jalen Ramsey),2.310,3.380
2,4:35,1,10,JAX 33,0,14,James White left end for 5 yards (tackle by Ronnie Harrison),3.380,3.510
2,4:14,2,5,JAX 28,0,14,"Tom Brady pass complete short middle to Chris Hogan for 6 yards (tackle by Telvin Smith). Penalty on Telvin Smith: Lowering the Head to Initiate Contact, 11 yards",3.510,4.840
2,3:38,1,10,JAX 11,0,14,Tom Brady pass incomplete short right intended for Phillip Dorsett,4.840,4.140
2,3:33,2,10,JAX 11,0,14,Tom Brady pass complete short right to Phillip Dorsett for no gain (tackle by Telvin Smith),4.140,3.130
2,2:56,3,10,JAX 11,0,14,Tom Brady pass incomplete short left intended for Cordarrelle Patterson,3.130,2.700
2,2:49,4,10,JAX 11,3,14,Stephen Gostkowski 29 yard field goal good,2.700,3.000
2,2:45,,,NWE 35,3,14,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,2:45,1,10,JAX 25,3,14,Blake Bortles pass complete short right to T.J. Yeldon for 11 yards (tackle by Patrick Chung),0.610,1.330
2,2:13,1,10,JAX 36,3,14,Blake Bortles up the middle for 3 yards (tackle by Dont'a Hightower),1.330,1.200
2,2:00,2,7,JAX 39,3,14,Blake Bortles pass incomplete short middle intended for Keelan Cole,1.200,0.500
2,1:56,3,7,JAX 39,3,14,Blake Bortles pass complete short left to Austin Seferian-Jenkins for 8 yards (tackle by Devin McCourty),0.500,2.060
2,1:32,1,10,JAX 47,3,14,Blake Bortles pass incomplete short left intended for Dede Westbrook,2.060,1.520
2,1:28,2,10,JAX 47,3,14,Blake Bortles pass complete short middle to Keelan Cole for 17 yards (tackle by Jason McCourty),1.520,3.180
2,1:04,1,10,NWE 36,3,14,Blake Bortles pass incomplete short left,3.180,2.640
2,1:00,2,10,NWE 36,3,14,Blake Bortles pass complete short middle to Keelan Cole for 14 yards (tackle by Jason McCourty),2.640,4.110
2,0:54,1,10,NWE 22,3,14,Blake Bortles pass incomplete deep left intended for Corey Grant,4.110,3.560
2,0:48,2,10,NWE 22,3,14,Blake Bortles pass complete short left to Dede Westbrook for 11 yards (tackle by Jonathan Jones),3.560,4.840
