Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Sony Michel,NWE,10,34,0,1,19,1.9,15,1.5,2,5.0
Rex Burkhead,NWE,6,22,0,2,16,2.7,6,1.0,0,
James White,NWE,4,11,0,0,6,1.5,5,1.3,1,4.0
Tom Brady,NWE,3,10,0,2,9,3.0,1,0.3,0,
Cordarrelle Patterson,NWE,1,5,0,0,2,2.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
T.J. Yeldon,JAX,10,58,0,2,34,3.4,24,2.4,0,
Blake Bortles,JAX,6,35,0,3,22,3.7,13,2.2,0,
Corey Grant,JAX,4,13,0,0,-1,-0.3,14,3.5,0,
Brandon Wilds,JAX,3,4,0,,1,0.3,3,1.0,0,
Dede Westbrook,JAX,1,-6,0,0,-6,-6.0,0,0.0,0,
