Unnamed: 0,TAM,NOR
First Downs,16,26
Rush-Yds-TDs,14-71-0,32-152-1
Cmp-Att-Yd-TD-INT,28-41-375-4-2,22-39-215-2-0
Sacked-Yards,3-25,1-6
Net Pass Yards,350,209
Total Yards,421,361
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,11-99,2-10
Third Down Conv.,8-13,5-14
Fourth Down Conv.,0-1,2-3
Time of Possession,26:44,33:16
