Quarter,Time,Tm,Detail,TAM,NOR
1.0,8:28,Buccaneers,Chris Godwin 12 yard pass from Tom Brady (Ryan Succop kick),7,0
,2:39,Saints,Tre'Quan Smith 16 yard pass from Jameis Winston (Brian Johnson kick),7,7
2.0,2:20,Saints,Brian Johnson 23 yard field goal,7,10
,0:27,Saints,Alex Armah 1 yard pass from Trevor Siemian (Brian Johnson kick failed),7,16
3.0,9:01,Saints,Alvin Kamara 1 yard rush (Brian Johnson kick),7,23
,5:33,Buccaneers,Giovani Bernard 7 yard pass from Tom Brady (Ryan Succop kick),14,23
,1:15,Buccaneers,Mike Evans 41 yard pass from Tom Brady (Ryan Succop kick),21,23
4.0,8:31,Saints,Brian Johnson 35 yard field goal,21,26
,5:44,Buccaneers,Cyril Grayson 50 yard pass from Tom Brady (run failed),27,26
,1:41,Saints,Brian Johnson 23 yard field goal,27,29
,1:24,Saints,P.J. Williams 40 yard interception return (Brian Johnson kick),27,36
