Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 65 yards, returned by MarTay Jenkins for 20 yards (tackle by Kevin Lewis)",0.000,0.610
1,14:55,1,10,ARI 25,0,0,Thomas Jones right end for no gain (tackle by Brandon Short),0.610,0.060
1,14:17,2,10,ARI 25,0,0,Thomas Jones left guard for 1 yard (tackle by Cornelius Griffin),0.060,-0.490
1,13:42,3,9,ARI 26,0,0,Jake Plummer sacked by Michael Strahan and Kenny Holmes for -7 yards,-0.490,-2.140
1,13:11,4,16,ARI 19,0,0,"Scott Player punts 35 yards, returned by Daryl Jones for 8 yards (tackle by Michael Young)",-2.140,-2.520
1,12:59,1,10,ARI 46,0,0,Kerry Collins pass incomplete intended for Tiki Barber (defended by Russell Davis),2.520,1.980
1,12:56,2,10,ARI 46,0,0,Kerry Collins pass complete to Amani Toomer for 12 yards (tackle by Kwamie Lassiter),1.980,3.310
1,12:27,1,10,ARI 34,0,0,"Kerry Collins pass complete to Dan Campbell for 4 yards (tackle by Rob Fredrickson and Barron Tanner). Penalty on Renaldo Hill: Illegal Contact, 5 yards (no play)",3.310,3.640
1,12:09,1,10,ARI 29,0,0,Tiki Barber left guard for 2 yards (tackle by Raynoch Thompson),3.640,3.370
1,11:29,2,8,ARI 27,0,0,"Kerry Collins pass incomplete intended for Ike Hilliard. Penalty on Mike Rosenthal: Offensive Holding, 10 yards (no play)",3.370,2.020
1,11:23,2,18,ARI 37,0,0,Kerry Collins pass complete to Jeremy Shockey for 19 yards (tackle by Adrian Wilson),2.020,4.370
1,10:38,1,10,ARI 18,0,0,Kerry Collins pass complete to Tiki Barber for 5 yards (tackle by Ronald McKinnon and Raynoch Thompson),4.370,4.610
1,10:00,2,5,ARI 13,0,0,Ron Dayne left guard for 3 yards (tackle by Raynoch Thompson),4.610,4.510
1,9:26,3,2,ARI 10,0,0,Kerry Collins pass complete to Jeremy Shockey for 4 yards (tackle by Renaldo Hill and Raynoch Thompson),4.510,5.830
1,8:44,1,6,ARI 6,6,0,"Tiki Barber left tackle for 6 yards, touchdown",5.830,7.000
1,8:44,,,ARI 6,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,8:44,,,NYG 30,7,0,"Matt Bryant kicks off 67 yards, returned by MarTay Jenkins for 22 yards (tackle by Marcellus Rivers)",0.000,0.610
1,8:31,1,10,ARI 25,7,0,Jake Plummer pass complete to MarTay Jenkins for 8 yards (tackle by Will Allen),0.610,1.140
1,7:56,2,2,ARI 33,7,0,Thomas Jones middle for 2 yards (tackle by Michael Strahan and Keith Hamilton),1.140,1.270
1,7:19,1,10,ARI 35,7,0,Thomas Jones left guard for -1 yards (tackle by Cornelius Griffin),1.270,0.590
1,6:45,2,11,ARI 34,7,0,Jake Plummer pass complete to Freddie Jones for 2 yards (tackle by Jason Sehorn),0.590,0.170
1,6:02,3,9,ARI 36,7,0,Jake Plummer pass incomplete intended for MarTay Jenkins,0.170,-0.980
1,5:57,4,9,ARI 36,7,0,"Scott Player punts 37 yards, returned by Daryl Jones for 2 yards (tackle by Nathan Hodel). Penalty on Marcellus Rivers: Illegal Block Above the Waist, 10 yards",-0.980,-0.150
1,5:46,1,10,NYG 19,7,0,Kerry Collins pass complete to Jeremy Shockey for 23 yards (tackle by Adrian Wilson),0.150,1.730
1,5:05,1,10,NYG 42,7,0,Kerry Collins pass complete to Ike Hilliard for 8 yards (tackle by David Barrett),1.730,2.270
1,4:30,2,2,,7,0,Tiki Barber left end for 13 yards (tackle by Adrian Wilson),2.270,3.120
1,4:03,1,10,ARI 37,7,0,Kerry Collins pass incomplete intended for Jeremy Shockey is intercepted by David Barrett at ARI-11 and returned for 22 yards,3.120,-1.140
1,3:50,1,10,ARI 33,7,0,Jake Plummer pass complete to David Boston for 14 yards (tackle by Will Allen),1.140,2.060
1,3:18,1,10,ARI 47,7,0,Thomas Jones middle for -1 yards (tackle by Daryl Jones),2.060,1.380
1,2:36,2,11,ARI 46,7,0,"Thomas Jones right end for 4 yards (tackle by Daryl Jones and Micheal Barrow). Penalty on Keith Hamilton: Defensive Offside (Offsetting), Penalty on Leonard Davis: Offensive Holding (Offsetting) (no play)",1.380,1.380
1,2:04,2,11,ARI 46,7,0,Jake Plummer pass incomplete intended for Thomas Jones,1.380,0.700
1,2:00,3,11,ARI 46,7,0,Jake Plummer pass complete to MarTay Jenkins for 7 yards (tackle by Shaun Williams),0.700,0.130
1,1:15,4,4,NYG 47,7,0,"Scott Player punts 38 yards, out of bounds",0.130,0.380
1,1:08,1,10,NYG 9,7,0,Ron Dayne left tackle for 1 yard (tackle by Wendell Bryant),-0.380,-0.710
1,0:34,2,9,NYG 10,7,0,Kerry Collins pass complete to Amani Toomer for 11 yards (tackle by David Barrett),-0.710,0.340
Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA
