Unnamed: 0,NYG,ARI
First Downs,14,18
Rush-Yds-TDs,17-67-1,36-102-1
Cmp-Att-Yd-TD-INT,19-36-199-0-2,23-32-168-1-0
Sacked-Yards,1-3,1-7
Net Pass Yards,196,161
Total Yards,263,263
Fumbles-Lost,1-1,2-1
Turnovers,3,1
Penalties-Yards,10-110,5-35
Third Down Conv.,3-11,10-17
Fourth Down Conv.,1-3,0-1
Time of Possession,23:55,36:05
