Quarter,Time,Tm,Detail,BAL,BUF
1.0,4:56,Ravens,Justin Tucker 36 yard field goal,3,0
2.0,13:31,Ravens,Nick Boyle 3 yard pass from Lamar Jackson (Justin Tucker kick),10,0
,8:20,Bills,Stephen Hauschka 36 yard field goal,10,3
,0:25,Bills,Stephen Hauschka 47 yard field goal,10,6
3.0,13:34,Ravens,Hayden Hurst 61 yard pass from Lamar Jackson (Justin Tucker kick),17,6
,11:26,Bills,Stephen Hauschka 48 yard field goal,17,9
4.0,9:49,Ravens,Willie Snead 4 yard pass from Lamar Jackson (Justin Tucker kick),24,9
,7:00,Bills,Cole Beasley 3 yard pass from Josh Allen (Cole Beasley pass from Josh Allen),24,17
