Unnamed: 0,BAL,BUF
First Downs,18,16
Rush-Yds-TDs,33-118-0,23-104-0
Cmp-Att-Yd-TD-INT,16-25-145-3-1,17-39-146-1-0
Sacked-Yards,1-6,6-41
Net Pass Yards,139,105
Total Yards,257,209
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,9-99,5-49
Third Down Conv.,3-11,4-17
Fourth Down Conv.,0-0,0-1
Time of Possession,32:49,27:11
