Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 57 yards, returned by Andre Roberts for 19 yards (tackle by L.J. Fort)",0.000,0.740
1,14:54,1,10,BUF 27,0,0,Devin Singletary left guard for 1 yard (tackle by Michael Pierce and Brandon Williams),0.740,0.330
1,14:22,2,9,BUF 28,0,0,Devin Singletary right tackle for 5 yards (tackle by Brandon Williams),0.330,0.300
1,13:45,3,4,BUF 33,0,0,Josh Allen pass incomplete deep middle intended for John Brown,0.300,-1.180
1,13:39,4,4,BUF 33,0,0,"Corey Bojorquez punts 67 yards, touchback.",-1.180,-0.280
1,13:30,1,10,BAL 20,0,0,Mark Ingram left guard for 3 yards (tackle by Jordan Poyer and Matt Milano),0.280,0.140
1,12:50,2,7,BAL 23,0,0,Lamar Jackson pass complete short right to Mark Andrews for 14 yards (tackle by Jordan Poyer),0.140,1.400
1,12:12,1,10,BAL 37,0,0,Lamar Jackson left tackle for 16 yards (tackle by Jordan Poyer),1.400,2.460
1,11:34,1,10,BUF 47,0,0,Lamar Jackson pass complete short right to Willie Snead for 2 yards (tackle by Levi Wallace),2.460,2.180
1,10:56,2,8,BUF 45,0,0,Lamar Jackson pass incomplete deep right intended for Mark Andrews,2.180,1.490
1,10:48,3,8,BUF 45,0,0,Lamar Jackson pass incomplete short left intended for Seth Roberts,1.490,0.270
1,10:43,4,8,BUF 45,0,0,"Sam Koch punts 33 yards, fair catch by Andre Roberts at BUF-12",0.270,0.350
1,10:35,1,10,BUF 12,0,0,Devin Singletary left guard for -2 yards (tackle by Marlon Humphrey and Chris Wormley),-0.350,-0.930
1,10:07,2,12,BUF 10,0,0,Josh Allen sacked by Josh Bynes for no gain,-0.930,-1.650
1,9:32,3,12,BUF 10,0,0,Josh Allen pass incomplete deep left intended for Robert Foster,-1.650,-2.490
1,9:26,4,12,BUF 10,0,0,Corey Bojorquez punts 35 yards downed by Patrick DiMarco,-2.490,-2.590
1,9:16,1,10,BUF 45,0,0,Mark Ingram left guard for 4 yards (tackle by Ed Oliver and Shaq Lawson),2.590,2.580
1,8:42,2,6,BUF 41,0,0,Mark Ingram right guard for 9 yards (tackle by Tremaine Edmunds and Jordan Poyer),2.580,3.450
1,7:59,1,10,BUF 32,0,0,Lamar Jackson right tackle for 7 yards (tackle by Lorenzo Alexander),3.450,3.850
1,7:14,2,3,BUF 25,0,0,Gus Edwards up the middle for 7 yards (tackle by Tremaine Edmunds and Jordan Poyer),3.850,4.370
1,6:35,1,10,BUF 18,0,0,Mark Ingram right tackle for 6 yards (tackle by Lorenzo Alexander),4.370,4.810
1,5:53,2,4,BUF 12,0,0,Justice Hill left end for -6 yards (tackle by Tremaine Edmunds),4.810,3.050
1,5:06,3,10,BUF 18,0,0,Lamar Jackson pass incomplete deep right intended for Mark Andrews,3.050,2.250
1,5:00,4,10,BUF 18,3,0,Justin Tucker 36 yard field goal good,2.250,3.000
1,4:56,,,BAL 35,3,0,"Justin Tucker kicks off 70 yards, returned by Andre Roberts for 22 yards (tackle by Chris Board)",0.000,-0.060
1,4:51,1,10,BUF 17,3,0,Josh Allen pass complete short left to Devin Singletary for 10 yards (tackle by Earl Thomas),-0.060,0.740
1,4:26,1,10,BUF 27,3,0,Josh Allen pass incomplete short right intended for Isaiah McKenzie (defended by Marcus Peters),0.740,0.200
1,4:20,2,10,BUF 27,3,0,Josh Allen pass incomplete deep left intended for Dawson Knox,0.200,-0.490
1,4:14,3,10,BUF 27,3,0,Josh Allen pass incomplete deep left intended for John Brown,-0.490,-1.570
1,4:07,4,10,BUF 27,3,0,"Corey Bojorquez punts 41 yards, returned by De'Anthony Thomas for 1 yard (tackle by Siran Neal)",-1.570,-1.140
