Unnamed: 0,MIN,CHI
First Downs,15,17
Rush-Yds-TDs,16-40-1,33-72-0
Cmp-Att-Yd-TD-INT,27-36-233-0-0,24-33-204-1-0
Sacked-Yards,6-51,1-7
Net Pass Yards,182,197
Total Yards,222,269
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,7-55,7-50
Third Down Conv.,5-13,5-16
Fourth Down Conv.,1-2,2-3
Time of Possession,24:33,35:27
