Unnamed: 0,WAS,STL
First Downs,22,25
Rush-Yds-TDs,38-176-3,39-197-1
Cmp-Att-Yd-TD-INT,13-26-160-1-0,25-38-388-4-0
Sacked-Yards,0-0,1-6
Net Pass Yards,160,382
Total Yards,336,579
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,2-58,6-30
Third Down Conv.,4-12,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:56,36:37
