Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 66 yards, returned by Allen Rossum for 20 yards (tackle by Dane Looker)",0.000,0.540
1,14:53,1,10,ATL 24,0,0,Warrick Dunn right tackle for 4 yards (tackle by Anthony Hargrove),0.540,0.540
1,14:17,2,6,ATL 28,0,0,Michael Vick pass complete to Alge Crumpler for 4 yards (tackle by Tommy Polley),0.540,0.370
1,13:37,3,2,ATL 32,0,0,Michael Vick for 47 yards (tackle by Antuan Edwards),0.370,4.170
1,12:49,1,10,STL 21,0,0,Warrick Dunn left tackle for 3 yards (tackle by Robert W. Thomas),4.170,4.040
1,12:09,2,7,STL 18,0,6,"Michael Vick pass complete to Alge Crumpler for 18 yards, touchdown",4.040,7.000
1,,,,STL 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Jay Feely kicks off 70 yards, returned by Aveion Cason for 19 yards (tackle by Bryan Scott)",0.000,0.150
1,11:53,1,10,STL 19,0,7,Marshall Faulk right end for 4 yards (tackle by DeAngelo Hall),0.150,0.210
1,11:24,2,6,STL 23,0,7,Marshall Faulk right end for 7 yards (tackle by DeAngelo Hall),0.210,0.940
1,10:42,1,10,STL 30,0,7,Marshall Faulk left tackle for 6 yards (tackle by Brady Smith),0.940,1.200
1,10:04,2,4,STL 36,0,7,Marshall Faulk up the middle for 7 yards (tackle by Bryan Scott),1.200,1.800
1,9:27,1,10,STL 43,6,7,"Marc Bulger pass complete to Kevin Curtis for 57 yards, touchdown",1.800,7.000
1,,,,ATL 2,7,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,7,"Jeff Wilkins kicks off 68 yards, returned by Allen Rossum for 18 yards (tackle by Brandon Chillar)",0.000,0.280
1,9:07,1,10,ATL 20,7,7,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Bryce Fisher: Defensive Offside, 5 yards (no play)",0.280,1.010
1,9:00,1,5,ATL 25,7,7,Michael Vick pass incomplete intended for Eric Beverly (defended by Antuan Edwards),1.010,0.410
1,8:54,2,5,ATL 25,7,7,Warrick Dunn up the middle for 13 yards (tackle by Robert W. Thomas),0.410,1.470
1,8:14,1,10,ATL 38,7,7,Michael Vick pass incomplete intended for Alge Crumpler (defended by Tommy Polley),1.470,0.920
1,8:05,2,10,ATL 38,7,13,"Warrick Dunn up the middle for 62 yards, touchdown",0.920,7.000
1,,,,STL 2,7,14,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,7,14,"Jay Feely kicks off 70 yards, returned by Aveion Cason for 23 yards (tackle by Siddeeq Shabazz)",0.000,0.480
1,7:45,1,10,STL 23,7,14,Marshall Faulk left end for 4 yards (tackle by Jason Webster),0.480,0.470
1,7:03,2,6,STL 27,7,14,Marc Bulger pass incomplete intended for Torry Holt,0.470,-0.230
1,6:54,3,6,STL 27,7,14,Marc Bulger pass complete to Kevin Curtis for 21 yards,-0.230,2.130
1,6:18,1,10,STL 48,7,14,Steven Jackson right end for -2 yards (tackle by Patrick Kerney),2.130,1.310
1,5:38,2,12,STL 46,7,14,Marc Bulger pass incomplete intended for Torry Holt,1.310,0.630
1,5:31,3,12,STL 46,7,14,Marc Bulger pass complete to Torry Holt for 14 yards (tackle by DeAngelo Hall),0.630,2.920
1,4:49,1,10,ATL 40,7,14,Marc Bulger sacked by Travis Hall for -2 yards,2.920,2.100
1,4:15,2,12,ATL 42,7,14,Steven Jackson left tackle for -1 yards (tackle by Keith Brooking),2.100,1.290
1,3:32,3,13,ATL 43,7,14,Marc Bulger pass incomplete intended for Torry Holt,1.290,0.400
1,3:26,4,13,ATL 43,7,14,"Kevin Stemke punts 43 yards, touchback",0.400,-0.280
1,3:16,1,10,ATL 20,7,14,Warrick Dunn left tackle for 3 yards (tackle by Tommy Polley),0.280,0.140
1,2:40,2,7,ATL 23,7,14,Warrick Dunn pass complete to Michael Vick for 2 yards (tackle by Robert W. Thomas),0.140,-0.300
1,1:58,3,5,ATL 25,7,14,Michael Vick pass complete to Brian Finneran for 6 yards (tackle by Tommy Polley),-0.300,1.000
1,1:20,1,10,ATL 31,7,14,Warrick Dunn left tackle for 21 yards (tackle by Antuan Edwards),1.000,2.390
1,0:43,1,10,STL 48,7,14,Michael Vick left end for 9 yards (tackle by Adam Archuleta and Ryan Pickett),2.390,3.060
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,STL 39,7,14,T.J. Duckett right tackle for no gain (tackle by Ryan Pickett),3.060,2.340
2,14:37,3,1,STL 39,7,14,Michael Vick up the middle for no gain (tackle by Jimmy Kennedy),2.340,0.660
2,14:15,4,1,STL 39,7,14,T.J. Duckett left tackle for 5 yards (tackle by Antuan Edwards),0.660,3.310
2,13:25,1,10,STL 34,7,14,"T.J. Duckett up the middle for 1 yard (tackle by Leonard Little). Penalty on Roberto Garza: Offensive Holding, 10 yards (no play)",3.310,2.650
2,13:06,1,20,STL 44,7,14,Michael Vick right tackle for 8 yards (tackle by Leonard Little),2.650,2.500
2,12:19,2,12,STL 36,7,14,Michael Vick pass complete to Warrick Dunn for 2 yards (tackle by Leonard Little),2.500,2.080
2,11:32,3,10,STL 34,7,14,Michael Vick pass complete to Michael Jenkins for 14 yards (tackle by Antuan Edwards),2.080,4.240
2,10:48,1,10,STL 20,7,14,Warrick Dunn left tackle for 1 yard (tackle by Brian Howard),4.240,3.820
2,10:06,2,9,STL 19,7,20,"Warrick Dunn right tackle for 19 yards, touchdown",3.820,7.000
2,,,,STL 2,7,21,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,7,21,"Jay Feely kicks off 67 yards, returned by Aveion Cason for 22 yards (tackle by Carey Davis)",0.000,0.610
2,9:51,1,10,STL 25,7,21,Steven Jackson left end for 9 yards (tackle by Bryan Scott),0.610,1.280
2,9:14,2,1,STL 34,7,21,Steven Jackson left tackle for 5 yards (tackle by Kevin Mathis),1.280,1.530
2,8:28,1,10,STL 39,7,21,Steven Jackson left end for 15 yards (tackle by Matt Stewart),1.530,2.520
