Unnamed: 0,STL,ATL
First Downs,19,18
Rush-Yds-TDs,18-77-0,40-327-3
Cmp-Att-Yd-TD-INT,23-35-299-2-1,13-17-84-2-0
Sacked-Yards,4-37,1-14
Net Pass Yards,262,70
Total Yards,339,397
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,4-26,4-32
Third Down Conv.,6-10,7-12
Fourth Down Conv.,0-0,2-2
Time of Possession,24:25,35:35
