Unnamed: 0,GNB,DAL
First Downs,24,32
Rush-Yds-TDs,29-120-4,21-122-1
Cmp-Att-Yd-TD-INT,22-34-238-0-0,27-44-463-2-3
Sacked-Yards,2-23,3-22
Net Pass Yards,215,441
Total Yards,335,563
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,9-78,11-124
Third Down Conv.,3-12,2-8
Fourth Down Conv.,0-0,0-0
Time of Possession,36:43,23:17
