Quarter,Time,Tm,Detail,GNB,DAL
1.0,8:57,Packers,Aaron Jones 18 yard rush (Mason Crosby kick),7,0
,0:03,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),14,0
2.0,2:19,Packers,Mason Crosby 20 yard field goal,17,0
3.0,9:33,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),24,0
,5:54,Cowboys,Brett Maher 36 yard field goal,24,3
,3:30,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),31,3
,2:00,Cowboys,Michael Gallup 40 yard pass from Dak Prescott (Brett Maher kick),31,10
4.0,13:52,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),31,17
,8:07,Packers,Mason Crosby 38 yard field goal,34,17
,7:46,Cowboys,Amari Cooper 53 yard pass from Dak Prescott (Brett Maher kick),34,24
