Quarter,Time,Down,ToGo,Location,GNB,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Leighton Vander Esch),0.610,0.870
1,14:31,2,4,GNB 31,0,0,Aaron Jones right tackle for 1 yard (tackle by Chidobe Awuzie and Anthony Brown),0.870,0.300
1,13:52,3,3,GNB 32,0,0,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",0.300,-0.360
1,13:30,3,8,GNB 27,0,0,"Aaron Rodgers left end for 10 yards (tackle by Robert Quinn). Penalty on David Bakhtiari: Offensive Holding, 10 yards (no play)",-0.360,-1.930
1,13:02,3,18,GNB 17,0,0,Aaron Rodgers pass complete short left to Aaron Jones for 9 yards (tackle by Anthony Brown and Byron Jones),-1.930,-1.630
1,12:40,4,9,GNB 26,0,0,"JK Scott punts 48 yards, returned by Tavon Austin for -1 yards (tackle by Will Redmond)",-1.630,-0.610
1,12:31,1,10,DAL 25,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for 2 yards (tackle by Tyler Lancaster and Blake Martinez),0.610,0.330
1,11:51,2,8,DAL 27,0,0,Dak Prescott pass complete deep middle to Amari Cooper for 23 yards (tackle by Jaire Alexander),0.330,2.260
1,11:16,1,10,DAL 50,0,0,Ezekiel Elliott up the middle for 12 yards (tackle by Tramon Williams),2.260,3.050
1,10:40,1,10,GNB 38,0,0,Dak Prescott pass deep middle intended for Amari Cooper is intercepted by Jaire Alexander at GB-16 and returned for 37 yards,3.050,-2.460
1,10:26,1,10,DAL 47,0,0,Aaron Rodgers pass complete deep left to Marquez Valdes-Scantling for 18 yards (tackle by Byron Jones),2.460,3.640
1,9:52,1,10,DAL 29,0,0,Aaron Rodgers pass incomplete short left intended for Geronimo Allison,3.640,3.100
1,9:48,2,10,DAL 29,0,0,Aaron Rodgers pass complete short left to Aaron Jones for 11 yards (tackle by Jaylon Smith),3.100,4.370
1,9:06,1,10,DAL 18,0,0,Aaron Rodgers pass incomplete short left intended for Aaron Jones,4.370,3.800
1,9:03,2,10,DAL 18,6,0,"Aaron Jones up the middle for 18 yards, touchdown",3.800,7.000
