Unnamed: 0,TAM,SEA
First Downs,15,23
Rush-Yds-TDs,34-134-0,25-128-0
Cmp-Att-Yd-TD-INT,16-26-205-2-1,27-46-256-1-4
Sacked-Yards,0-0,1-4
Net Pass Yards,205,252
Total Yards,339,380
Fumbles-Lost,0-0,2-1
Turnovers,1,5
Penalties-Yards,6-35,6-50
Third Down Conv.,7-16,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:04,27:56
