Unnamed: 0,MIN,CHI
First Downs,13,24
Rush-Yds-TDs,33-132-0,28-115-0
Cmp-Att-Yd-TD-INT,12-24-87-2-1,26-39-285-1-0
Sacked-Yards,4-26,3-30
Net Pass Yards,61,255
Total Yards,193,370
Fumbles-Lost,1-0,4-3
Turnovers,1,3
Penalties-Yards,7-54,9-91
Third Down Conv.,5-17,2-12
Fourth Down Conv.,0-1,2-5
Time of Possession,30:45,29:15
