Quarter,Time,Tm,Detail,MIN,CHI
1.0,5:03,Vikings,Justin Jefferson 12 yard pass from Kirk Cousins (Greg Joseph kick),7,0
2.0,13:28,Vikings,Greg Joseph 37 yard field goal,10,0
,1:33,Bears,Cairo Santos 34 yard field goal,10,3
3.0,5:51,Vikings,Ihmir Smith-Marsette 7 yard pass from Kirk Cousins (Greg Joseph kick),17,3
4.0,0:00,Bears,Jesper Horsted 19 yard pass from Justin Fields,17,9
