Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 60 yards, returned by Josh Cribbs for 23 yards (tackle by Chidi Iwuoma)",0.000,1.140
1,14:54,1,10,CLE 33,0,0,Charlie Frye pass complete to Dennis Northcutt for 4 yards (tackle by Deshea Townsend),1.140,1.130
1,14:31,2,6,CLE 37,0,0,Reuben Droughns right guard for 1 yard (tackle by James Farrior),1.130,0.560
1,13:50,3,5,CLE 38,0,0,Charlie Frye pass incomplete intended for Steve Heiden,0.560,-0.850
1,13:46,4,5,CLE 38,0,0,Kyle Richardson punts 46 yards,-0.850,0.140
1,13:39,1,10,PIT 16,0,0,Ben Roethlisberger pass incomplete intended for Antwaan Randle El,-0.140,-0.660
1,13:33,2,10,PIT 16,0,0,Willie Parker left guard for 9 yards (tackle by Ben Taylor),-0.660,-0.200
1,12:57,3,1,PIT 25,0,0,Willie Parker left guard for 1 yard (tackle by Orpheus Roye),-0.200,0.670
1,12:24,1,10,PIT 26,0,0,Ben Roethlisberger pass complete to Antwaan Randle El for 20 yards (tackle by Leigh Bodden and Brian Russell),0.670,1.990
1,11:46,1,10,PIT 46,0,0,Willie Parker right guard for 4 yards (tackle by Alvin McKinley and Orpheus Roye),1.990,1.990
1,11:09,2,6,CLE 50,0,0,Willie Parker left tackle for 4 yards (tackle by Brian Russell),1.990,1.820
1,10:29,3,2,CLE 46,0,0,Ben Roethlisberger pass complete to Cedrick Wilson for 17 yards (tackle by Leigh Bodden),1.820,3.640
1,9:48,1,10,CLE 29,0,0,Ben Roethlisberger pass complete to Heath Miller for 21 yards (tackle by Ben Taylor),3.640,5.370
1,9:07,1,8,CLE 8,0,0,Jerome Bettis left tackle for 1 yard (tackle by Chris Crocker and Jason Fisk),5.370,4.760
1,8:32,2,7,CLE 7,0,0,Jerome Bettis left guard for 5 yards (tackle by Chaun Thompson and Alvin McKinley),4.760,4.950
1,7:54,3,2,CLE 2,6,0,"Jerome Bettis right tackle for 2 yards, touchdown",4.950,7.000
1,,,,CLE 2,7,0,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,0,"Jeff Reed kicks off 65 yards, returned by Josh Cribbs for 20 yards (tackle by Tyrone Carter). Josh Cribbs fumbles (forced by Tyrone Carter), recovered by Brodney Pool at CLE-27",0.000,0.740
1,7:37,1,10,CLE 27,7,0,Reuben Droughns right tackle for 2 yards,0.740,0.470
1,7:03,2,8,CLE 29,7,0,Charlie Frye pass incomplete intended for Steve Heiden,0.470,-0.230
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
1,6:52,3,8,CLE 29,7,0,Charlie Frye pass incomplete intended for Reuben Droughns,-0.230,-1.440
1,6:46,4,8,CLE 29,7,0,"Kyle Richardson punts 37 yards, returned by Antwaan Randle El for 3 yards (tackle by Sean Jones)",-1.440,-1.400
1,6:38,1,10,PIT 37,7,0,Willie Parker right tackle for -2 yards (tackle by Orpheus Roye and Chris Crocker),1.400,0.590
1,6:06,2,12,PIT 35,7,0,Willie Parker left guard for 4 yards (tackle by Jason Fisk),0.590,0.430
1,5:26,3,8,PIT 39,7,0,Ben Roethlisberger pass complete to Hines Ward for 19 yards (tackle by Brian Russell),0.430,2.790
1,4:50,1,10,CLE 42,7,0,Ben Roethlisberger pass complete to Hines Ward for 32 yards (tackle by Chaun Thompson),2.790,4.910
1,4:19,1,10,CLE 10,7,0,Jerome Bettis left guard for 3 yards (tackle by Jason Fisk and Leigh Bodden),4.910,4.760
1,3:35,2,7,CLE 7,13,0,"Ben Roethlisberger pass complete to Hines Ward for 7 yards, touchdown",4.760,7.000
1,,,,CLE 2,14,0,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,14,0,"Jeff Reed kicks off 65 yards, returned by Josh Cribbs for 29 yards (tackle by Ricardo Colclough). Penalty on Brodney Pool: Offensive Holding, 10 yards",0.000,-0.370
1,3:23,1,10,CLE 11,14,0,Charlie Frye pass incomplete intended for Antonio Bryant,-0.370,-0.780
1,3:18,2,10,CLE 11,14,0,Charlie Frye pass complete to Antonio Bryant for no gain,-0.780,-1.420
1,2:35,3,10,CLE 11,14,0,Charlie Frye sacked by Joey Porter for -6 yards,-1.420,-2.490
1,2:16,4,16,CLE 5,14,0,"Kyle Richardson punts 50 yards, returned by Antwaan Randle El for 36 yards (tackle by Kyle Richardson). Antwaan Randle El fumbles, recovered by Brodney Pool at CLE-12",-2.490,-0.350
1,1:59,1,10,CLE 12,14,0,Charlie Frye pass incomplete intended for Dennis Northcutt,-0.350,-0.780
1,1:55,2,10,CLE 12,14,0,Lee Suggs left guard for no gain (tackle by Larry Foote),-0.780,-1.420
1,1:12,3,10,CLE 12,14,0,Charlie Frye pass incomplete intended for Dennis Northcutt (defended by Bryant McFadden),-1.420,-2.490
1,1:05,4,10,CLE 12,14,0,"Kyle Richardson punts 46 yards, returned by Antwaan Randle El for 5 yards (tackle by Jody Littleton). Penalty on Bryant McFadden: Illegal Block Above the , 10 yards",-2.490,-1.400
1,0:52,1,10,PIT 37,14,0,Willie Parker left tackle for 3 yards (tackle by Chris Crocker),1.400,1.260
1,0:15,2,7,PIT 40,14,0,Ben Roethlisberger pass complete to Cedrick Wilson for 46 yards (tackle by Brian Russell),1.260,4.650
Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 14,14,0,Ben Roethlisberger pass complete to Dan Kreider for 4 yards (tackle by Daylon McCutcheon),4.650,4.710
2,14:24,2,6,CLE 10,14,0,Jerome Bettis left guard for 4 yards,4.710,4.730
2,13:42,3,2,CLE 6,14,0,Antwaan Randle El right end for -2 yards (tackle by Daylon McCutcheon),4.730,2.980
2,13:25,4,4,CLE 8,17,0,Jeff Reed 26 yard field goal good,2.980,3.000
2,,,,PIT 30,17,0,"Jeff Reed kicks off 60 yards, returned by Josh Cribbs for 23 yards (tackle by James Harrison)",0.000,1.140
2,13:13,1,10,CLE 33,17,0,Charlie Frye pass incomplete intended for Antonio Bryant (defended by Troy Polamalu),1.140,0.590
2,13:07,2,10,CLE 33,17,0,Reuben Droughns left guard for 2 yards (tackle by Joey Porter),0.590,0.170
2,12:24,3,8,CLE 35,17,0,Charlie Frye pass incomplete intended for Frisman Jackson (defended by Ike Taylor),0.170,-1.040
2,12:19,4,8,CLE 35,17,0,"Kyle Richardson punts 47 yards, returned by Antwaan Randle El for 5 yards (tackle by Corey McIntyre)",-1.040,-0.480
2,12:07,1,10,PIT 23,17,0,Willie Parker right guard for 4 yards,0.480,0.470
2,11:32,2,6,PIT 27,17,0,Ben Roethlisberger pass incomplete intended for Antwaan Randle El,0.470,-0.230
2,11:26,3,6,PIT 27,17,0,Ben Roethlisberger pass complete to Hines Ward for 6 yards (tackle by Brodney Pool),-0.230,1.140
2,10:50,1,10,PIT 33,17,0,Ben Roethlisberger sacked by Alvin McKinley for -8 yards,1.140,-0.490
2,10:14,2,18,PIT 25,17,0,Willie Parker right tackle for no gain (tackle by Kenard Lang),-0.490,-1.150
2,9:32,3,18,PIT 25,17,0,Ben Roethlisberger pass incomplete intended for Verron Haynes,-1.150,-1.700
2,9:27,4,18,PIT 25,17,0,"Chris Gardocki punts 48 yards, returned by Dennis Northcutt for 8 yards (tackle by James Harrison)",-1.700,-1.270
2,9:16,1,10,CLE 35,17,0,Reuben Droughns left guard for 2 yards (tackle by James Farrior),1.270,0.990
2,8:36,2,8,CLE 37,17,0,Charlie Frye pass incomplete intended for Dennis Northcutt,0.990,0.300
2,8:32,3,8,CLE 37,17,0,Charlie Frye pass complete to Reuben Droughns for 29 yards (tackle by Tyrone Carter),0.300,3.310
2,7:51,1,10,PIT 34,17,0,"Charlie Frye for no gain. Charlie Frye fumbles, recovered by Charlie Frye at PIT-42",3.310,1.690
2,7:06,2,18,PIT 42,17,0,Charlie Frye sacked by Joey Porter for -8 yards,1.690,-0.030
2,6:35,3,26,CLE 50,17,0,"Charlie Frye sacked by Brett Keisel for -5 yards. Charlie Frye fumbles (forced by Brett Keisel), recovered by Charlie Frye at CLE-45. Penalty on L.J. Shelton: Offensive Holding (Declined)",-0.030,-0.390
2,6:14,4,31,CLE 45,17,0,"Kyle Richardson punts 8 yards, returned by Chidi Iwuoma for 3 yards (tackle by Jody Littleton)",-0.390,-2.260
2,6:02,1,10,CLE 50,17,0,Willie Parker left tackle for -1 yards (tackle by Kenard Lang and Jason Fisk),2.260,1.580
2,5:22,2,11,PIT 49,17,0,Ben Roethlisberger pass complete to Hines Ward for 21 yards (tackle by Chaun Thompson),1.580,3.580
2,4:36,1,10,CLE 30,17,0,Ben Roethlisberger pass incomplete intended for Cedrick Wilson (defended by Leigh Bodden),3.580,3.030
2,4:29,2,10,CLE 30,17,0,Willie Parker right tackle for 10 yards (tackle by Chris Crocker),3.030,4.240
2,3:49,1,10,CLE 20,17,0,Willie Parker right guard for 8 yards (tackle by Kenard Lang and Ben Taylor),4.240,5.040
2,3:09,2,2,CLE 12,17,0,Willie Parker right tackle for no gain (tackle by Chris Crocker),5.040,4.340
2,2:26,3,2,CLE 12,17,0,Ben Roethlisberger pass incomplete intended for Antwaan Randle El,4.340,2.760
2,2:21,4,2,CLE 12,20,0,Jeff Reed 31 yard field goal good,2.760,3.000
2,,,,PIT 30,20,0,"Jeff Reed kicks off 56 yards, returned by Josh Cribbs for 16 yards (tackle by Mike Logan)",0.000,0.940
2,2:11,1,10,CLE 30,20,0,Charlie Frye pass complete to Frisman Jackson for 6 yards (tackle by Chris Hope),0.940,1.200
2,2:00,2,4,CLE 36,20,0,Charlie Frye pass complete to Dennis Northcutt for 3 yards (tackle by Ike Taylor),1.200,0.890
2,1:37,3,1,CLE 39,20,0,Charlie Frye pass incomplete intended for Frisman Jackson (defended by Bryant McFadden),0.890,-0.780
2,1:33,4,1,CLE 39,20,0,"Kyle Richardson punts 47 yards, fair catch by James Harrison",-0.780,0.280
2,1:25,1,10,PIT 14,20,0,Jerome Bettis right guard for 7 yards (tackle by Alvin McKinley and Ben Taylor),-0.280,0.280
2,0:43,2,3,PIT 21,20,0,Jerome Bettis left guard for 2 yards,0.280,-0.320
Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,20,0,"Phil Dawson kicks off 64 yards, returned by Quincy Morgan for 22 yards (tackle by Lee Suggs)",0.000,0.810
3,14:55,1,10,PIT 28,20,0,Ben Roethlisberger pass incomplete intended for Antwaan Randle El,0.810,0.260
3,14:48,2,10,PIT 28,20,0,Willie Parker left tackle for 2 yards,0.260,-0.160
3,14:06,3,8,PIT 30,20,0,Ben Roethlisberger pass complete to Hines Ward for 11 yards (tackle by Daylon McCutcheon),-0.160,1.660
3,13:38,1,10,PIT 41,20,0,Willie Parker left guard for 1 yard,1.660,1.260
3,13:04,2,9,PIT 42,20,0,Willie Parker left guard for 3 yards,1.260,0.960
3,12:22,3,6,PIT 45,20,0,Ben Roethlisberger sacked by Nick Eason for -1 yards,0.960,-0.460
3,12:04,4,7,PIT 44,20,0,"Chris Gardocki punts 42 yards, fair catch by Dennis Northcutt",-0.460,0.280
3,12:00,1,10,CLE 14,20,0,Charlie Frye pass complete to Aaron Shea for 6 yards (tackle by Clark Haggans),-0.280,0.150
3,11:31,2,4,CLE 20,20,0,Charlie Frye pass complete to Aaron Shea for 10 yards (tackle by Clark Haggans). Penalty on Joey Porter: Defensive Offside (Declined),0.150,0.940
3,11:12,1,10,CLE 30,20,0,Charlie Frye pass incomplete intended for Dennis Northcutt,0.940,0.390
3,11:05,2,10,CLE 30,20,0,Charlie Frye pass incomplete intended for Aaron Shea (defended by Larry Foote),0.390,-0.300
3,11:00,3,10,CLE 30,20,0,Charlie Frye pass complete to Antonio Bryant for 12 yards (tackle by Ricardo Colclough),-0.300,1.730
3,10:35,1,10,CLE 42,20,0,Reuben Droughns right guard for no gain (tackle by James Farrior),1.730,1.190
3,9:59,2,10,CLE 42,20,0,Charlie Frye pass complete to Steve Heiden for 4 yards (tackle by James Harrison),1.190,1.030
3,9:32,3,6,CLE 46,20,0,Charlie Frye pass incomplete intended for Dennis Northcutt,1.030,-0.320
3,9:23,4,6,CLE 46,20,0,"Kyle Richardson punts 54 yards, touchback",-0.320,-0.280
3,9:14,1,10,PIT 20,26,0,"Willie Parker right guard for 80 yards, touchdown",0.280,7.000
3,,,,CLE 2,27,0,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,27,0,"Jeff Reed kicks off 43 yards, returned by Aaron Shea for 7 yards (tackle by James Harrison)",0.000,1.200
3,8:55,1,10,CLE 34,27,0,Charlie Frye pass complete to Antonio Bryant for 29 yards (tackle by Troy Polamalu),1.200,3.120
3,8:29,1,10,PIT 37,27,0,Charlie Frye for 12 yards,3.120,3.910
3,8:00,1,10,PIT 25,27,0,Charlie Frye pass complete to Aaron Shea for 2 yards (tackle by Brett Keisel),3.910,3.630
3,7:15,2,8,PIT 23,27,0,Charlie Frye pass complete to Dennis Northcutt for 4 yards,3.630,3.490
3,6:51,3,4,PIT 19,27,0,"Charlie Frye sacked by Joey Porter for -9 yards. Charlie Frye fumbles (forced by Joey Porter), recovered by Mike Pucillo at PIT-28",3.490,1.590
3,6:05,4,13,PIT 28,27,0,Charlie Frye pass incomplete intended for Reuben Droughns,1.590,-0.870
3,5:58,1,10,PIT 29,27,0,Ben Roethlisberger pass complete to Hines Ward for 9 yards (tackle by Daylon McCutcheon),0.870,1.540
3,5:28,2,1,PIT 38,27,0,Ben Roethlisberger pass complete to Verron Haynes for 13 yards (tackle by Jason Fisk),1.540,2.320
3,4:43,1,10,CLE 49,27,0,Verron Haynes right tackle for 1 yard (tackle by Matt Stewart and Orpheus Roye),2.320,1.920
3,4:00,2,9,CLE 48,27,0,Verron Haynes left tackle for 1 yard (tackle by Chaun Thompson),1.920,1.360
3,3:17,3,8,CLE 47,27,0,Ben Roethlisberger pass incomplete intended for Cedrick Wilson,1.360,0.130
,,,,,,,"PIT challenged the ruling, and the play was upheld.",,
3,3:08,4,8,CLE 47,27,0,"Chris Gardocki punts 36 yards, fair catch by Dennis Northcutt",0.130,0.370
3,3:00,1,10,CLE 11,27,0,Charlie Frye pass complete to Frisman Jackson for 20 yards (tackle by Troy Polamalu),-0.370,1.000
3,2:32,1,10,CLE 31,27,0,Charlie Frye sacked by Deshea Townsend for -12 yards,1.000,-1.220
3,1:56,2,22,CLE 19,27,0,"Charlie Frye sacked by Clark Haggans for -4 yards. Charlie Frye fumbles (forced by Clark Haggans), recovered by James Farrior at CLE-15 (tackle by Charlie Frye)",-1.220,-4.580
3,1:50,1,10,CLE 15,27,0,Verron Haynes left guard for no gain (tackle by Alvin McKinley and Orlando Ruff),4.580,3.950
3,1:12,2,10,CLE 15,33,0,"Verron Haynes right tackle for 15 yards, touchdown",3.950,7.000
3,,,,CLE 2,34,0,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,34,0,"Jeff Reed kicks off 68 yards, returned by Josh Cribbs for 28 yards (tackle by Clint Kriewaldt)",0.000,0.940
3,0:57,1,10,CLE 30,34,0,Reuben Droughns right guard for 3 yards (tackle by Clark Haggans and Joey Porter),0.940,0.800
3,0:16,2,7,CLE 33,34,0,Reuben Droughns left tackle for 21 yards (tackle by Chris Hope and Troy Polamalu),0.800,2.520
Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 46,34,0,Charlie Frye pass complete to Steve Heiden for 9 yards (tackle by James Farrior),2.520,3.190
4,14:25,2,1,PIT 37,34,0,Reuben Droughns right guard for -2 yards (tackle by Troy Polamalu),3.190,2.210
4,13:47,3,3,PIT 39,34,0,Charlie Frye pass incomplete intended for Dennis Northcutt,2.210,0.660
4,13:38,4,3,PIT 39,34,0,Reuben Droughns left guard for 9 yards (tackle by Chris Hope),0.660,3.580
4,12:50,1,10,PIT 30,34,0,Reuben Droughns right guard for -2 yards,3.580,2.760
4,12:08,2,12,PIT 32,34,0,Charlie Frye for 5 yards (tackle by Larry Foote),2.760,2.740
4,11:41,,,,34,0,Timeout #1 by Cleveland Browns,0.000,2.740
4,11:41,3,7,PIT 27,34,0,Charlie Frye pass incomplete intended for Steve Heiden,2.740,1.670
4,11:36,4,7,PIT 27,34,0,"Penalty on Ryan Tucker: False Start, 5 yards (no play)",1.670,1.240
4,11:36,4,12,PIT 32,34,0,Charlie Frye sacked by Brett Keisel for -12 yards,1.240,-1.860
4,11:29,1,10,PIT 44,34,0,Verron Haynes right guard for 16 yards (tackle by Chris Crocker),1.860,2.920
4,10:41,1,10,CLE 40,34,0,Verron Haynes left guard for 5 yards (tackle by Alvin McKinley and Brian Russell),2.920,3.050
4,9:57,2,5,CLE 35,34,0,Verron Haynes right guard for 7 yards,3.050,3.710
4,9:09,1,10,CLE 28,34,0,"Verron Haynes right guard for no gain. Penalty on Kenard Lang: Defensive Offside, 5 yards (no play)",3.710,4.440
4,8:41,1,5,CLE 23,34,0,"Verron Haynes left tackle for 5 yards (tackle by Chaun Thompson and Leigh Bodden). Penalty on Quincy Morgan: Face Mask (15 Yards), 15 yards",4.440,3.380
4,8:06,1,10,CLE 33,34,0,Verron Haynes left guard for 1 yard (tackle by J'Vonne Parker and Alvin McKinley),3.380,2.970
4,7:21,2,9,CLE 32,34,0,Verron Haynes left tackle for 6 yards (tackle by Chaun Thompson),2.970,3.070
4,7:21,3,3,CLE 26,34,0,"Penalty on Trai Essex: False Start, 5 yards (no play)",3.070,2.410
4,6:23,3,8,CLE 31,40,0,"Charlie Batch pass complete to Quincy Morgan for 31 yards, touchdown",2.410,7.000
4,,,,CLE 2,41,0,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,41,0,Jeff Reed kicks onside 19 yards,0.000,2.320
4,6:12,1,10,PIT 49,41,0,Terrelle Smith right guard for 2 yards (tackle by Larry Foote and Clint Kriewaldt),2.320,2.050
4,5:34,2,8,PIT 47,41,0,Charlie Frye pass complete to Antonio Bryant for 9 yards (tackle by James Harrison),2.050,3.050
4,4:59,1,10,PIT 38,41,0,Charlie Frye pass complete to Dennis Northcutt for 6 yards (tackle by Ricardo Colclough and Mike Logan),3.050,3.320
4,4:15,2,4,PIT 32,41,0,Charlie Frye pass incomplete intended for Dennis Northcutt,3.320,2.610
4,4:07,3,4,PIT 32,41,0,Lee Suggs right tackle for 3 yards (tackle by Larry Foote),2.610,1.620
4,3:31,4,1,PIT 29,41,0,Lee Suggs right tackle for 2 yards (tackle by Brett Keisel and Clark Haggans),1.620,3.780
4,2:48,1,10,PIT 27,41,0,Lee Suggs right tackle for 2 yards (tackle by Larry Foote and Brett Keisel),3.780,3.500
4,2:12,2,8,PIT 25,41,0,Terrelle Smith right guard for 1 yard (tackle by Larry Foote and Travis Kirschke),3.500,2.940
4,2:00,3,7,PIT 24,41,0,Charlie Frye pass complete to Aaron Shea for 5 yards (tackle by Clark Haggans),2.940,2.310
4,1:20,4,2,PIT 19,41,0,Charlie Frye pass complete to Dennis Northcutt for 6 yards (tackle by Bryant McFadden),2.310,4.710
4,0:43,1,10,PIT 13,41,0,"Penalty on Nat Dorsey: False Start, 5 yards (no play)",4.710,4.290
4,0:42,,,,41,0,Timeout #2 by Cleveland Browns,0.000,4.290
4,0:42,1,15,PIT 18,41,0,Charlie Frye pass incomplete intended for Aaron Shea (defended by Tyrone Carter),4.290,3.400
4,0:36,2,15,PIT 18,41,0,Charlie Frye pass complete to Frisman Jackson for 15 yards (tackle by Mike Logan),3.400,6.510
4,0:31,1,3,PIT 3,41,0,Charlie Frye sacked by Larry Foote for -4 yards,6.510,4.760
4,0:21,,,,41,0,Timeout #3 by Cleveland Browns,0.000,4.760
4,0:21,2,7,PIT 7,41,0,Charlie Frye pass incomplete intended for Aaron Shea (defended by Mike Logan),4.760,3.810
4,0:15,3,7,PIT 7,41,0,Charlie Frye pass complete to Aaron Shea for 4 yards (tackle by Larry Foote),3.810,3.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
