Unnamed: 0,PIT,CLE
First Downs,20,12
Rush-Yds-TDs,35-209-3,19-63-0
Cmp-Att-Yd-TD-INT,14-21-257-2-0,20-39-183-0-0
Sacked-Yards,2-9,8-60
Net Pass Yards,248,123
Total Yards,457,186
Fumbles-Lost,1-1,5-1
Turnovers,1,1
Penalties-Yards,3-30,4-25
Third Down Conv.,7-12,2-16
Fourth Down Conv.,0-0,3-5
Time of Possession,31:39,28:21
