Quarter,Time,Tm,Detail,DEN,TEN
1.0,12:03,Broncos,Reuben Droughns 23 yard pass from Jake Plummer (Jason Elam kick),7,0
,8:42,Broncos,Jason Elam 22 yard field goal,10,0
,6:45,Titans,Gary Anderson 44 yard field goal,10,3
,4:26,Broncos,Reuben Droughns 8 yard rush (Jason Elam kick),17,3
,1:45,Titans,Antowain Smith 13 yard rush (Gary Anderson kick),17,10
2.0,3:56,Broncos,Rod Smith 7 yard pass from Jake Plummer (Jason Elam kick),24,10
,0:43,Titans,Gary Anderson 43 yard field goal,24,13
,0:00,Titans,Craig Hentrich 50 yard field goal,24,16
3.0,3:50,Broncos,Jason Elam 22 yard field goal,27,16
4.0,11:19,Broncos,Jason Elam 30 yard field goal,30,16
,6:55,Broncos,Reuben Droughns 23 yard rush (Jason Elam kick),37,16
