Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Craig Hentrich kicks off 62 yards, returned by Triandos Luke for 28 yards (tackle by Justin Ena)",0.000,1.330
1,14:53,1,10,DEN 36,0,0,Rod Smith left end for 8 yards (tackle by Donnie Nickey),1.330,1.870
1,14:23,2,2,DEN 44,0,0,Reuben Droughns right tackle for 9 yards (tackle by Brad Kassell and Donnie Nickey),1.870,2.460
1,13:45,1,10,TEN 47,0,0,Jake Plummer pass complete to Rod Smith for 11 yards (tackle by Michael Waddell),2.460,3.180
1,13:08,1,10,TEN 36,0,0,Jake Plummer pass complete to Patrick Hape for 11 yards (tackle by Michael Waddell),3.180,3.910
1,12:41,1,10,TEN 25,0,0,Reuben Droughns left end for 2 yards (tackle by Donnie Nickey),3.910,3.630
1,12:11,2,8,TEN 23,6,0,"Jake Plummer pass complete to Reuben Droughns for 23 yards, touchdown",3.630,7.000
1,,,,TEN 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Jason Baker kicks off 58 yards, returned by Jason McAddley for 17 yards (tackle by Louis Green)",0.000,0.870
1,11:57,1,10,TEN 29,7,0,Billy Volek pass incomplete intended for Ben Troupe is intercepted by D.J. Williams at TEN-37 and returned for 10 yards (tackle by Billy Volek),0.870,-3.780
1,11:49,1,10,TEN 27,7,0,Tatum Bell left guard for no gain (tackle by Kevin Carter),3.780,3.230
1,11:11,2,10,TEN 27,7,0,Jake Plummer pass complete to Dwayne Carswell for 14 yards (tackle by Michael Waddell),3.230,4.710
1,10:45,1,10,TEN 13,7,0,Tatum Bell right tackle for 1 yard (tackle by Antwan Odom and Kevin Carter),4.710,4.220
1,10:06,2,9,TEN 12,7,0,Jake Plummer pass complete to Rod Smith for 7 yards (tackle by Lamont Thompson),4.220,4.780
1,9:24,3,2,TEN 5,7,0,Tatum Bell right guard for 1 yard (tackle by Travis LaBoy and Keith Bulluck),4.780,3.040
1,8:46,4,1,TEN 4,10,0,Jason Elam 22 yard field goal good,3.040,3.000
1,,,,DEN 30,10,0,"Jason Baker kicks off 49 yards, returned by Jason McAddley for 3 yards (tackle by Louis Green)",0.000,0.540
1,8:37,1,10,TEN 24,10,0,Antowain Smith left tackle for 4 yards (tackle by Kenoy Kennedy),0.540,0.540
1,8:11,2,6,TEN 28,10,0,Antowain Smith left tackle for -2 yards (tackle by Reggie Hayward and D.J. Williams),0.540,-0.430
1,7:31,3,8,TEN 26,10,0,"Billy Volek pass incomplete intended for Derrick Mason. Penalty on Roc Alexander: Defensive Pass Interference, 40 yards (no play)",-0.430,3.310
1,7:25,1,10,DEN 34,10,0,Billy Volek pass incomplete intended for Ben Troupe (defended by Kelly Herndon),3.310,2.770
1,7:21,2,10,DEN 34,10,0,Billy Volek pass complete to Drew Bennett for 8 yards,2.770,3.140
1,6:55,3,2,DEN 26,10,0,Billy Volek pass incomplete intended for Drew Bennett,3.140,1.860
1,6:49,4,2,DEN 26,10,3,Gary Anderson 44 yard field goal good,1.860,3.000
1,,,,TEN 30,10,3,"Craig Hentrich kicks off 62 yards, returned by Triandos Luke for 21 yards (tackle by Scott McGarrahan)",0.000,0.870
1,6:38,1,10,DEN 29,10,3,Jake Plummer pass complete to Ashley Lelie for 34 yards (tackle by Keith Bulluck). Penalty on Michael Waddell: Illegal Contact (Declined),0.870,3.120
1,6:13,1,10,TEN 37,10,3,Jake Plummer pass complete to Darius Watts for 14 yards (tackle by Michael Waddell),3.120,4.040
1,5:44,1,10,TEN 23,10,3,Reuben Droughns up the middle for 9 yards (tackle by Donnie Nickey),4.040,4.950
1,5:09,2,1,TEN 14,10,3,Reuben Droughns right tackle for 6 yards (tackle by Donnie Nickey),4.950,5.370
1,4:29,1,8,TEN 8,16,3,"Reuben Droughns left guard for 8 yards, touchdown",5.370,7.000
1,,,,TEN 2,17,3,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,17,3,"Jason Baker kicks off 58 yards, returned by Jason McAddley for 14 yards (tackle by Nick Ferguson)",0.000,0.670
1,4:17,1,10,TEN 26,17,3,Billy Volek pass complete to Derrick Mason for 37 yards (tackle by Champ Bailey),0.670,3.120
1,3:52,1,10,DEN 37,17,3,"Penalty on Brad Hopkins: False Start, 5 yards (no play)",3.120,2.790
1,3:35,1,15,DEN 42,17,3,Billy Volek pass complete to Drew Bennett for 18 yards (tackle by Kelly Herndon),2.790,3.970
1,3:00,1,10,DEN 24,17,3,Antowain Smith left tackle for 5 yards (tackle by Ellis Johnson and John Lynch),3.970,4.120
1,2:22,2,5,DEN 19,17,3,Antowain Smith right tackle for 6 yards (tackle by Donnie Spragan),4.120,4.710
1,1:50,1,10,DEN 13,17,9,"Antowain Smith right tackle for 13 yards, touchdown",4.710,7.000
1,,,,DEN 2,17,10,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,17,10,"Craig Hentrich kicks off 52 yards, returned by Triandos Luke for 15 yards (tackle by Darrell Hill)",0.000,1.140
1,1:38,1,10,DEN 33,17,10,Jake Plummer pass complete to Rod Smith for 17 yards,1.140,2.260
1,1:16,1,10,TEN 50,17,10,Tatum Bell right tackle for 8 yards (tackle by Donnie Nickey),2.260,2.790
1,0:37,2,2,TEN 42,17,10,"Tatum Bell right tackle for 2 yards (tackle by Kevin Carter and Justin Ena). Penalty on Randy Starks: Defensive Offside, 5 yards (no play)",2.790,3.120
1,0:13,1,10,TEN 37,17,10,Tatum Bell left guard for 4 yards (tackle by Brad Kassell),3.120,3.110
Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,TEN 33,17,10,Tatum Bell left end for 9 yards (tackle by Michael Waddell),3.110,3.970
2,14:28,1,10,TEN 24,17,10,Jake Plummer pass incomplete intended for Dwayne Carswell (defended by Brad Kassell),3.970,3.430
2,14:20,2,10,TEN 24,17,10,Jake Plummer pass complete to Patrick Hape for 1 yard (tackle by Donnie Nickey),3.430,2.870
2,13:32,3,9,TEN 23,17,10,"Penalty on Jeb Putzier: False Start, 5 yards (no play)",2.870,2.210
2,13:29,3,14,TEN 28,17,10,Jake Plummer pass complete to Tatum Bell for 12 yards (tackle by Scott McGarrahan),2.210,2.500
2,13:05,4,2,TEN 16,17,10,Jason Elam 34 yard field goal no good,2.500,-0.610
2,13:01,1,10,TEN 25,17,10,Billy Volek pass incomplete intended for Drew Bennett,0.610,0.060
2,12:55,2,10,TEN 25,17,10,Billy Volek pass incomplete intended for Robert Holcombe,0.060,-0.620
2,12:50,3,10,TEN 25,17,10,Billy Volek sacked by Anton Palepoi for -3 yards,-0.620,-1.900
2,12:24,4,13,TEN 22,17,10,Craig Hentrich punts 32 yards,-1.900,-1.990
2,12:16,1,10,DEN 46,17,10,Jake Plummer pass complete to Reuben Droughns for 7 yards (tackle by Kevin Carter),1.990,2.400
2,11:33,2,3,TEN 47,17,10,Reuben Droughns left guard for 1 yard (tackle by Travis LaBoy),2.400,1.820
2,10:51,3,2,TEN 46,17,10,Jake Plummer pass incomplete intended for Cecil Sapp,1.820,0.200
2,10:48,4,2,TEN 46,17,10,Jason Baker punts 41 yards,0.200,0.380
2,10:35,1,10,TEN 5,17,10,Antowain Smith right guard for 10 yards (tackle by John Lynch and Kenoy Kennedy),-0.380,-0.220
2,9:55,1,10,TEN 15,17,10,Antowain Smith right tackle for 7 yards (tackle by Anton Palepoi and John Lynch),-0.220,0.350
2,9:14,2,3,TEN 22,17,10,Billy Volek sacked by Reggie Hayward for -10 yards,0.350,-1.770
2,8:54,3,13,TEN 12,17,10,Antowain Smith up the middle for 9 yards (tackle by D.J. Williams),-1.770,-1.960
2,8:16,4,4,TEN 21,17,10,"Craig Hentrich punts 35 yards, fair catch by Triandos Luke",-1.960,-1.860
2,8:08,1,10,DEN 44,17,10,Jake Plummer pass complete to Jeb Putzier for 7 yards (tackle by Andre Dyson),1.860,2.260
2,7:30,2,3,TEN 49,17,10,Tatum Bell left tackle for 2 yards (tackle by Carlos Hall),2.260,1.820
2,6:51,3,1,TEN 47,17,10,Reuben Droughns left tackle for 1 yard (tackle by Donnie Nickey),1.820,2.520
2,6:06,1,10,TEN 46,17,10,"Penalty on Randy Starks: Encroachment, 6 yards (no play)",2.520,3.400
2,5:49,1,4,TEN 40,17,10,Reuben Droughns left tackle for no gain (tackle by Keith Bulluck and Brad Kassell),3.400,2.790
2,5:11,2,4,TEN 40,17,10,Jake Plummer pass complete to Jeb Putzier for 34 yards (tackle by Lamont Thompson). Penalty on Keith Bulluck: Defensive Holding (Declined),2.790,5.830
2,4:47,1,6,TEN 6,17,10,Reuben Droughns right guard for -1 yards (tackle by Donnie Nickey and Keith Bulluck),5.830,4.760
2,4:05,2,7,TEN 7,17,10,Jake Plummer pass incomplete intended for Cecil Sapp (defended by Keith Bulluck),4.760,3.810
2,4:01,3,7,TEN 7,23,10,"Jake Plummer pass complete to Rod Smith for 7 yards, touchdown. Penalty on TEN: Defensive 12 On-field (Declined)",3.810,7.000
2,,,,TEN 2,24,10,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,24,10,"Jason Baker kicks off 70 yards, returned by Jason McAddley for 20 yards (tackle by Nick Ferguson)",0.000,0.280
2,3:49,1,10,TEN 20,24,10,Antowain Smith left tackle for 3 yards (tackle by Al Wilson and D.J. Williams),0.280,0.140
2,3:10,2,7,TEN 23,24,10,Billy Volek pass incomplete intended for Derrick Mason,0.140,-0.560
2,3:03,,,,24,10,Timeout #1 by Tennessee Titans,0.000,-0.560
2,3:03,3,7,TEN 23,24,10,Billy Volek pass complete to Derrick Mason for 9 yards (tackle by Kelly Herndon),-0.560,1.070
2,2:26,1,10,TEN 32,24,10,Billy Volek pass complete to Ben Troupe for 5 yards (tackle by Roc Alexander),1.070,1.200
2,2:00,2,5,TEN 37,24,10,Billy Volek pass incomplete intended for Ben Troupe (defended by D.J. Williams),1.200,0.500
2,1:56,3,5,TEN 37,24,10,Billy Volek sacked by Reggie Hayward for -10 yards,0.500,-1.570
2,1:44,,,,24,10,Timeout #1 by Denver Broncos,0.000,-1.570
2,1:44,4,15,TEN 27,24,10,"Craig Hentrich punts 43 yards, muffed catch by Triandos Luke, recovered by Jordan Kramer and returned for no gain",-1.570,3.910
