Unnamed: 0,DEN,TEN
First Downs,26,10
Rush-Yds-TDs,46-193-2,14-59-1
Cmp-Att-Yd-TD-INT,21-26-303-2-1,12-27-137-0-2
Sacked-Yards,0-0,6-43
Net Pass Yards,303,94
Total Yards,496,153
Fumbles-Lost,1-1,1-0
Turnovers,2,2
Penalties-Yards,2-45,3-16
Third Down Conv.,6-13,1-11
Fourth Down Conv.,0-0,0-1
Time of Possession,39:24,20:36
