Unnamed: 0,JAX,PHI
First Downs,13,25
Rush-Yds-TDs,19-71-0,50-210-4
Cmp-Att-Yd-TD-INT,11-23-174-2-1,16-25-204-0-1
Sacked-Yards,4-26,2-13
Net Pass Yards,148,191
Total Yards,219,401
Fumbles-Lost,5-4,1-0
Turnovers,5,1
Penalties-Yards,4-38,3-20
Third Down Conv.,2-7,4-15
Fourth Down Conv.,0-1,3-5
Time of Possession,20:09,39:51
