Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 63 yards, returned by Jamal Agnew for 21 yards (tackle by Josiah Scott)",0.000,0.480
1,14:54,1,10,JAX 23,0,0,James Robinson up the middle for 5 yards (tackle by T.J. Edwards),0.480,0.610
1,14:19,2,5,JAX 28,0,0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Marcus Epps),0.610,-0.100
1,14:15,3,5,JAX 28,0,0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,-0.100,-1.500
1,14:11,4,5,JAX 28,0,0,"Logan Cooke punts 53 yards, returned by Britain Covey for 2 yards (tackle by Andrew Wingard and Chris Claybrooks)",-1.500,-0.340
1,14:00,1,10,PHI 21,0,0,Jalen Hurts pass incomplete short left intended for Miles Sanders,0.340,-0.200
1,13:56,2,10,PHI 21,0,0,Miles Sanders right guard for 9 yards (tackle by Devin Lloyd and Andre Cisco),-0.200,0.300
1,13:17,3,1,PHI 30,0,0,Miles Sanders left guard for no gain (tackle by Travon Walker and Roy Robertson-Harris),0.300,-1.370
1,12:51,4,1,PHI 30,0,0,Jalen Hurts up the middle for 3 yards (tackle by Roy Robertson-Harris and Josh Allen),-1.370,1.140
1,12:04,1,10,PHI 33,0,0,"Penalty on Zach Pascal: False Start, 5 yards (accepted) (no play)",1.140,0.810
1,11:51,1,15,PHI 28,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 8 yards (tackle by Rayshawn Jenkins),0.810,1.000
1,11:30,2,7,PHI 36,6,0,"Jalen Hurts pass deep left (defended by Darious Williams) intended for Zach Pascal is intercepted by Andre Cisco at JAC-41 and returned for 59 yards, touchdown",1.000,-7.000
1,11:15,,,PHI 15,7,0,Riley Patterson kicks extra point good,0.000,0.000
1,11:15,,,JAX 35,7,0,"Riley Patterson kicks off 59 yards, returned by Britain Covey for 23 yards (tackle by Andrew Wingard)",0.000,0.870
1,11:09,1,10,PHI 29,7,0,Miles Sanders left end for -1 yards (tackle by Roy Robertson-Harris),0.870,0.190
1,10:31,2,11,PHI 28,7,0,Jalen Hurts pass complete short middle to Miles Sanders for 16 yards (tackle by Devin Lloyd),0.190,1.860
1,9:58,1,10,PHI 44,7,0,Jalen Hurts scrambles left end for 4 yards (tackle by Foyesade Oluokun),1.860,1.860
1,9:19,2,6,PHI 48,7,0,Jalen Hurts left guard for -1 yards (tackle by Foyesade Oluokun),1.860,1.030
1,8:36,3,7,PHI 47,7,0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Rayshawn Jenkins),1.030,-0.260
1,8:29,4,7,PHI 47,7,0,"Arryn Siposs punts 53 yards, touchback.",-0.260,-0.280
1,8:22,1,10,JAX 20,7,0,James Robinson left tackle for 7 yards (tackle by Marcus Epps),0.280,0.680
1,7:51,2,3,JAX 27,7,0,James Robinson right end for -2 yards (tackle by Haason Reddick),0.680,-0.300
1,7:07,3,5,JAX 25,7,0,Trevor Lawrence pass complete deep left to Jamal Agnew for 24 yards (tackle by C.J. Gardner-Johnson),-0.300,2.190
1,6:25,1,10,JAX 49,7,0,Trevor Lawrence pass complete short right to Dan Arnold for 26 yards (tackle by Josiah Scott),2.190,3.910
1,5:59,1,10,PHI 25,7,0,James Robinson right tackle for 5 yards (tackle by Haason Reddick),3.910,4.040
1,5:22,2,5,PHI 20,7,0,"James Robinson left end for 9 yards. James Robinson fumbles (forced by Patrick Johnson), recovered by Christian Kirk at PHI-3 (tackle by Patrick Johnson)",4.040,6.510
1,4:36,1,3,PHI 3,7,0,James Robinson right guard for -1 yards (tackle by Josh Sweat and Jordan Davis),6.510,5.340
1,3:56,2,4,PHI 4,13,0,"Trevor Lawrence pass complete short right to Jamal Agnew for 4 yards, touchdown",5.340,7.000
1,3:50,,,PHI 15,14,0,Riley Patterson kicks extra point good,0.000,0.000
1,3:50,,,JAX 35,14,0,"Riley Patterson kicks off 66 yards, returned by Britain Covey for 23 yards (tackle by Ty Summers and Caleb Johnson)",0.000,0.410
1,3:44,1,10,PHI 22,14,0,Jalen Hurts pass complete deep right to A.J. Brown for 31 yards (tackle by Devin Lloyd and Shaquill Griffin),0.410,2.460
1,3:14,1,10,JAX 47,14,0,Miles Sanders up the middle for no gain (tackle by Foyesade Oluokun),2.460,1.910
1,2:42,2,10,JAX 47,14,0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Devin Lloyd and Tyson Campbell),1.910,1.880
1,2:04,3,5,JAX 42,14,0,Miles Sanders up the middle for 2 yards (tackle by Foyesade Oluokun),1.880,0.590
1,1:22,4,3,JAX 40,14,0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.590,-1.600
1,1:14,1,10,JAX 40,14,0,Travis Etienne right guard for 5 yards (tackle by Josh Sweat and Jordan Davis),1.600,1.730
1,0:37,2,5,JAX 45,14,0,Trevor Lawrence pass complete short left to Jamal Agnew for 14 yards (tackle by T.J. Edwards),1.730,2.850
