Unnamed: 0,IND,BAL
First Downs,29,30
Rush-Yds-TDs,26-123-1,25-86-0
Cmp-Att-Yd-TD-INT,25-35-402-2-0,37-43-442-4-0
Sacked-Yards,2-12,2-5
Net Pass Yards,390,437
Total Yards,513,523
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,5-45,8-74
Third Down Conv.,5-10,3-8
Fourth Down Conv.,1-1,0-0
Time of Possession,30:45,33:51
