Quarter,Time,Tm,Detail,IND,BAL
1,12:56,Colts,Jonathan Taylor 76 yard pass from Carson Wentz (Rodrigo Blankenship kick),7,0
2,1:36,Ravens,Justin Tucker 23 yard field goal,7,3
,0:00,Colts,Rodrigo Blankenship 37 yard field goal,10,3
3,13:59,Colts,Michael Pittman Jr. 42 yard pass from Carson Wentz (Rodrigo Blankenship kick failed),16,3
,3:06,Colts,Jonathan Taylor 4 yard rush (pass failed),22,3
,0:56,Ravens,Marquise Brown 43 yard pass from Lamar Jackson (run failed),22,9
4,12:00,Colts,Rodrigo Blankenship 43 yard field goal,25,9
,9:38,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Mark Andrews pass from Lamar Jackson),25,17
,0:35,Ravens,Mark Andrews 4 yard pass from Lamar Jackson (Mark Andrews pass from Lamar Jackson),25,25
OT,5:24,Ravens,Marquise Brown 5 yard pass from Lamar Jackson,25,31
