Quarter,Time,Tm,Detail,SDG,NYJ
1.0,13:11,Chargers,Donald Butler 37 yard defensive fumble return (Nick Novak kick),7,0
,8:25,Jets,Nick Folk 35 yard field goal,7,3
2.0,12:11,Chargers,Antonio Gates 2 yard pass from Philip Rivers (Nick Novak kick),14,3
,7:18,Jets,Plaxico Burress 3 yard pass from Mark Sanchez (Nick Folk kick),14,10
,1:16,Chargers,Mike Tolbert 1 yard rush (Nick Novak kick),21,10
3.0,2:57,Jets,Plaxico Burress 4 yard pass from Mark Sanchez (Nick Folk kick),21,17
4.0,8:41,Jets,Plaxico Burress 3 yard pass from Mark Sanchez (Nick Folk kick),21,24
,1:36,Jets,Nick Folk 30 yard field goal,21,27
