Quarter,Time,Tm,Detail,SEA,ATL
1,8:48,Seahawks,Shaun Alexander 3 yard rush (Rian Lindell kick),7,0
,8:35,Falcons,Allen Rossum 91 yard kickoff return (Jay Feely kick),7,7
,0:13,Falcons,Alge Crumpler 20 yard pass from Michael Vick (Jay Feely kick),7,14
2,0:24,Falcons,Jay Feely 22 yard field goal,7,17
3,11:01,Seahawks,Jerramy Stevens 5 yard pass from Matt Hasselbeck (Rian Lindell kick),14,17
,4:02,Seahawks,Willie Williams 25 yard defensive fumble return (Rian Lindell kick),21,17
4,1:55,Seahawks,Rian Lindell 43 yard field goal,24,17
,0:17,Falcons,Trevor Gaylor 12 yard pass from Michael Vick (Jay Feely kick),24,24
OT,4:24,Seahawks,Shaun Alexander 27 yard rush,30,24
