Unnamed: 0,SEA,ATL
First Downs,25,21
Rush-Yds-TDs,37-166-2,35-150-0
Cmp-Att-Yd-TD-INT,22-31-298-1-0,21-38-240-2-2
Sacked-Yards,2-0,2-17
Net Pass Yards,298,223
Total Yards,464,373
Fumbles-Lost,4-3,1-1
Turnovers,3,3
Penalties-Yards,7-45,11-95
Third Down Conv.,8-14,6-15
Fourth Down Conv.,0-2,1-1
Time of Possession,31:49,38:47
