Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
2,9:06,1,10,CHI 12,0,3,Tony Romo pass incomplete short middle intended for Jason Witten,4.780,4.100
2,9:00,2,10,CHI 12,0,3,Tony Romo pass incomplete short right intended for Anthony Fasano,4.100,3.120
2,8:57,3,10,CHI 12,0,3,Tony Romo pass incomplete short right intended for Patrick Crayton,3.120,2.630
2,8:53,4,10,CHI 12,3,3,Nick Folk 30 yard field goal good,2.630,3.000
2,,,,DAL 30,3,3,"Nick Folk kicks off 74 yards, returned by Devin Hester for 22 yards (tackle by Bobby Carpenter)",0.000,0.040
2,8:43,1,10,CHI 18,3,3,"Cedric Benson right end for 5 yards (tackle by Jacques Reeves). Penalty on Desmond Clark: Offensive Holding, 9 yards (no play)",0.040,-0.720
2,8:20,1,19,CHI 9,3,3,Cedric Benson left tackle for 3 yards (tackle by Chris L. Canty and Marcus R. Spears),-0.720,-1.220
2,7:43,2,16,CHI 12,3,3,Rex Grossman sacked by DeMarcus Ware for -7 yards,-1.220,-2.940
2,7:13,3,23,CHI 5,3,3,Adrian Peterson left tackle for 2 yards (tackle by DeMarcus Ware),-2.940,-2.490
2,6:37,4,21,CHI 7,3,3,"Brad Maynard punts 41 yards, returned by Patrick Crayton for 2 yards (tackle by Adam Archuleta)",-2.490,-2.520
2,6:27,1,10,CHI 46,3,3,Tony Romo sacked by Brian Urlacher for -8 yards,2.520,0.900
2,5:51,2,18,DAL 46,3,3,Tony Romo pass incomplete short left intended for Sam Hurd,0.900,0.230
2,5:45,3,18,DAL 46,3,3,Tony Romo pass complete short left to Julius Jones for 15 yards (tackle by Alex Brown),0.230,0.660
2,5:02,,,,3,3,Timeout #1 by Chicago Bears,0.000,0.660
2,5:02,4,3,CHI 39,3,3,Tony Romo pass complete short right to Terrell Owens for 12 yards (tackle by Charles Tillman),0.660,3.780
2,4:24,1,10,CHI 27,3,3,Tony Romo pass complete short left to Jason Witten for 16 yards (tackle by Hunter Hillenmeyer),3.780,4.840
2,3:43,1,10,CHI 11,3,3,Julius Jones right guard for 3 yards (tackle by Ricky Manning),4.840,4.700
2,3:03,2,7,CHI 8,3,3,Tony Romo pass complete short left to Anthony Fasano for 3 yards (tackle by Nathan Vasher),4.700,4.440
2,2:20,3,4,CHI 5,3,3,Tony Romo pass incomplete short right intended for Patrick Crayton,4.440,3.010
2,2:17,4,4,CHI 5,3,3,"Nick Folk 23 yard field goal no good, blocked by Israel Idonije, recovered by Adam Archuleta and returned for 48 yards",3.010,-2.520
2,2:05,1,10,DAL 46,3,3,Rex Grossman pass incomplete deep middle intended for Desmond Clark,2.520,1.980
2,2:00,2,10,DAL 46,3,3,Rex Grossman pass complete short left to Bernard Berrian for 12 yards (tackle by Anthony Henry),1.980,3.310
2,1:29,1,10,DAL 34,3,3,Rex Grossman pass incomplete deep left intended for Bernard Berrian,3.310,2.770
2,1:24,2,10,DAL 34,3,3,Rex Grossman pass incomplete short middle intended for Adrian Peterson,2.770,2.080
2,1:20,,,,3,3,Timeout #2 by Chicago Bears,0.000,2.080
2,1:20,3,10,DAL 34,3,3,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by Anthony Henry),2.080,1.060
2,1:17,4,10,DAL 34,3,3,Robbie Gould pass incomplete deep right intended for Desmond Clark,1.060,-1.270
2,1:11,1,10,DAL 35,3,3,Tony Romo pass incomplete short left intended for Terrell Owens,1.270,0.720
2,1:05,2,10,DAL 35,3,3,"Marion Barber right guard for 1 yard (tackle by Lance Briggs). Penalty on Flozell Adams: Offensive Holding, 10 yards (no play)",0.720,-0.630
2,0:59,2,20,DAL 25,3,3,Tony Romo pass incomplete deep left intended for Terrell Owens,-0.630,-1.290
2,0:54,3,20,DAL 25,3,3,Marion Barber left guard for 8 yards (tackle by Lance Briggs and Brian Urlacher),-1.290,-1.180
2,0:46,,,,3,3,Timeout #3 by Chicago Bears,0.000,-1.180
2,0:46,4,12,DAL 33,3,3,"Mat McBriar punts 38 yards, fair catch by Devin Hester",-1.180,-0.870
2,0:38,1,10,CHI 29,3,3,"Rex Grossman pass complete short right to Desmond Clark for 6 yards (tackle by Roy Williams). Penalty on Roy Williams: Unnecessary Roughness, 15 yards",0.870,2.260
2,0:32,1,10,,3,3,Rex Grossman pass incomplete short right intended for Muhsin Muhammad (defended by Ken Hamlin),2.260,1.710
2,0:28,2,10,,3,3,Rex Grossman pass complete short right to Adrian Peterson for no gain,1.710,1.030
2,0:06,3,10,,3,3,Rex Grossman spiked the ball,1.030,-0.060
2,0:06,4,10,,3,3,Rex Grossman sacked by DeMarcus Ware for -14 yards. Penalty on John Tait: Offensive Holding (Declined),-0.060,3.180
Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,3,3,"Robbie Gould kicks off 66 yards, muffed catch by Tyson Thompson, ball out of bounds at DAL-11",0.000,-0.370
3,14:58,1,10,DAL 11,3,3,Tony Romo pass complete short right to Patrick Crayton for 7 yards (tackle by Jamar Williams),-0.370,0.000
3,14:19,2,3,DAL 18,3,3,Tony Romo pass complete short middle to Terrell Owens for 18 yards (tackle by Adewale Ogunleye),0.000,1.330
3,13:37,1,10,DAL 36,3,3,Julius Jones left guard for 3 yards (tackle by Tommie Harris and Jamar Williams),1.330,1.200
3,12:51,2,7,DAL 39,3,3,Tony Romo pass incomplete deep middle intended for Jason Witten,1.200,0.500
3,12:46,3,7,DAL 39,3,3,Tony Romo pass complete deep middle to Terrell Owens for 18 yards (tackle by Charles Tillman),0.500,2.720
3,12:04,1,10,CHI 43,3,3,Tony Romo pass complete short right to Terrell Owens for 11 yards (tackle by Jamar Williams),2.720,3.450
3,11:35,1,10,CHI 32,3,3,Tony Romo pass complete deep right to Terrell Owens for 23 yards (tackle by Danieal Manning),3.450,5.140
3,10:47,1,9,CHI 9,3,3,Julius Jones right end for 6 yards (tackle by Hunter Hillenmeyer),5.140,5.530
3,10:20,2,3,CHI 3,9,3,"Tony Romo pass complete short middle to Jason Witten for 3 yards, touchdown",5.530,7.000
3,,,,CHI 2,10,3,Nick Folk kicks extra point good,0.000,0.000
3,,,,DAL 30,10,3,"Nick Folk kicks off 69 yards, returned by Devin Hester for 13 yards (tackle by Pat Watkins)",0.000,-0.280
3,10:06,1,10,CHI 14,10,3,"Penalty on Muhsin Muhammad: False Start, 5 yards (no play)",-0.280,-0.570
3,10:06,1,15,CHI 9,10,3,Cedric Benson right guard for 5 yards (tackle by Marcus R. Spears),-0.570,-0.750
3,9:35,2,10,CHI 14,10,3,Rex Grossman pass incomplete short right intended for Muhsin Muhammad,-0.750,-1.400
3,9:28,3,10,CHI 14,10,3,Rex Grossman right tackle for 12 yards (tackle by DeMarcus Ware),-1.400,0.670
3,8:46,1,10,CHI 26,10,3,Rex Grossman pass complete deep right to Desmond Clark for 52 yards (tackle by Ken Hamlin),0.670,4.110
3,7:55,1,10,DAL 22,10,3,Rex Grossman pass complete short middle to Greg Olsen for 21 yards (tackle by DeMarcus Ware),4.110,6.970
3,7:18,1,1,DAL 1,10,9,"Cedric Benson right tackle for 1 yard, touchdown",6.970,7.000
3,,,,DAL 2,10,10,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,10,10,"Robbie Gould kicks off 66 yards, returned by Tyson Thompson for 21 yards (tackle by Rod Wilson). Penalty on Miles Austin: Offensive Holding, 8 yards",0.000,-0.380
3,7:06,1,10,DAL 9,10,10,Tony Romo pass complete short right to Jason Witten for 6 yards (tackle by Jamar Williams),-0.380,-0.280
3,6:29,2,4,DAL 15,10,10,Tony Romo pass incomplete deep middle intended for Patrick Crayton (defended by Nathan Vasher),-0.280,-0.720
3,6:24,3,4,DAL 15,10,10,"Tony Romo pass complete short right to Marion Barber for 10 yards (tackle by Jamar Williams). Penalty on Leonard Davis: Offensive Holding, 7 yards (no play)",-0.720,-1.540
3,5:59,3,11,DAL 8,10,10,Tony Romo pass complete deep middle to Terrell Owens for 35 yards (tackle by Danieal Manning),-1.540,1.800
3,5:20,1,10,DAL 43,10,10,Tony Romo pass complete deep right to Sam Hurd for 25 yards (tackle by Adam Archuleta),1.800,3.450
3,4:38,1,10,CHI 32,10,10,Tony Romo pass incomplete short left intended for Terrell Owens (defended by Charles Tillman),3.450,2.900
3,4:31,2,10,CHI 32,10,10,Tony Romo pass complete short left to Patrick Crayton for 10 yards (tackle by Ricky Manning),2.900,4.110
3,3:48,,,,10,10,Timeout #1 by Dallas Cowboys,0.000,4.110
3,3:48,1,10,CHI 22,10,10,Marion Barber right end for 5 yards (tackle by Adam Archuleta),4.110,4.290
3,3:17,2,5,CHI 17,10,10,Marion Barber right tackle for 4 yards (tackle by Jamar Williams and Adewale Ogunleye),4.290,4.390
3,2:15,3,1,CHI 13,10,10,Marion Barber left tackle for 3 yards (tackle by Danieal Manning),4.390,4.910
3,1:26,1,10,CHI 10,16,10,"Tony Romo pass complete short right to Marion Barber for 10 yards, touchdown",4.910,7.000
3,,,,CHI 2,17,10,Nick Folk kicks extra point good,0.000,0.000
3,,,,DAL 30,17,10,"Nick Folk kicks off 63 yards, returned by Devin Hester for 28 yards (tackle by Kevin Burnett)",0.000,1.270
3,1:10,1,10,CHI 35,17,10,Rex Grossman pass complete short right to Cedric Benson for 8 yards (tackle by Anthony Spencer),1.270,1.800
3,0:38,2,2,CHI 43,17,10,"Cedric Benson right guard for 2 yards (tackle by Remi Ayodele). Cedric Benson fumbles (forced by Remi Ayodele), recovered by Roy Williams at CHI-45",1.800,-2.590
,,,,,,,"CHI challenged the fumble ruling, and the play was upheld.",,
3,0:30,1,10,CHI 45,17,10,Tony Romo pass complete short middle to Julius Jones for 14 yards (tackle by Jamar Williams),2.590,3.510
Quarter,Time,Down,ToGo,Location,DAL,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 31,17,10,Tony Romo pass incomplete deep left intended for Jason Witten,3.510,2.970
4,14:55,2,10,CHI 31,17,10,"Penalty on Tommie Harris: Encroachment, 5 yards (no play)",2.970,3.640
4,14:55,2,5,CHI 26,17,10,"Julius Jones right guard for 7 yards (tackle by Danieal Manning and Brian Urlacher). Penalty on Flozell Adams: Offensive Holding, 10 yards",3.640,3.240
4,14:31,2,8,CHI 29,17,10,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Hunter Hillenmeyer),3.240,4.240
4,13:45,1,10,CHI 20,17,10,Tony Romo sacked by Brian Urlacher for -10 yards,4.240,2.340
4,13:06,2,20,CHI 30,17,10,Marion Barber right guard for 4 yards (tackle by Jamar Williams),2.340,2.210
4,12:20,3,16,CHI 26,17,10,Tony Romo pass incomplete short right intended for Terrell Owens (defended by Charles Tillman),2.210,1.740
4,12:15,4,16,CHI 26,20,10,Nick Folk 44 yard field goal good,1.740,3.000
4,,,,DAL 30,20,10,"Nick Folk kicks off 65 yards, returned by Devin Hester for 11 yards (tackle by Keith Davis). Devin Hester fumbles (forced by Keith Davis), recovered by Brendon Ayanbadejo at CHI-16",0.000,-0.320
4,12:01,1,10,CHI 13,26,10,"Rex Grossman pass incomplete short right intended for Muhsin Muhammad is intercepted by Anthony Henry at CHI-28 and returned for 28 yards, touchdown",-0.320,-7.000
4,,,,CHI 2,27,10,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 35,27,10,"Nick Folk kicks off 69 yards, returned by Devin Hester for 12 yards (tackle by Pat Watkins). Penalty on Mark Bradley: Illegal Block Above the Waist, 4 yards, Penalty on Devin Hester: Delay of Game (Declined)",0.000,-0.380
4,11:44,1,10,CHI 4,27,10,Rex Grossman pass complete short right to Bernard Berrian for 11 yards,-0.380,-0.220
4,11:26,1,10,CHI 15,27,10,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by Anthony Henry),-0.220,-0.710
4,11:20,2,10,CHI 15,27,10,Rex Grossman pass complete short middle to Adrian Peterson for 7 yards (tackle by Roy Williams),-0.710,-0.510
4,10:51,3,3,CHI 22,27,10,Adrian Peterson left guard for 4 yards (tackle by Stephen Bowen),-0.510,0.670
4,10:16,1,10,CHI 26,27,10,Rex Grossman pass complete short left to Muhsin Muhammad for 12 yards,0.670,1.470
4,9:57,1,10,CHI 38,27,10,Rex Grossman pass incomplete short right intended for Muhsin Muhammad,1.470,0.920
4,9:52,2,10,CHI 38,27,10,Adrian Peterson left tackle for no gain (tackle by Chris L. Canty),0.920,0.230
4,9:17,3,10,CHI 38,27,10,Rex Grossman sacked by Anthony Spencer for -10 yards. Penalty on Olin Kreutz: Face Mask (15 Yards) (Declined),0.230,-1.500
4,9:04,4,20,CHI 28,27,10,"Brad Maynard punts 40 yards, returned by Patrick Crayton for 5 yards (tackle by Brandon McGowan). Penalty on Anthony Henry: Offensive Holding, 10 yards",-1.500,-0.410
4,8:53,1,10,DAL 22,27,10,Marion Barber right end for 3 yards (tackle by Adam Archuleta),0.410,0.270
4,8:07,2,7,DAL 25,27,10,Marion Barber right guard for 6 yards (tackle by Jamar Williams),0.270,0.370
4,7:20,3,1,DAL 31,27,10,Marion Barber right guard for 1 yard (tackle by Anthony Adams),0.370,1.070
4,6:34,1,10,DAL 32,27,10,Marion Barber left tackle for 1 yard (tackle by Hunter Hillenmeyer),1.070,0.660
4,5:49,2,9,DAL 33,27,10,Marion Barber right tackle for 12 yards (tackle by Charles Tillman),0.660,1.930
4,5:01,1,10,DAL 45,27,10,Marion Barber right guard for 54 yards (tackle by Charles Tillman),1.930,6.970
4,4:08,1,1,CHI 1,27,10,Marion Barber left guard for no gain (tackle by Jamar Williams),6.970,5.910
4,3:24,2,1,CHI 1,33,10,"Marion Barber left tackle for 1 yard, touchdown",5.910,7.000
4,,,,CHI 2,34,10,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,34,10,"Nick Folk kicks off 42 yards, returned by Danieal Manning for 20 yards (tackle by Nate Jones)",0.000,2.130
4,3:15,1,10,CHI 48,34,10,Rex Grossman pass incomplete short left intended for Muhsin Muhammad is intercepted by Roy Williams at DAL-47,2.130,-2.060
4,3:09,1,10,DAL 47,34,10,Tyson Thompson right guard for -2 yards (tackle by Israel Idonije),2.060,1.250
4,2:24,2,12,DAL 45,34,10,Tyson Thompson left tackle for 2 yards (tackle by Hunter Hillenmeyer),1.250,0.830
4,2:00,3,10,DAL 47,34,10,Tyson Thompson left tackle for 3 yards (tackle by Rod Wilson and Brandon McGowan),0.830,-0.060
4,1:13,,,,34,10,Timeout #2 by Dallas Cowboys,0.000,-0.060
4,1:13,4,7,,34,10,Mat McBriar punts 25 yards,-0.060,-0.610
4,1:06,1,10,CHI 25,34,10,Adrian Peterson left guard for 8 yards (tackle by Bobby Carpenter),0.610,1.140
4,0:33,2,2,CHI 33,34,10,Adrian Peterson left guard for 1 yard (tackle by Remi Ayodele),1.140,0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
