Unnamed: 0,DAL,CHI
First Downs,21,16
Rush-Yds-TDs,25-131-1,23-75-1
Cmp-Att-Yd-TD-INT,22-35-329-2-1,15-33-195-0-3
Sacked-Yards,3-29,3-31
Net Pass Yards,300,164
Total Yards,431,239
Fumbles-Lost,0-0,3-1
Turnovers,1,4
Penalties-Yards,12-100,5-28
Third Down Conv.,4-13,5-12
Fourth Down Conv.,1-1,0-2
Time of Possession,35:21,24:39
