Quarter,Time,Tm,Detail,DAL,CHI
1.0,3:09,Bears,Robbie Gould 20 yard field goal,0,3
2.0,8:49,Cowboys,Nick Folk 30 yard field goal,3,3
3.0,10:14,Cowboys,Jason Witten 3 yard pass from Tony Romo (Nick Folk kick),10,3
,7:14,Bears,Cedric Benson 1 yard rush (Robbie Gould kick),10,10
,1:18,Cowboys,Marion Barber III 10 yard pass from Tony Romo (Nick Folk kick),17,10
4.0,12:10,Cowboys,Nick Folk 44 yard field goal,20,10
,11:49,Cowboys,Anthony Henry 28 yard interception return (Nick Folk kick),27,10
,3:20,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),34,10
