Unnamed: 0,DEN,DAL
First Downs,13,23
Rush-Yds-TDs,20-144-1,32-85-1
Cmp-Att-Yd-TD-INT,15-24-162-1-1,29-44-232-2-2
Sacked-Yards,2-13,1-3
Net Pass Yards,149,229
Total Yards,293,314
Fumbles-Lost,1-1,1-0
Turnovers,2,2
Penalties-Yards,10-67,7-40
Third Down Conv.,3-10,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,24:51,36:30
