Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Billy Cundiff kicks off 63 yards, returned by Roc Alexander for 21 yards (tackle by Roy Williams)",0.000,0.810
1,14:55,1,10,DEN 28,0,0,Jake Plummer pass complete to Mike Anderson for 3 yards (tackle by Roy Williams),0.810,0.670
1,14:16,2,7,DEN 31,0,0,Jake Plummer pass incomplete intended for Rod Smith,0.670,-0.030
1,14:11,3,7,DEN 31,0,0,Jake Plummer pass incomplete intended for Ashley Lelie,-0.030,-1.310
1,14:06,4,7,DEN 31,0,0,"Todd Sauerbrun punts 54 yards, returned by Peerless Price for 8 yards (tackle by Louis Green)",-1.310,-0.480
1,13:54,1,10,DAL 23,0,0,Drew Bledsoe pass incomplete intended for Terry Glenn,0.480,-0.070
1,13:48,2,10,DAL 23,0,0,Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by Champ Bailey),-0.070,-0.760
1,13:45,3,10,DAL 23,0,0,Drew Bledsoe pass complete to Jason Witten for 4 yards (tackle by Ebenezer Ekuban),-0.760,-1.570
1,13:08,4,6,DAL 27,0,0,"Mat McBriar punts 55 yards, returned by Darrent Williams for 8 yards (tackle by Terrance Copper)",-1.570,-0.670
1,12:55,1,10,DEN 26,0,0,Jake Plummer pass incomplete intended for Ashley Lelie,0.670,0.130
1,12:47,2,10,DEN 26,0,0,Mike Anderson up the middle for 1 yard (tackle by Roy Williams),0.130,-0.430
1,12:03,3,9,DEN 27,0,0,Jake Plummer pass incomplete (defended by Greg Ellis),-0.430,-1.570
1,11:58,4,9,DEN 27,0,0,"Todd Sauerbrun punts 39 yards, returned by Peerless Price for 2 yards (tackle by Keith Burns)",-1.570,-1.330
1,11:48,1,10,DAL 36,0,0,Julius Jones right guard for 2 yards (tackle by Nick Ferguson),1.330,1.060
1,11:13,2,8,DAL 38,0,0,Drew Bledsoe pass complete to Jason Witten for 3 yards (tackle by Champ Bailey),1.060,0.760
1,10:33,3,5,DAL 41,0,0,Drew Bledsoe pass complete to Jason Witten for 12 yards (tackle by Nick Ferguson),0.760,2.460
1,9:50,1,10,DEN 47,0,0,Drew Bledsoe pass complete to Terry Glenn for 5 yards (tackle by Champ Bailey),2.460,2.590
1,9:12,2,5,DEN 42,0,0,Julius Jones left tackle for -3 yards (tackle by Courtney Brown),2.590,1.490
1,8:26,3,8,DEN 45,0,0,"Drew Bledsoe pass incomplete intended for Dan Campbell. Penalty on Champ Bailey: Defensive Holding, 5 yards (no play)",1.490,2.920
1,8:21,1,10,DEN 40,6,0,"Drew Bledsoe pass incomplete intended for Dan Campbell is intercepted by Champ Bailey at DEN-35 and returned for 65 yards, touchdown",2.920,-7.000
1,,,,DAL 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Todd Sauerbrun kicks off 70 yards, returned by Tyson Thompson for 29 yards (tackle by Karl Paymah)",0.000,0.870
1,8:04,1,10,DAL 29,7,0,Julius Jones left end for 1 yard (tackle by D.J. Williams),0.870,0.460
1,7:21,2,9,DAL 30,7,0,"Drew Bledsoe pass complete to Jason Witten for 14 yards (tackle by Nick Ferguson). Penalty on Al Wilson: Roughing the Passer, 15 yards",0.460,2.850
1,6:55,1,10,DEN 41,7,0,Drew Bledsoe pass complete to Julius Jones for 6 yards (tackle by D.J. Williams),2.850,3.120
1,6:21,2,4,DEN 35,7,0,Drew Bledsoe pass complete to Terrance Copper for 5 yards (tackle by Domonique Foxworth),3.120,3.580
1,5:51,1,10,DEN 30,7,0,Julius Jones up the middle for 8 yards (tackle by Ian Gold),3.580,4.110
1,5:28,2,2,DEN 22,7,0,Julius Jones up the middle for no gain (tackle by Michael Myers),4.110,3.400
1,4:54,3,2,DEN 22,7,0,Drew Bledsoe pass complete to Peerless Price for 7 yards,3.400,4.580
1,4:29,1,10,DEN 15,7,0,Marion Barber right tackle for 1 yard (tackle by D.J. Williams),4.580,4.110
1,3:50,2,9,DEN 14,7,6,"Drew Bledsoe pass complete to Keyshawn Johnson for 14 yards, touchdown",4.110,7.000
1,,,,DEN 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,7,7,"Billy Cundiff kicks off 63 yards, returned by Roc Alexander for 9 yards (tackle by Keith Davis)",0.000,-0.140
1,3:42,1,10,DEN 16,7,7,Mike Anderson left end for 4 yards (tackle by Ryan Fowler),-0.140,0.010
1,2:57,2,6,DEN 20,7,7,Jake Plummer pass complete to Kyle Johnson for 13 yards (tackle by Scott Fujita),0.010,1.140
1,2:16,1,10,DEN 33,7,7,Jake Plummer pass complete to Jeb Putzier for 24 yards (tackle by Keith Davis and Scott Fujita),1.140,2.720
1,1:35,1,10,DAL 43,7,7,Ron Dayne right tackle for 14 yards (tackle by Keith Davis and Roy Williams),2.720,3.640
1,0:54,1,10,DAL 29,7,7,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Aaron Glenn: Illegal Contact, 5 yards (no play)",3.640,3.970
1,0:47,1,10,DAL 24,7,7,Ron Dayne right tackle for 2 yards (tackle by Chris Canty),3.970,3.700
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,DAL 22,7,7,Mike Anderson left tackle for 2 yards (tackle by Scott Fujita and Chris Canty),3.700,3.270
2,14:24,3,6,DAL 20,13,7,"Jake Plummer pass complete to Rod Smith for 20 yards, touchdown",3.270,7.000
2,,,,DAL 2,14,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,14,7,"Todd Sauerbrun kicks off 68 yards, returned by Tyson Thompson for 19 yards (tackle by Patrick Chukwurah)",0.000,0.340
2,14:12,1,10,DAL 21,14,7,Drew Bledsoe pass complete to Jason Witten for 8 yards (tackle by Al Wilson),0.340,0.880
2,13:33,2,2,DAL 29,14,7,Marion Barber left tackle for 6 yards (tackle by Ebenezer Ekuban),0.880,1.270
2,12:53,1,10,DAL 35,14,7,Drew Bledsoe pass incomplete (defended by Champ Bailey),1.270,0.720
2,12:48,2,10,DAL 35,14,7,Drew Bledsoe pass incomplete intended for Terry Glenn,0.720,0.040
2,12:45,3,10,DAL 35,14,7,"Penalty on Rob Petitti: False Start, 5 yards (no play)",0.040,-0.630
2,12:45,3,15,DAL 30,14,7,Drew Bledsoe pass incomplete intended for Terry Glenn is intercepted by Nick Ferguson at DEN-39 and returned for 1 yard. Penalty on Torrin Tucker: Offensive Holding (Declined),-0.630,-1.600
,,,,,,,"DAL challenged the ruling, and the original play was overturned.",,
2,12:32,1,10,DEN 40,14,7,Jake Plummer pass complete to Rod Smith for 10 yards (tackle by Aaron Glenn),1.600,2.260
2,11:55,1,10,DAL 50,14,7,Mike Anderson left guard for 3 yards (tackle by Greg Ellis),2.260,2.120
2,11:15,2,7,DAL 47,14,7,Jake Plummer pass incomplete intended for Rod Smith,2.120,1.420
2,11:11,3,7,DAL 47,14,7,Jake Plummer right end for 1 yard (tackle by Terence Newman),1.420,0.200
2,10:43,4,6,DAL 46,14,7,Todd Sauerbrun punts 43 yards,0.200,0.380
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
2,10:28,1,10,DAL 3,14,7,Drew Bledsoe right end for -1 yards (tackle by Darrent Williams),-0.380,-0.850
2,9:57,2,11,DAL 2,14,7,Marion Barber left tackle for 1 yard (tackle by Ian Gold),-0.850,-1.420
2,9:15,3,10,DAL 3,14,7,Drew Bledsoe pass complete to Keyshawn Johnson for 4 yards (tackle by Darrent Williams),-1.420,-2.490
2,8:41,4,6,DAL 7,14,7,"Mat McBriar punts 50 yards, fair catch by Darrent Williams",-2.490,-1.800
2,8:36,1,10,DEN 43,14,7,Jake Plummer pass incomplete intended for Ashley Lelie is intercepted by Terence Newman at DAL-27 and returned for 4 yards,1.800,-1.000
2,8:21,1,10,DAL 31,14,7,Drew Bledsoe pass complete to Terry Glenn for 39 yards (tackle by Nick Ferguson),1.000,3.580
2,7:49,1,10,DEN 30,14,7,Drew Bledsoe pass complete to Julius Jones for 1 yard (tackle by John Lynch),3.580,3.170
2,7:08,2,9,DEN 29,14,7,Julius Jones up the middle for 7 yards (tackle by Nick Ferguson and John Lynch),3.170,3.400
2,6:28,3,2,DEN 22,14,7,Marion Barber right guard for 2 yards (tackle by Al Wilson and Ian Gold),3.400,4.240
,,,,,,,"DEN challenged the ruling, and the play was upheld.",,
2,5:33,1,10,DEN 20,14,7,Drew Bledsoe pass complete to Keyshawn Johnson for 7 yards (tackle by Domonique Foxworth),4.240,4.830
2,5:07,2,3,DEN 13,14,7,Marion Barber left tackle for 3 yards (tackle by Ian Gold and Trevor Pryce),4.830,4.910
2,4:25,1,10,DEN 10,14,7,Marion Barber right guard for 4 yards (tackle by Ebenezer Ekuban and Nick Ferguson),4.910,4.950
2,3:45,2,6,DEN 6,14,7,Marion Barber left tackle for 5 yards (tackle by Marco Coleman),4.950,5.170
2,3:04,3,1,DEN 1,14,7,Drew Bledsoe pass incomplete,5.170,3.550
2,2:58,,,,14,7,Timeout #1 by Dallas Cowboys,0.000,3.550
2,2:56,4,1,DEN 1,14,7,Drew Bledsoe pass incomplete intended for Keyshawn Johnson. Penalty on Gerard Warren: Defensive Offside (no play),3.550,3.550
2,2:55,,,,14,7,Timeout #2 by Dallas Cowboys,0.000,3.550
2,2:53,4,1,DEN 1,14,13,"Drew Bledsoe up the middle for 1 yard, touchdown",3.550,7.000
2,,,,DEN 2,14,14,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,DAL 30,14,14,"Billy Cundiff kicks off 60 yards, returned by Roc Alexander for 20 yards (tackle by Willie Pile)",0.000,0.940
2,2:47,1,10,DEN 30,14,14,"Penalty on Cooper Carlisle: False Start, 5 yards (no play)",0.940,0.610
2,2:47,1,15,DEN 25,14,14,Mike Anderson up the middle for 5 yards (tackle by Roy Williams),0.610,0.390
2,2:25,2,10,DEN 30,14,14,Mike Anderson right tackle for 2 yards (tackle by DeMarcus Ware),0.390,-0.030
2,2:00,3,8,DEN 32,14,14,Jake Plummer sacked by Chris Canty for -7 yards,-0.030,-1.700
2,1:51,,,,14,14,Timeout #3 by Dallas Cowboys,0.000,-1.700
2,1:51,4,15,DEN 25,14,14,"Todd Sauerbrun punts 44 yards, returned by Terence Newman for no gain. Penalty on Willie Pile: Illegal Block Above the , 10 yards",-1.700,-0.340
