Quarter,Time,Tm,Detail,DEN,DAL
1,8:10,Broncos,Champ Bailey 65 yard interception return (Jason Elam kick),7,0
,3:46,Cowboys,Keyshawn Johnson 14 yard pass from Drew Bledsoe (Billy Cundiff kick),7,7
2,14:17,Broncos,Rod Smith 20 yard pass from Jake Plummer (Jason Elam kick),14,7
,2:53,Cowboys,Drew Bledsoe 1 yard rush (Billy Cundiff kick),14,14
3,5:47,Broncos,Ron Dayne 16 yard rush (Jason Elam kick),21,14
4,13:36,Cowboys,Jason Witten 4 yard pass from Drew Bledsoe (Billy Cundiff kick),21,21
OT,13:39,Broncos,Jason Elam 24 yard field goal,24,21
