Quarter,Time,Tm,Detail,HOU,MIA
1.0,4:37,Dolphins,Myles Gaskin 6 yard rush (Jason Sanders kick),0,7
2.0,9:48,Texans,Ka'imi Fairbairn 31 yard field goal,3,7
,4:32,Texans,Ka'imi Fairbairn 40 yard field goal,6,7
,1:08,Dolphins,Jason Sanders 42 yard field goal,6,10
,0:29,Dolphins,Mack Hollins 5 yard pass from Jacoby Brissett (Jason Sanders kick),6,17
4.0,11:32,Texans,Ka'imi Fairbairn 20 yard field goal,9,17
