Unnamed: 0,NYG,WAS
First Downs,7,17
Rush-Yds-TDs,24-84-0,31-122-0
Cmp-Att-Yd-TD-INT,13-27-113-0-1,19-31-242-2-1
Sacked-Yards,4-27,6-41
Net Pass Yards,86,201
Total Yards,170,323
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,6-79,8-55
Third Down Conv.,2-14,4-15
Fourth Down Conv.,1-2,0-1
Time of Possession,25:23,34:37
