Quarter,Time,Tm,Detail,NYG,WAS
2.0,4:00,Giants,Aldrick Rosas 30 yard field goal,3,0
,0:13,Redskins,Nick Rose 28 yard field goal,3,3
3.0,6:32,Redskins,Jamison Crowder 15 yard pass from Kirk Cousins (Nick Rose kick),3,10
,2:52,Giants,Jackrabbit Jenkins 53 yard interception return (Aldrick Rosas kick),10,10
4.0,3:31,Redskins,Josh Doctson 14 yard pass from Kirk Cousins (Nick Rose kick),10,17
,1:49,Redskins,Nick Rose 33 yard field goal,10,20
