Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TAM 20,0,0,Doug Martin left guard for 3 yards (tackle by Shaq Thompson),0.280,0.140
1,14:25,2,7,TAM 23,0,0,"Jameis Winston for no gain. Joe Hawley fumbles, recovered by Star Lotulelei at TAM-21 (tackle by Ali Marpet)",0.140,-4.170
1,14:21,1,10,TAM 21,0,0,Jonathan Stewart right end for 13 yards (tackle by Sterling Moore),4.170,5.370
1,14:10,1,8,TAM 8,0,0,Mike Tolbert middle for 1 yard (tackle by William Gholston and Clinton McDonald),5.370,4.760
1,13:34,2,7,TAM 7,0,0,Cam Newton right end for -8 yards (tackle by Jacquies Smith),4.760,2.930
1,12:58,3,15,TAM 15,0,0,Cam Newton pass complete short middle to Greg Olsen for 9 yards (tackle by Lavonte David and Kwon Alexander),2.930,2.990
1,12:13,4,6,TAM 6,3,0,Graham Gano 24 yard field goal good,2.990,3.000
1,12:13,,,CAR 35,3,0,"Graham Gano kicks off 65 yards, returned by Bobby Rainey for 38 yards (tackle by Graham Gano)",0.000,-1.470
1,12:00,1,10,TAM 38,3,0,Doug Martin right guard for no gain (tackle by Kawann Short),1.470,0.920
1,11:30,2,10,TAM 38,3,0,Doug Martin left end for 2 yards (tackle by Thomas Davis),0.920,0.500
1,10:53,3,8,TAM 40,9,0,"Jameis Winston pass incomplete short right intended for Brandon Myers is intercepted by Josh Norman at TAM-46 and returned for 46 yards, touchdown. Penalty on Josh Norman: Unsportsmanlike Conduct, 15 yards",0.500,-7.000
1,10:41,,,TAM 40,10,0,Graham Gano kicks extra point good,0.000,0.000
1,10:41,,,CAR 20,10,0,"Graham Gano kicks off 75 yards, returned by Bobby Rainey for 32 yards (tackle by Tre Boston)",0.000,-1.400
1,10:32,1,10,TAM 37,10,0,Jameis Winston pass complete short middle to Vincent Jackson for 23 yards (tackle by Josh Norman),1.400,2.920
1,9:51,1,10,CAR 40,10,0,"Jameis Winston pass incomplete short middle intended for Vincent Jackson. Penalty on Gosder Cherilus: Illegal Formation (Offsetting), Penalty on Charles Tillman: Defensive Holding (Offsetting) (no play)",2.920,2.920
1,9:44,1,10,CAR 40,10,0,Doug Martin left guard for 3 yards (tackle by Shaq Thompson and Roman Harper),2.920,2.780
1,9:10,2,7,CAR 37,10,0,Doug Martin left guard for 7 yards (tackle by Thomas Davis and Kony Ealy),2.780,3.580
1,8:32,1,10,CAR 30,10,0,Doug Martin left tackle for 6 yards (tackle by Roman Harper),3.580,3.840
1,7:54,2,4,CAR 24,10,0,Doug Martin right guard for no gain (tackle by Shaq Thompson and Kony Ealy),3.840,3.140
1,7:15,3,4,CAR 24,10,0,Jameis Winston pass incomplete deep left intended for Mike Evans (defended by Josh Norman),3.140,1.940
1,7:08,4,4,CAR 24,10,3,Kyle Brindza 42 yard field goal good,1.940,3.000
1,7:08,,,TAM 35,10,3,"Kyle Brindza kicks off 65 yards, touchback",0.000,-0.280
1,7:03,1,10,CAR 20,10,3,Jonathan Stewart right guard for 2 yards (tackle by Chris Conte and William Gholston),0.280,0.000
1,6:28,2,8,CAR 22,10,3,Jonathan Stewart middle for 3 yards (tackle by Kwon Alexander and Lavonte David),0.000,-0.300
1,5:46,3,5,CAR 25,10,3,"Cam Newton right end for 4 yards (tackle by Lavonte David). Penalty on Jacquies Smith: Illegal Use of Hands, 5 yards",-0.300,1.200
1,5:23,1,10,CAR 34,10,3,Jonathan Stewart middle for 4 yards (tackle by Clinton McDonald and Danny Lansanah),1.200,1.200
1,4:47,2,6,CAR 38,10,3,Cam Newton pass complete short middle to Greg Olsen for 19 yards (tackle by Bradley McDougald),1.200,1.200
1,4:07,2,6,CAR 38,10,3,Timeout #1 by Carolina Panthers,1.200,2.720
1,4:07,1,10,TAM 43,10,3,Cam Newton pass complete short right to Brenton Bersin for -3 yards (tackle by Chris Conte),2.720,1.770
1,3:26,2,13,TAM 46,10,3,Jonathan Stewart left guard for 8 yards (tackle by Bradley McDougald and Clinton McDonald),1.770,2.150
1,3:05,3,5,TAM 38,10,3,Cam Newton pass incomplete deep left intended for Greg Olsen,2.150,0.720
1,2:57,4,5,TAM 38,10,3,"Brad Nortman punts 38 yards, touchback",0.720,-0.280
1,2:50,1,10,TAM 20,10,3,Charles Sims right end for 6 yards (tackle by Kawann Short and A.J. Klein),0.280,0.540
1,2:16,2,4,TAM 26,10,3,Jameis Winston pass incomplete short left intended for Charles Sims,0.540,-0.160
1,2:11,3,4,TAM 26,10,3,Jameis Winston left end for 7 yards (tackle by Kurt Coleman),-0.160,1.140
1,1:27,1,10,TAM 33,10,3,"Jameis Winston pass incomplete. Penalty on Jameis Winston: Intentional Grounding, 13 yards",1.140,-1.160
1,1:15,2,23,TAM 20,10,3,Charles Sims right guard for 7 yards (tackle by Colin Jones),-1.160,-0.890
1,0:39,3,16,TAM 27,10,3,Jameis Winston pass complete short middle to Charles Sims for 7 yards (tackle by Tre Boston),-0.890,-1.110
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,9,TAM 34,10,3,"Jake Schum punts 41 yards, returned by Ted Ginn for no gain",-1.110,-0.610
2,14:51,1,10,CAR 25,10,3,Cam Newton pass incomplete short right intended for Devin Funchess (defended by William Gholston),0.610,0.060
2,14:47,2,10,CAR 25,10,3,Cam Newton pass incomplete deep right intended for Corey Brown (defended by Chris Conte),0.060,-0.620
2,14:39,3,10,CAR 25,10,3,Cam Newton pass incomplete short right intended for Fozzy Whittaker,-0.620,-1.700
2,14:31,4,10,CAR 25,10,3,"Brad Nortman punts 56 yards, returned by Bobby Rainey for no gain",-1.700,-0.150
2,14:22,1,10,TAM 19,10,3,"Jameis Winston pass incomplete short left intended for Mike Evans is intercepted by Kurt Coleman at TAM-30. Penalty on Shaq Thompson: Unnecessary Roughness, 15 yards",0.150,-2.590
2,14:14,1,10,TAM 45,10,3,Jonathan Stewart middle for -1 yards (tackle by William Gholston),2.590,1.910
2,13:42,2,11,TAM 46,10,3,Cam Newton pass complete short right to Ed Dickson for 11 yards (tackle by Tim Jennings),1.910,3.250
2,12:58,1,10,TAM 35,10,3,Cam Newton pass incomplete short right intended for Ted Ginn (defended by Mike Jenkins),3.250,2.700
2,12:53,2,10,TAM 35,10,3,Cam Newton right end for 12 yards (tackle by Chris Conte),2.700,4.040
2,12:14,1,10,TAM 23,10,3,Cam Newton pass complete short middle to Brenton Bersin for 15 yards (tackle by Keith Tandy),4.040,5.370
2,11:40,1,8,TAM 8,10,3,Jonathan Stewart left guard for 2 yards (tackle by Bradley McDougald and T.J. Fatinikun),5.370,4.950
2,10:59,2,6,TAM 6,10,3,Cam Newton pass incomplete short left intended for Greg Olsen,4.950,4.040
2,10:55,3,6,TAM 6,16,3,"Cam Newton pass complete short right to Ted Ginn for 6 yards, touchdown",4.040,7.000
,,,,,,,"CAR challenged the pass completion ruling, and the original play was overturned.",,
2,10:55,,,TAM 6,17,3,Graham Gano kicks extra point good,0.000,0.000
2,10:55,,,CAR 35,17,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,10:50,1,10,TAM 20,17,3,Doug Martin left tackle for 7 yards (tackle by A.J. Klein),0.280,0.680
2,10:22,2,3,TAM 27,17,3,Doug Martin middle for -2 yards (tackle by Kony Ealy),0.680,-0.300
2,9:40,3,5,TAM 25,17,3,Jameis Winston pass complete short right to Vincent Jackson for 8 yards (tackle by Josh Norman),-0.300,1.140
2,9:14,1,10,TAM 33,17,3,Doug Martin middle for no gain (tackle by Ryan Delaire and Thomas Davis),1.140,0.590
2,8:43,2,10,TAM 33,17,3,Jameis Winston pass complete short left to Louis Murphy for 9 yards (tackle by Colin Jones),0.590,1.090
2,8:05,3,1,TAM 42,17,3,Doug Martin right guard for 2 yards (tackle by Thomas Davis and A.J. Klein),1.090,1.860
2,7:33,1,10,TAM 44,17,3,Jameis Winston pass complete short left to Doug Martin for 10 yards (tackle by Kawann Short),1.860,2.520
2,7:01,1,10,CAR 46,17,3,Charles Sims right tackle for 1 yard (tackle by A.J. Klein and Colin Jones),2.520,2.110
2,6:35,2,9,CAR 45,17,3,Jameis Winston pass complete short middle to Vincent Jackson for 20 yards (tackle by Roman Harper),2.110,3.910
2,6:03,1,10,CAR 25,17,3,Jameis Winston pass complete short left to Louis Murphy for 6 yards (tackle by Kurt Coleman),3.910,4.200
2,5:47,2,4,CAR 19,17,3,Charles Sims middle for 3 yards (tackle by Roman Harper),4.200,4.060
2,5:09,3,1,CAR 16,17,3,Jameis Winston pass complete short left to Vincent Jackson for 11 yards (tackle by Josh Norman),4.060,6.060
2,4:28,1,5,CAR 5,17,9,"Doug Martin right guard for 5 yards, touchdown",6.060,7.000
2,4:28,,,CAR 5,17,10,Kyle Brindza kicks extra point good,0.000,0.000
2,4:28,,,TAM 35,17,10,"Kyle Brindza kicks off 65 yards, touchback",0.000,-0.280
2,4:23,1,10,CAR 20,17,10,Jonathan Stewart right tackle for 7 yards (tackle by Kwon Alexander and Tim Jennings),0.280,0.680
2,3:40,2,3,CAR 27,17,10,Cam Newton left tackle for 8 yards (tackle by Chris Conte),0.680,1.270
2,3:40,1,10,CAR 35,17,10,"Penalty on Mike Remmers: False Start, 5 yards (no play)",1.270,0.940
2,2:43,1,15,CAR 30,17,10,Cam Newton sacked by Gerald McCoy for -9 yards,0.940,0.940
2,2:05,1,15,CAR 30,17,10,Timeout #1 by Tampa Bay Buccaneers,0.940,-1.170
2,2:05,2,24,CAR 21,17,10,Cam Newton pass incomplete short middle intended for Greg Olsen,-1.170,-1.810
2,2:01,3,24,CAR 21,17,10,Cam Newton pass complete short left to Fozzy Whittaker for 10 yards (tackle by Henry Melton and Lavonte David). Penalty on Michael Oher: Illegal Formation (Declined),-1.810,-1.310
2,1:55,4,14,CAR 31,17,10,"Brad Nortman punts 39 yards, returned by Bobby Rainey for 15 yards (tackle by A.J. Klein)",-1.310,-1.930
2,1:46,1,10,TAM 45,17,10,Jameis Winston pass complete short left to Charles Sims for 13 yards (tackle by A.J. Klein),1.930,2.790
2,1:20,1,10,CAR 42,17,10,Charles Sims left guard for 5 yards (tackle by Dwan Edwards and A.J. Klein),2.790,2.920
2,1:01,2,5,CAR 37,17,10,Jameis Winston pass complete short right to Brandon Myers for 8 yards (tackle by Thomas Davis),2.920,3.640
2,0:40,1,10,CAR 29,17,10,Jameis Winston pass incomplete deep left intended for Vincent Jackson,3.640,3.100
2,0:35,2,10,CAR 29,17,10,Jameis Winston pass incomplete short right intended for Vincent Jackson,3.100,3.100
2,0:29,2,10,CAR 29,17,10,Timeout #2 by Tampa Bay Buccaneers,3.100,2.410
2,0:29,3,10,CAR 29,17,10,"Jameis Winston pass incomplete deep left intended for Vincent Jackson (defended by Josh Norman). Penalty on A.J. Klein: Defensive Holding, 5 yards (no play)",2.410,3.970
2,0:23,1,10,CAR 24,17,10,Jameis Winston pass incomplete short left intended for Vincent Jackson,3.970,3.430
2,0:16,2,10,CAR 24,17,10,Jameis Winston pass complete short right to Mike Evans for 6 yards (tackle by Thomas Davis),3.430,3.430
2,0:11,2,10,CAR 24,17,10,Timeout #3 by Tampa Bay Buccaneers,3.430,3.570
