Unnamed: 0,CAR,TAM
First Downs,17,25
Rush-Yds-TDs,33-133-0,30-141-1
Cmp-Att-Yd-TD-INT,11-22-124-2-0,26-43-287-2-4
Sacked-Yards,2-13,2-17
Net Pass Yards,111,270
Total Yards,244,411
Fumbles-Lost,2-1,1-1
Turnovers,1,5
Penalties-Yards,5-45,5-48
Third Down Conv.,3-11,8-16
Fourth Down Conv.,0-0,2-2
Time of Possession,27:50,32:10
