Quarter,Time,Tm,Detail,CAR,TAM
1.0,12:09,Panthers,Graham Gano 24 yard field goal,3,0
,10:41,Panthers,Josh Norman 46 yard interception return (Graham Gano kick),10,0
,7:03,Buccaneers,Kyle Brindza 42 yard field goal,10,3
2.0,10:50,Panthers,Ted Ginn Jr. 6 yard pass from Cam Newton (Graham Gano kick),17,3
,4:23,Buccaneers,Doug Martin 5 yard rush (Kyle Brindza kick),17,10
3.0,12:25,Panthers,Ed Dickson 57 yard offensive fumble return (Graham Gano kick),24,10
,7:25,Panthers,Ted Ginn Jr. 12 yard pass from Cam Newton (Graham Gano kick),31,10
,2:48,Buccaneers,Charles Sims 10 yard pass from Jameis Winston (Kyle Brindza kick),31,17
4.0,13:28,Panthers,Graham Gano 27 yard field goal,34,17
,4:15,Panthers,Graham Gano 27 yard field goal,37,17
,0:58,Buccaneers,Vincent Jackson 6 yard pass from Jameis Winston (Kyle Brindza kick failed),37,23
