Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
1,10:32,1,10,CHI 36,0,3,Matt Forte right end for 4 yards (tackle by Jermaine Phillips),1.330,1.330
1,9:57,2,6,CHI 40,0,3,Kyle Orton pass complete short left to Greg Olsen for 10 yards (tackle by Cato June),1.330,2.260
1,9:34,1,10,,0,3,Matt Forte right guard for 7 yards (tackle by Tanard Jackson),2.260,2.660
1,9:01,2,3,TAM 43,0,3,Matt Forte left guard for 4 yards (tackle by Derrick Brooks and Jovan Haye),2.660,2.980
1,8:21,1,10,TAM 39,0,3,Kyle Orton pass complete short right to Matt Forte for 12 yards (tackle by Cato June),2.980,3.780
1,7:41,1,10,TAM 27,0,3,Matt Forte right end for -3 yards (tackle by Cato June),3.780,2.830
1,7:03,2,13,TAM 30,0,3,Matt Forte right tackle for 5 yards (tackle by Barrett Ruud),2.830,2.810
1,6:21,3,8,TAM 25,0,3,Kyle Orton pass incomplete short right intended for Marty Booker,2.810,1.800
1,6:15,4,8,TAM 25,0,6,Robbie Gould 43 yard field goal good,1.800,3.000
1,,,,CHI 30,0,6,"Robbie Gould kicks off 70 yards, returned by Michael Clayton for 38 yards (tackle by Garrett Wolfe). Penalty on Adam Hayward: Offensive Holding, 10 yards",0.000,0.150
1,6:03,1,10,TAM 19,0,6,Brian Griese pass complete short left to Antonio Bryant for 14 yards (tackle by Nathan Vasher),0.150,1.140
1,5:28,1,10,TAM 33,0,6,Warrick Dunn left guard for 18 yards (tackle by Kevin Payne),1.140,2.320
1,4:48,1,10,CHI 49,0,6,Brian Griese pass complete short left to Jerramy Stevens for 31 yards (tackle by Mike Brown),2.320,4.370
1,4:09,1,10,CHI 18,0,6,Earnest Graham right tackle for 7 yards (tackle by Kevin Payne),4.370,5.010
1,3:35,2,3,CHI 11,0,6,Brian Griese pass complete short left to Antonio Bryant for 3 yards (tackle by Charles Tillman),5.010,5.370
1,3:07,1,8,CHI 8,0,6,Brian Griese pass complete short right to John Gilmore for 3 yards (tackle by Corey Graham),5.370,5.150
1,2:34,2,5,CHI 5,0,6,Earnest Graham right end for 1 yard (tackle by Mark Anderson and Hunter Hillenmeyer),5.150,4.490
1,1:54,3,4,CHI 4,6,6,"Brian Griese pass complete short left to Ike Hilliard for 4 yards, touchdown",4.490,7.000
1,,,,CHI 2,7,6,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,7,6,"Matt Bryant kicks off 68 yards, returned by Danieal Manning for 46 yards (tackle by Maurice Stovall)",0.000,2.130
1,1:40,1,10,CHI 48,7,6,Kyle Orton pass incomplete short right intended for Brandon Lloyd (defended by Kevin Carter),2.130,1.580
1,1:37,2,10,CHI 48,7,6,Matt Forte right tackle for 4 yards (tackle by Chris Hovan),1.580,1.420
1,0:58,3,6,TAM 48,7,6,Kyle Orton sacked by Stylez G. White for -5 yards,1.420,-0.260
1,0:22,4,11,CHI 47,7,6,"Brad Maynard punts 53 yards, touchback",-0.260,-0.280
1,0:13,1,10,TAM 20,7,6,Brian Griese pass complete short right to Warrick Dunn for 10 yards (tackle by Hunter Hillenmeyer),0.280,0.940
Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 30,7,6,Brian Griese pass incomplete short left intended for Jerramy Stevens,0.940,0.390
2,14:53,2,10,TAM 30,7,6,"Brian Griese pass complete short right to Maurice Stovall for 8 yards (tackle by Charles Tillman). Maurice Stovall fumbles (forced by Charles Tillman), recovered by Brian Urlacher at TAM-38 (tackle by Maurice Stovall)",0.390,-3.050
2,14:47,1,10,TAM 38,7,6,Matt Forte left tackle for 4 yards (tackle by Chris Hovan),3.050,3.050
2,14:08,2,6,TAM 34,7,6,Kyle Orton pass incomplete deep right intended for Matt Forte is intercepted by Barrett Ruud,3.050,-0.280
2,14:00,1,10,TAM 20,7,6,Warrick Dunn right end for -2 yards (tackle by Adewale Ogunleye),0.280,-0.630
2,13:23,2,12,TAM 18,7,6,Brian Griese pass complete short right to Antonio Bryant for 11 yards (tackle by Mike Brown),-0.630,0.230
2,12:52,3,1,TAM 29,7,6,Earnest Graham right guard for no gain (tackle by Adewale Ogunleye and Hunter Hillenmeyer),0.230,-1.440
2,12:14,4,1,TAM 29,7,6,Josh Bidwell punts 45 yards,-1.440,-0.670
2,12:02,1,10,CHI 26,7,6,Matt Forte left tackle for 2 yards (tackle by Chris Hovan),0.670,0.400
2,11:23,2,8,CHI 28,7,6,Kyle Orton pass complete short left to Matt Forte for 1 yard (tackle by Stylez G. White),0.400,-0.160
2,10:41,3,7,CHI 29,7,6,Kyle Orton pass complete short right to Matt Forte for 6 yards (tackle by Ronde Barber),-0.160,-1.040
2,10:00,4,1,CHI 35,7,6,"Brad Maynard punts 36 yards, returned by Dexter Jackson for 4 yards (tackle by Corey Graham)",-1.040,-1.140
2,9:52,1,10,TAM 33,7,6,Earnest Graham left end for -4 yards (tackle by Lance Briggs),1.140,0.050
2,9:14,2,14,TAM 29,7,6,Brian Griese pass complete short left to B.J. Askew for no gain,0.050,-0.620
2,8:35,3,14,TAM 29,7,6,Brian Griese pass incomplete short left intended for Warrick Dunn,-0.620,-1.440
2,8:31,4,14,TAM 29,7,6,Josh Bidwell punts 43 yards,-1.440,-0.810
2,8:22,1,10,CHI 28,7,6,Kyle Orton right end for 12 yards (tackle by Barrett Ruud),0.810,1.600
2,7:40,1,10,CHI 40,7,6,Matt Forte right tackle for 1 yard (tackle by Chris Hovan),1.600,1.190
2,7:04,2,9,CHI 41,7,6,Kyle Orton pass complete short left to Matt Forte for 19 yards (tackle by Tanard Jackson),1.190,2.920
2,6:12,1,10,TAM 40,7,6,Kyle Orton sacked by Kevin Carter and Ryan Sims for -9 yards,2.920,1.160
2,5:40,2,19,TAM 49,13,6,"Kyle Orton pass incomplete is intercepted by Gaines Adams at CHI-45 and returned for 45 yards, touchdown",1.160,-7.000
,,,,,,,"TAM challenged the runner was in bounds ruling, and the original play was overturned.",,
2,,,,CHI 2,14,6,Matt Bryant kicks extra point good,0.000,0.000
2,,,,TAM 35,14,6,"Matt Bryant kicks off 66 yards, returned by Danieal Manning for 25 yards (tackle by Geno Hayes)",0.000,0.540
2,5:19,1,10,CHI 24,14,6,Kyle Orton pass complete short right to Jason McKie for 5 yards (tackle by Phillip Buchanon),0.540,0.670
2,4:40,2,5,CHI 29,14,6,Kyle Orton pass complete short right to Desmond Clark for 4 yards (tackle by Tanard Jackson),0.670,0.500
2,4:02,,,,14,6,Timeout #1 by Chicago Bears,0.000,0.500
2,4:02,3,1,CHI 33,14,6,Matt Forte left guard for 2 yards (tackle by Barrett Ruud),0.500,1.270
2,3:23,1,10,CHI 35,14,6,Matt Forte left guard for 3 yards (tackle by Jovan Haye),1.270,1.130
2,2:48,2,7,CHI 38,14,6,Kyle Orton pass complete short right to Greg Olsen for 6 yards (tackle by Cato June),1.130,1.220
2,2:09,3,1,CHI 44,14,6,Kyle Orton pass incomplete short right intended for Brandon Lloyd,1.220,-0.460
2,2:06,4,1,CHI 44,14,6,Garrett Wolfe right end for 38 yards (tackle by Dexter Jackson),-0.460,4.370
2,1:59,1,10,TAM 18,14,6,Matt Forte right guard for 3 yards (tackle by Derrick Brooks),4.370,4.250
2,1:26,2,7,TAM 15,14,6,Kyle Orton left guard for 4 yards (tackle by Gaines Adams),4.250,4.260
2,0:48,3,3,TAM 11,14,6,Matt Forte left guard for 1 yard (tackle by Stylez G. White),4.260,2.890
2,0:03,,,,14,6,Timeout #2 by Chicago Bears,0.000,2.890
2,0:03,4,2,TAM 10,14,9,Robbie Gould 28 yard field goal good,2.890,3.000
Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,14,9,"Matt Bryant kicks off 59 yards, returned by Danieal Manning for 21 yards (tackle by Tanard Jackson)",0.000,1.070
3,14:54,1,10,CHI 32,14,9,Matt Forte left tackle for 2 yards (tackle by Jovan Haye),1.070,0.800
3,14:12,2,8,CHI 34,14,9,Matt Forte left tackle for 3 yards (tackle by Kevin Carter),0.800,0.500
3,13:35,3,5,CHI 37,14,9,Kyle Orton pass incomplete short left intended for Brandon Lloyd (defended by Marcus Hamilton),0.500,-0.910
3,13:31,4,5,CHI 37,14,9,"Brad Maynard punts 50 yards, returned by Dexter Jackson for no gain",-0.910,0.320
3,13:22,1,10,TAM 13,14,9,Brian Griese pass complete short left to Antonio Bryant for 7 yards (tackle by Charles Tillman),-0.320,0.220
3,12:59,2,3,TAM 20,14,9,Earnest Graham right tackle for 1 yard (tackle by Adewale Ogunleye),0.220,-0.470
3,12:21,3,2,TAM 21,14,9,Brian Griese pass incomplete short middle intended for Jerramy Stevens (defended by Hunter Hillenmeyer),-0.470,-1.960
3,12:16,4,2,TAM 21,14,9,"Josh Bidwell punts 42 yards, returned by Nathan Vasher for 10 yards (tackle by Andrew Economos)",-1.960,-2.060
3,12:04,1,10,CHI 47,14,9,Kyle Orton pass incomplete short left intended for Matt Forte,2.060,1.520
3,11:59,2,10,CHI 47,14,9,Matt Forte left guard for 5 yards (tackle by Jovan Haye),1.520,1.490
3,11:17,3,5,TAM 48,14,9,Kyle Orton pass incomplete deep left intended for Marty Booker (defended by Marcus Hamilton),1.490,0.070
3,11:10,4,5,TAM 48,14,9,"Brad Maynard punts 42 yards, fair catch by Ike Hilliard",0.070,0.380
3,11:01,1,10,TAM 6,14,9,Brian Griese pass complete short right to Michael Clayton for 9 yards (tackle by Charles Tillman),-0.380,-0.070
3,10:24,2,1,TAM 15,14,9,Brian Griese pass incomplete short left intended for Michael Clayton,-0.070,-0.370
3,10:21,3,1,TAM 15,14,9,Brian Griese pass complete short left to B.J. Askew for 18 yards (tackle by Corey Graham),-0.370,1.140
3,9:54,1,10,TAM 33,14,9,Brian Griese pass complete short right to Michael Clayton for 3 yards (tackle by Lance Briggs),1.140,1.000
3,9:14,2,7,TAM 36,14,9,Brian Griese pass incomplete short right intended for John Gilmore,1.000,0.300
3,9:11,3,7,TAM 36,14,9,Brian Griese pass complete short middle to Antonio Bryant for 14 yards (tackle by Charles Tillman),0.300,2.260
3,8:41,1,10,,14,9,Brian Griese pass complete deep left to Alex Smith for 20 yards (tackle by Mike Brown),2.260,3.580
3,8:02,1,10,CHI 30,14,9,Earnest Graham right guard for -1 yards (tackle by Dusty Dvoracek),3.580,2.900
3,7:24,2,11,CHI 31,14,9,Brian Griese pass incomplete short right intended for B.J. Askew,2.900,2.210
3,7:20,3,11,CHI 31,14,9,Brian Griese pass incomplete deep left intended for Antonio Bryant is intercepted by Nathan Vasher at CHI-14,2.210,0.280
3,7:14,1,10,CHI 14,14,9,Matt Forte right end for 3 yards (tackle by Kevin Carter),-0.280,-0.370
3,6:37,2,7,CHI 17,14,9,Kevin Jones left guard for 6 yards (tackle by Jermaine Phillips and Sabby Piscitelli),-0.370,-0.320
3,6:10,3,1,CHI 23,14,9,Kyle Orton up the middle for 2 yards (tackle by Jovan Haye),-0.320,0.610
3,5:25,1,10,CHI 25,14,9,Kyle Orton pass complete short left to Brandon Lloyd for 21 yards (tackle by Sabby Piscitelli),0.610,1.990
3,4:52,1,10,CHI 46,14,9,Kevin Jones left end for 3 yards (tackle by Ronde Barber),1.990,1.860
3,4:16,2,7,CHI 49,14,9,Kyle Orton pass complete deep left to Rashied Davis for 18 yards,1.860,3.380
3,3:47,1,10,TAM 33,14,9,Kyle Orton pass complete deep left to Brandon Lloyd for 27 yards (tackle by Ronde Barber),3.380,5.830
3,2:58,1,6,TAM 6,14,15,"Kyle Orton pass complete short left to Matt Forte for 6 yards, touchdown",5.830,7.000
3,,,,,14,17,"Two Point Attempt: Kyle Orton pass complete to Brandon Lloyd, conversion succeeds",1.000,1.000
3,,,,CHI 30,14,17,"Robbie Gould kicks off 64 yards, returned by Michael Clayton for 23 yards (tackle by Danieal Manning). Penalty on Will Allen: Offensive Holding, 10 yards",0.000,-0.320
3,2:44,1,10,TAM 13,14,17,Brian Griese pass complete deep middle to Antonio Bryant for 17 yards (tackle by Charles Tillman),-0.320,0.940
3,2:10,1,10,TAM 30,14,17,Earnest Graham left guard for 1 yard (tackle by Dusty Dvoracek),0.940,0.530
3,1:32,2,9,TAM 31,14,17,Brian Griese pass incomplete deep left intended for Jerramy Stevens,0.530,-0.160
3,1:26,3,9,TAM 31,14,17,Brian Griese pass incomplete deep left intended for Antonio Bryant,-0.160,-1.310
3,1:22,4,9,TAM 31,14,17,"Josh Bidwell punts 47 yards, returned by Nathan Vasher for 16 yards (tackle by Maurice Stovall). Penalty on Adrian Peterson: Illegal Block Above the Waist, 9 yards",-1.310,0.380
3,1:07,1,10,CHI 10,14,17,Kyle Orton left end for 4 yards (tackle by Barrett Ruud),-0.380,-0.460
3,0:31,2,6,CHI 14,14,17,Kevin Jones left guard for 1 yard (tackle by Cato June),-0.460,-0.840
Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,CHI 15,14,17,Kyle Orton pass complete deep left to Brandon Lloyd for 25 yards,-0.840,1.600
4,14:38,1,10,CHI 40,14,17,Kyle Orton pass complete short right to Matt Forte for 10 yards (tackle by Barrett Ruud),1.600,2.260
4,14:12,1,10,,14,17,Matt Forte right tackle for 1 yard (tackle by Kevin Carter),2.260,1.850
4,13:29,2,9,TAM 49,14,17,Matt Forte right tackle for 11 yards (tackle by Derrick Brooks),1.850,3.050
4,12:53,1,10,TAM 38,14,17,Matt Forte right guard for 3 yards (tackle by Derrick Brooks),3.050,2.910
4,12:04,2,7,TAM 35,14,17,Kyle Orton pass incomplete short left intended for Greg Olsen,2.910,2.210
4,11:57,3,7,TAM 35,14,17,Kyle Orton pass complete short right to Desmond Clark for 4 yards (tackle by Tanard Jackson),2.210,1.380
4,11:12,4,3,TAM 31,14,17,Robbie Gould 49 yard field goal no good,1.380,-1.530
4,11:07,1,10,TAM 39,14,17,"Brian Griese pass incomplete deep left intended for Antonio Bryant (defended by Charles Tillman). Penalty on Charles Tillman: Illegal Contact, 5 yards (no play)",1.530,1.860
4,11:00,1,10,TAM 44,14,17,Brian Griese pass incomplete short left intended for Alex Smith,1.860,1.320
4,10:55,2,10,TAM 44,14,17,Earnest Graham left guard for 2 yards (tackle by Brian Urlacher),1.320,0.890
4,10:17,3,8,TAM 46,14,17,Brian Griese pass incomplete deep right intended for Jerramy Stevens is intercepted by Kevin Payne at CHI-34 and returned for 12 yards (tackle by Ike Hilliard),0.890,-1.990
4,10:08,1,10,CHI 46,14,17,Kyle Orton pass complete short left to Brandon Lloyd for 8 yards (tackle by Ronde Barber),1.990,2.530
4,9:31,2,2,TAM 46,14,17,Matt Forte right guard for 2 yards (tackle by Kevin Carter),2.530,2.650
4,8:52,1,10,TAM 44,14,17,Kyle Orton pass complete short right to Matt Forte for 12 yards (tackle by Sabby Piscitelli),2.650,3.450
4,8:20,1,10,TAM 32,14,17,Kyle Orton pass complete short left to Rashied Davis for 6 yards (tackle by Ronde Barber),3.450,3.710
4,7:46,2,4,TAM 26,14,17,Kyle Orton pass complete short right to Jason McKie for 12 yards (tackle by Geno Hayes),3.710,4.650
4,7:01,1,10,TAM 14,14,17,"Penalty on Roberto Garza: False Start, 5 yards (no play)",4.650,4.260
4,6:45,1,15,TAM 19,14,23,"Kyle Orton pass complete deep left to Brandon Lloyd for 19 yards, touchdown",4.260,7.000
4,,,,TAM 2,14,24,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,14,24,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
4,6:38,1,10,TAM 20,14,24,Brian Griese pass complete short left to Warrick Dunn for 2 yards (tackle by Danieal Manning),0.280,0.000
4,6:15,2,8,TAM 22,14,24,Brian Griese pass complete short left to Antonio Bryant for 8 yards (tackle by Nathan Vasher),0.000,0.940
4,5:52,1,10,TAM 30,14,24,Brian Griese pass complete short right to Michael Clayton for 12 yards (tackle by Brian Urlacher),0.940,1.730
4,5:19,1,10,TAM 42,14,24,Brian Griese pass complete short middle to Ike Hilliard for 8 yards (tackle by Lance Briggs),1.730,2.270
4,4:57,2,2,,14,24,Brian Griese pass complete short middle to Ike Hilliard for 18 yards (tackle by Kevin Payne),2.270,3.450
4,4:32,1,10,CHI 32,14,24,Brian Griese pass complete short left to Warrick Dunn for 6 yards (tackle by Adewale Ogunleye),3.450,3.710
4,3:59,2,4,CHI 26,14,24,Brian Griese pass incomplete short left intended for Alex Smith (defended by Alex Brown),3.710,3.010
4,3:55,3,4,CHI 26,14,24,Brian Griese pass complete short left to Jerramy Stevens for 9 yards (tackle by Nathan Vasher),3.010,4.440
4,3:30,1,10,CHI 17,14,24,Brian Griese pass incomplete short left intended for Antonio Bryant,4.440,3.850
4,3:26,2,10,CHI 17,14,24,Brian Griese pass incomplete short right intended for Michael Clayton,3.850,3.070
4,3:20,3,10,CHI 17,14,24,Brian Griese pass incomplete short left intended for Ike Hilliard (defended by Danieal Manning),3.070,2.310
4,3:16,4,10,CHI 17,17,24,Matt Bryant 35 yard field goal good,2.310,3.000
4,,,,TAM 30,17,24,"Matt Bryant kicks off 70 yards, touchback",0.000,0.280
4,3:11,1,10,CHI 20,17,24,Matt Forte left end for 7 yards (tackle by Barrett Ruud),0.280,0.680
4,2:25,2,3,CHI 27,17,24,Matt Forte right guard for 1 yard (tackle by Jovan Haye),0.680,0.100
4,2:20,,,,17,24,Timeout #1 by Tampa Bay Buccaneers,0.000,0.100
4,2:20,3,2,CHI 28,17,24,Kyle Orton right end for no gain (tackle by Cato June),0.100,-1.500
4,2:00,4,2,CHI 28,17,24,"Brad Maynard punts 48 yards, returned by Dexter Jackson for -3 yards (tackle by Jamar Williams)",-1.500,-0.340
4,1:49,1,10,TAM 21,17,24,"Brian Griese pass incomplete deep middle intended for Michael Clayton. Penalty on Adewale Ogunleye: Defensive Offside, 5 yards (no play)",0.340,1.070
4,1:45,1,5,TAM 26,17,24,Brian Griese pass incomplete short right intended for Antonio Bryant,1.070,0.480
4,1:42,2,5,TAM 26,17,24,Brian Griese pass complete short right to Ike Hilliard for 6 yards (tackle by Charles Tillman),0.480,1.070
4,1:37,1,10,TAM 32,17,24,Brian Griese pass incomplete short left intended for Antonio Bryant,1.070,0.530
4,1:34,2,10,TAM 32,17,24,Brian Griese pass incomplete short left intended for Antonio Bryant (defended by Nathan Vasher),0.530,-0.160
4,1:28,3,10,TAM 32,17,24,Brian Griese pass complete deep middle to Jerramy Stevens for 18 yards (tackle by Mike Brown),-0.160,2.260
4,1:04,1,10,,17,24,Brian Griese pass complete short left to Michael Clayton for 13 yards (tackle by Brian Urlacher),2.260,3.120
4,0:56,,,,17,24,Timeout #2 by Tampa Bay Buccaneers,0.000,3.120
4,0:56,1,10,CHI 37,17,24,Brian Griese pass complete short middle to Ike Hilliard for 17 yards (tackle by Brian Urlacher),3.120,4.240
4,0:29,1,10,CHI 20,17,24,Brian Griese pass incomplete deep right intended for Maurice Stovall (defended by Charles Tillman),4.240,3.690
4,0:24,2,10,CHI 20,17,24,Brian Griese pass complete deep middle to Antonio Bryant for 19 yards (tackle by Nathan Vasher),3.690,6.970
4,0:12,,,,17,24,Timeout #3 by Tampa Bay Buccaneers,0.000,6.970
4,0:12,1,1,CHI 1,17,24,Brian Griese pass incomplete short right intended for Jerramy Stevens,6.970,5.910
4,0:10,2,1,CHI 1,23,24,"Brian Griese pass complete short left to Jerramy Stevens for 1 yard, touchdown",5.910,7.000
4,,,,CHI 2,24,24,Matt Bryant kicks extra point good,0.000,0.000
4,,,,TAM 30,24,24,"Matt Bryant kicks off 73 yards, returned by Danieal Manning for 16 yards (tackle by Geno Hayes). Penalty on Byron Storer: Unnecessary Roughness, 15 yards",0.000,0.810
4,0:00,1,10,CHI 28,24,24,Kyle Orton kneels for -1 yards,0.810,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TAM,CHI,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,
OT,,,,CHI 30,24,24,"Robbie Gould kicks off 70 yards, returned by Michael Clayton for 23 yards (tackle by Trumaine McBride)",0.000,0.480
OT,14:54,1,10,TAM 23,24,24,Brian Griese pass incomplete deep left intended for Michael Clayton,0.480,-0.070
OT,14:49,2,10,TAM 23,24,24,Warrick Dunn left guard for 11 yards (tackle by Tommie Harris),-0.070,1.200
OT,14:18,1,10,TAM 34,24,24,Brian Griese pass complete short right to Maurice Stovall for 8 yards (tackle by Charles Tillman),1.200,1.740
OT,13:49,2,2,TAM 42,24,24,Warrick Dunn right tackle for 3 yards (tackle by Hunter Hillenmeyer and Charles Tillman),1.740,1.930
OT,13:18,1,10,TAM 45,24,24,Brian Griese pass complete short left to Alex Smith for 9 yards (tackle by Hunter Hillenmeyer),1.930,2.600
OT,12:46,2,1,CHI 46,24,24,Brian Griese pass complete short left to Antonio Bryant for 7 yards (tackle by Charles Tillman),2.600,2.980
OT,12:09,1,10,CHI 39,24,24,"Brian Griese pass incomplete. Penalty on Brian Griese: Intentional Grounding, 10 yards",2.980,1.090
OT,12:03,2,20,CHI 49,24,24,Brian Griese pass incomplete short left intended for Maurice Stovall (defended by Mike Brown),1.090,0.430
OT,11:58,3,20,CHI 49,24,24,Brian Griese pass incomplete short left intended for Alex Smith (defended by Mark Anderson),0.430,0.000
OT,11:55,4,20,CHI 49,24,24,"Josh Bidwell punts 35 yards, fair catch by Nathan Vasher",0.000,0.280
OT,11:47,1,10,CHI 14,24,24,Matt Forte left end for 5 yards (tackle by Jermaine Phillips),-0.280,-0.040
OT,11:09,2,5,CHI 19,24,24,Matt Forte right guard for 1 yard (tackle by Chris Hovan),-0.040,-0.680
OT,10:29,3,4,CHI 20,24,24,Kyle Orton pass complete short right to Brandon Lloyd for 24 yards (tackle by Marcus Hamilton),-0.680,1.860
OT,9:54,1,10,CHI 44,24,24,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",1.860,1.530
OT,9:38,1,15,CHI 39,24,24,Matt Forte right guard for 8 yards (tackle by Jermaine Phillips),1.530,1.720
OT,8:59,2,7,CHI 47,24,24,Kyle Orton pass incomplete short left intended for Matt Forte,1.720,1.030
OT,8:55,3,7,CHI 47,24,24,Kyle Orton pass incomplete deep middle intended for Rashied Davis,1.030,-0.260
OT,8:50,4,7,CHI 47,24,24,Brad Maynard punts 46 yards,-0.260,0.380
OT,8:42,1,10,TAM 7,24,24,Brian Griese pass incomplete short right intended for Alex Smith,-0.380,-0.780
OT,8:37,2,10,TAM 7,24,24,Warrick Dunn right guard for 1 yard (tackle by Lance Briggs),-0.780,-1.300
OT,8:00,3,9,TAM 8,24,24,"Brian Griese pass complete short left to Jerramy Stevens for 2 yards (tackle by Danieal Manning). Penalty on Charles Tillman: Unnecessary Roughness, 15 yards",-1.300,0.610
OT,7:22,1,10,TAM 25,24,24,Earnest Graham left guard for 5 yards (tackle by Brian Urlacher),0.610,0.740
OT,6:49,2,5,TAM 30,24,24,Brian Griese pass incomplete short middle intended for John Gilmore (defended by Lance Briggs),0.740,0.040
OT,6:43,3,5,TAM 30,24,24,"Penalty on Michael Clayton: False Start, 5 yards (no play)",0.040,-0.620
OT,6:43,3,10,TAM 25,24,24,Brian Griese pass complete short left to Michael Clayton for 17 yards (tackle by Brian Urlacher),-0.620,1.730
OT,6:20,1,10,TAM 42,24,24,Brian Griese pass complete short left to Warrick Dunn for 9 yards (tackle by Lance Briggs),1.730,2.400
OT,6:09,,,,24,24,Timeout #1 by Chicago Bears,0.000,2.400
OT,6:09,2,1,CHI 49,24,24,Earnest Graham left guard for 5 yards (tackle by Corey Graham),2.400,2.650
OT,5:33,1,10,CHI 44,24,24,Brian Griese pass incomplete short right intended for Antonio Bryant,2.650,2.110
OT,5:29,2,10,CHI 44,24,24,Brian Griese pass complete deep left to Antonio Bryant for 38 yards (tackle by Nathan Vasher). Penalty on Israel Idonije: Defensive Offside (Declined),2.110,5.830
OT,5:06,1,6,CHI 6,24,24,Earnest Graham right guard for 3 yards (tackle by Corey Graham),5.830,5.530
OT,4:24,2,3,CHI 3,27,24,Matt Bryant 21 yard field goal good,5.530,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
