Unnamed: 0,TAM,CHI
First Downs,28,21
Rush-Yds-TDs,17-47-0,37-158-0
Cmp-Att-Yd-TD-INT,38-67-407-2-3,22-34-268-2-2
Sacked-Yards,0-0,3-21
Net Pass Yards,407,247
Total Yards,454,405
Fumbles-Lost,1-1,0-0
Turnovers,4,2
Penalties-Yards,6-61,8-64
Third Down Conv.,6-16,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,31:22,39:17
