#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:04,TAM 15,4,1:21,-7,Field Goal
2,1,11:05,CHI 23,10,4:55,52,Field Goal
3,1,1:50,CHI 48,3,1:37,-1,Punt
4,2,14:47,TAM 38,2,0:47,4,Interception
5,2,12:02,CHI 26,3,2:10,9,Punt
6,2,8:22,CHI 28,5,2:56,23,Interception
7,2,5:26,CHI 24,11,5:26,66,Field Goal
8,3,15:00,CHI 32,3,1:38,5,Punt
9,3,12:04,CHI 47,3,1:03,5,Punt
10,3,7:14,CHI 14,8,4:20,86,Touchdown
11,3,1:07,CHI 10,10,5:00,59,Missed FG
12,4,10:08,CHI 46,6,3:30,54,Touchdown
13,4,3:11,CHI 20,3,1:22,8,Punt
14,4,0:07,CHI 28,1,0:07,-1,End of Half
15,5,11:47,CHI 14,6,3:05,33,Punt
