Quarter,Time,Tm,Detail,BUF,JAX
1.0,8:00,Bills,Marshawn Lynch 11 yard rush (Rian Lindell kick),7,0
2.0,13:22,Jaguars,Josh Scobee 28 yard field goal,7,3
,6:21,Bills,Rian Lindell 21 yard field goal,10,3
3.0,9:31,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),10,10
,6:06,Jaguars,Josh Scobee 50 yard field goal,10,13
4.0,14:31,Jaguars,Josh Scobee 39 yard field goal,10,16
,4:10,Bills,James Hardy 7 yard pass from Trent Edwards (Rian Lindell kick),17,16
,0:24,Bills,Rian Lindell 45 yard field goal,20,16
