Unnamed: 0,BUF,JAX
First Downs,18,18
Rush-Yds-TDs,26-75-1,27-98-1
Cmp-Att-Yd-TD-INT,20-25-239-1-0,17-28-165-0-1
Sacked-Yards,3-29,2-20
Net Pass Yards,210,145
Total Yards,285,243
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,4-40,5-35
Third Down Conv.,6-11,2-11
Fourth Down Conv.,0-0,2-2
Time of Possession,31:14,28:46
