Quarter,Time,Tm,Detail,STL,MIA
1.0,7:29,Dolphins,Sammy Morris 8 yard rush (Matt Bryant kick),0,7
2.0,5:19,Rams,Marc Bulger 15 yard rush (Jeff Wilkins kick),7,7
,0:22,Dolphins,Randy McMichael 42 yard pass from Jay Fiedler (Matt Bryant kick),7,14
4.0,14:21,Dolphins,Travis Minor 13 yard rush (Matt Bryant kick),7,21
,8:47,Dolphins,Matt Bryant 43 yard field goal,7,24
,4:51,Rams,Shaun McDonald 15 yard pass from Marc Bulger (Jeff Wilkins kick),14,24
,4:24,Dolphins,Chris Chambers 71 yard pass from Jay Fiedler (Matt Bryant kick),14,31
