Unnamed: 0,STL,MIA
First Downs,20,19
Rush-Yds-TDs,19-103-1,34-117-2
Cmp-Att-Yd-TD-INT,23-40-295-1-1,14-18-251-2-0
Sacked-Yards,3-26,6-45
Net Pass Yards,269,206
Total Yards,372,323
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-63,4-37
Third Down Conv.,2-13,7-13
Fourth Down Conv.,4-5,1-1
Time of Possession,29:01,30:59
