Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Matt Bryant kicks off 71 yards, returned by Dwight Anderson for 25 yards (tackle by Eddie Moore)",0.000,0.540
1,14:55,1,10,STL 24,0,0,Marshall Faulk left guard for 18 yards (tackle by David Bowens),0.540,1.730
1,14:17,1,10,STL 42,0,0,Marc Bulger pass complete to Marshall Faulk for 11 yards (tackle by Zach Thomas),1.730,2.460
1,13:31,1,10,MIA 47,0,0,Isaac Bruce pass incomplete intended for Torry Holt,2.460,1.910
1,13:22,2,10,MIA 47,0,0,Steven Jackson left guard for 3 yards (tackle by Bryan Robinson and David Bowens),1.910,1.620
1,12:42,3,7,MIA 44,0,0,Marc Bulger pass incomplete intended for Shaun McDonald (defended by Dario Romero),1.620,0.330
1,12:37,4,7,MIA 44,0,0,"Sean Landeta punts 29 yards, muffed catch by Wes Welker, ball out of bounds at MIA-14",0.330,0.280
1,12:28,1,10,MIA 14,0,0,Jay Fiedler pass complete to Marty Booker for 11 yards (tackle by Pisa Tinoisamoa),-0.280,0.610
1,11:48,1,10,MIA 25,0,0,Jay Fiedler pass incomplete intended for Chris Chambers,0.610,0.060
1,11:42,2,10,MIA 25,0,0,Sammy Morris up the middle for 2 yards (tackle by Adam Archuleta),0.060,-0.360
1,11:02,3,8,MIA 27,0,0,Jay Fiedler sacked by Bryce Fisher for -7 yards,-0.360,-2.030
1,10:36,4,15,MIA 20,0,0,"Matt Turk punts 51 yards, fair catch by Shaun McDonald",-2.030,-0.870
1,10:27,1,10,STL 29,0,0,Marshall Faulk left guard for 3 yards (tackle by David Bowens and Zach Thomas),0.870,0.730
1,9:48,2,7,STL 32,0,0,Marc Bulger pass incomplete intended for Cam Cleeland (defended by Junior Seau),0.730,0.040
1,9:42,3,7,STL 32,0,0,Marc Bulger pass incomplete intended for Dane Looker,0.040,-1.240
1,9:37,4,7,STL 32,0,0,Sean Landeta punts 37 yards,-1.240,-1.000
1,9:29,1,10,MIA 31,0,0,Jay Fiedler pass complete to Chris Chambers for 9 yards (tackle by Travis Fisher),1.000,1.680
1,9:03,2,1,MIA 40,0,0,Sammy Morris right end for 4 yards (tackle by Jerametrius Butler and Leonard Little),1.680,1.860
1,8:24,1,10,MIA 44,0,0,Marty Booker pass complete to Chris Chambers for 48 yards,1.860,5.370
1,7:35,1,8,STL 8,0,6,"Sammy Morris left end for 8 yards, touchdown",5.370,7.000
1,,,,STL 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,MIA 30,0,7,"Matt Bryant kicks off 71 yards, returned by Dwight Anderson for 15 yards (tackle by Reggie Howard)",0.000,-0.280
1,7:24,1,10,STL 14,0,7,Marc Bulger pass complete to Isaac Bruce for 17 yards (tackle by Sammy Knight),-0.280,1.000
1,6:41,1,10,STL 31,0,7,Marc Bulger pass complete to Isaac Bruce for 15 yards (tackle by Sammy Knight),1.000,1.990
1,5:56,1,10,STL 46,0,7,Marc Bulger sacked by Jeff Zgonina for -9 yards,1.990,0.240
1,5:19,2,19,STL 37,0,7,Steven Jackson up the middle for 4 yards (tackle by Zach Thomas and Junior Seau),0.240,0.100
1,4:34,3,15,STL 41,0,7,Marc Bulger pass complete to Steven Jackson for 7 yards (tackle by Reggie Howard),0.100,-0.190
1,3:53,4,8,STL 48,0,7,"Sean Landeta punts 36 yards, returned by Wes Welker for no gain. Penalty on Donald Lee: Offensive Holding, 7 yards",-0.190,0.380
1,3:43,1,10,MIA 9,0,7,Sammy Morris up the middle for no gain (tackle by Trev Faulk),-0.380,-0.780
1,3:04,2,10,MIA 9,0,7,"Sammy Morris right tackle for 9 yards (tackle by Jerametrius Butler). Penalty on Tommy Polley: Face Mask (15 Yards), 15 yards",-0.780,1.140
1,2:37,1,10,MIA 33,0,7,Sammy Morris right guard for 4 yards (tackle by Trev Faulk and Bryce Fisher),1.140,1.130
1,1:56,2,6,MIA 37,0,7,Jay Fiedler pass complete to Randy McMichael for 14 yards (tackle by Tommy Polley),1.130,2.320
1,1:10,1,10,STL 49,0,7,Travis Minor right guard for 3 yards (tackle by Pisa Tinoisamoa),2.320,2.190
1,0:30,2,7,STL 46,0,7,Jay Fiedler pass incomplete intended for Marty Booker,2.190,1.490
1,0:25,3,7,STL 46,0,7,Jay Fiedler pass complete to Marty Booker for 9 yards (tackle by Travis Fisher),1.490,3.120
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 37,0,7,Sammy Morris right end for 4 yards (tackle by Adam Archuleta and Trev Faulk),3.120,3.110
2,14:34,2,6,STL 33,0,7,Sammy Morris up the middle for 5 yards (tackle by Damione Lewis and Tommy Polley),3.110,3.070
2,13:52,3,1,STL 28,0,7,Sammy Morris sacked by Adam Archuleta and Tommy Polley for -9 yards,3.070,0.790
2,13:13,4,10,STL 37,0,7,Penalty on Matt Turk: Delay of Game (Declined),0.790,0.790
2,12:59,4,10,STL 37,0,7,"Matt Turk punts 37 yards, touchback",0.790,-0.280
2,12:48,1,10,STL 20,0,7,Marshall Faulk right end for 5 yards (tackle by Zach Thomas),0.280,0.410
2,12:07,2,5,STL 25,0,7,Marshall Faulk right end for 4 yards (tackle by Zach Thomas and Arturo Freeman),0.410,0.230
2,11:28,3,1,STL 29,0,7,"Marshall Faulk left end for -1 yards (tackle by Yeremiah Bell). Penalty on Tim Bowens: Defensive Holding, 5 yards",0.230,1.140
2,11:03,1,10,STL 33,0,7,Steven Jackson right end for 4 yards (tackle by Sammy Knight and Jay Williams),1.140,1.130
2,10:11,2,6,STL 37,0,7,Marc Bulger pass complete to Cam Cleeland for 5 yards (tackle by Morlon Greenwood),1.130,1.090
2,9:36,3,1,STL 42,0,7,Steven Jackson left guard for 5 yards (tackle by Junior Seau),1.090,2.060
2,9:02,1,10,STL 47,0,7,Marc Bulger pass complete to Marshall Faulk for 8 yards (tackle by Patrick Surtain),2.060,2.600
2,8:16,2,2,MIA 45,0,7,Marshall Faulk right end for 3 yards (tackle by Jason Taylor),2.600,2.790
2,7:32,1,10,MIA 42,0,7,Marshall Faulk right end for 8 yards (tackle by Patrick Surtain),2.790,3.320
2,6:51,2,2,MIA 34,0,7,Marc Bulger pass complete to Joey Goodspeed for 10 yards (tackle by Junior Seau),3.320,3.970
2,6:23,1,10,MIA 24,0,7,Marc Bulger pass incomplete intended for Torry Holt (defended by Arturo Freeman),3.970,3.430
2,6:15,2,10,MIA 24,0,7,Marc Bulger pass incomplete intended for Kevin Curtis (defended by Patrick Surtain),3.430,2.740
2,6:10,3,10,MIA 24,0,7,Marc Bulger pass complete to Dane Looker for 9 yards (tackle by Patrick Surtain),2.740,2.590
2,5:23,,,,0,7,Timeout #1 by St. Louis Rams,0.000,2.590
2,5:23,4,1,MIA 15,6,7,"Marc Bulger up the middle for 15 yards, touchdown",2.590,7.000
2,,,,MIA 2,7,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,7,7,"Jeff Wilkins kicks off 65 yards, returned by Wes Welker for 10 yards (tackle by Anthony Hargrove). Penalty on Dario Romero: Unnecessary Roughness, 15 yards",0.000,2.460
2,5:07,1,10,STL 47,7,7,Jay Fiedler pass complete to Sammy Morris for 5 yards (tackle by Pisa Tinoisamoa),2.460,2.590
2,4:23,2,5,STL 42,7,7,Sammy Morris up the middle for 4 yards (tackle by Brian Howard and Adam Archuleta),2.590,2.410
2,3:23,3,1,STL 38,7,7,Sammy Morris up the middle for 2 yards (tackle by Adam Archuleta),2.410,3.180
