Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,CLE 20,0,0,Kelly Holcomb pass complete to William Green for 1 yard (tackle by Deshea Townsend),0.280,-0.130
1,14:27,1,10,CLE 20,,,Timeout #1 by Pittsburgh Steelers,0.280,-0.130
1,14:27,2,9,CLE 21,0,0,"Penalty on Kelly Holcomb: Delay of Game, 5 yards (no play)",-0.130,-0.940
1,14:27,2,14,CLE 16,0,0,Kelly Holcomb pass incomplete intended for Kevin Johnson,-0.940,-1.690
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
1,14:23,3,14,CLE 16,0,0,Kelly Holcomb pass complete to Kevin Johnson for 83 yards (tackle by Brent Alexander),-1.690,6.970
1,13:49,1,1,PIT 1,6,0,"William Green middle for 1 yard, touchdown",6.970,7.000
1,13:49,,,PIT 1,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,13:49,,,CLE 30,7,0,"Phil Dawson kicks off 59 yards, returned by Antwaan Randle El for 18 yards (tackle by Brant Boyer)",0.000,0.870
1,13:44,1,10,PIT 29,7,0,Amos Zereoue right end for 3 yards (tackle by Robert Griffith and Tyrone Rogers),0.870,0.730
1,13:02,2,7,PIT 32,7,0,Amos Zereoue right guard for 3 yards (tackle by Robert Griffith and Darren Hambrick),0.730,0.430
1,12:23,3,4,PIT 35,7,0,Tommy Maddox sacked by Kenard Lang for -9 yards,0.430,-1.630
1,11:58,4,13,PIT 26,7,0,"Tom Rouen punts 36 yards, returned by Dennis Northcutt for 11 yards (tackle by Chris Fuamatu-Ma'afala)",-1.630,-2.190
1,11:47,1,10,CLE 49,7,0,"Kelly Holcomb pass incomplete intended for Quincy Morgan. Penalty on Jason Gildon: Defensive Offside, 5 yards (no play)",2.190,2.920
1,11:43,1,5,PIT 46,7,0,William Green middle for -1 yards (tackle by Deshea Townsend),2.920,2.190
1,11:15,2,6,PIT 47,7,0,William Green right guard for 5 yards (tackle by Jason Gildon),2.190,2.150
1,10:39,3,1,PIT 42,7,0,William Green middle for -2 yards (tackle by Kendrell Bell and Lee Flowers),2.150,0.330
1,10:07,4,3,PIT 44,7,0,"Chris Gardocki punts 37 yards, fair catch by Antwaan Randle El",0.330,0.380
1,9:59,1,10,PIT 7,7,0,Tommy Maddox pass incomplete intended for Plaxico Burress,-0.380,-0.780
1,9:53,2,10,PIT 7,7,0,Amos Zereoue middle for 10 yards (tackle by Earl Little and Kenard Lang),-0.780,-0.060
1,9:07,1,10,PIT 17,7,0,Amos Zereoue right tackle for no gain (tackle by Dwayne Rudd),-0.060,-0.580
1,8:30,2,10,PIT 17,7,0,Tommy Maddox pass complete to Plaxico Burress for 22 yards,-0.580,1.530
1,8:03,1,10,PIT 39,7,0,Tommy Maddox pass complete to Plaxico Burress for 11 yards,1.530,2.260
1,7:38,1,10,,7,0,Amos Zereoue right tackle for 4 yards (tackle by Kevin Bentley and Gerard Warren),2.260,2.250
1,7:06,2,6,CLE 46,7,0,Chris Fuamatu-Ma'afala right tackle for 1 yard (tackle by Earl Holmes),2.250,1.690
1,6:29,3,5,CLE 45,7,0,Tommy Maddox pass incomplete intended for Antwaan Randle El,1.690,0.270
1,6:20,4,5,CLE 45,7,0,"Tom Rouen punts 27 yards, fair catch by Dennis Northcutt",0.270,-0.040
1,6:16,1,10,CLE 18,7,0,Kelly Holcomb pass complete to William Green for 7 yards (tackle by James Farrior),0.040,0.550
1,5:38,2,3,CLE 25,7,0,William Green middle for -1 yards (tackle by Casey Hampton),0.550,-0.400
1,4:59,3,4,CLE 24,7,0,Kelly Holcomb pass complete to Dennis Northcutt for 12 yards (tackle by Mike Logan),-0.400,1.330
1,4:30,1,10,CLE 36,7,0,William Green right end for 1 yard (tackle by James Farrior),1.330,0.930
1,4:04,2,9,CLE 37,7,0,Kelly Holcomb sacked by James Farrior for -5 yards,0.930,-0.430
1,3:29,3,14,CLE 32,7,0,Kelly Holcomb pass complete to Mark Campbell for 10 yards (tackle by Deshea Townsend),-0.430,-0.590
1,2:56,4,4,CLE 42,7,0,"Chris Gardocki punts 42 yards, returned by Antwaan Randle El for 10 yards (tackle by Brant Boyer). Penalty on Steve Heiden: Unnecessary Roughness, 15 yards",-0.590,-1.660
1,2:42,1,10,PIT 41,7,0,Amos Zereoue right guard for 36 yards (tackle by Robert Griffith and Daylon McCutcheon),1.660,4.040
1,1:59,1,10,CLE 23,7,0,Tommy Maddox pass incomplete intended for Hines Ward is intercepted by Daylon McCutcheon at CLE-3 and returned for 28 yards,4.040,-1.000
1,1:46,1,10,CLE 31,7,0,William Green middle for 2 yards (tackle by Aaron Smith),1.000,0.730
1,1:03,2,8,CLE 33,7,0,William Green right end for no gain (tackle by Kendrell Bell),0.730,0.040
1,0:12,3,8,CLE 33,7,0,"Penalty on Kelly Holcomb: Delay of Game, 5 yards (no play)",0.040,-0.630
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,CLE 28,7,0,Kelly Holcomb pass incomplete intended for Andre' Davis (defended by Deshea Townsend),-0.630,-1.500
2,14:52,4,13,CLE 28,7,0,"Chris Gardocki punts 41 yards, muffed catch by Antwaan Randle El, recovered by Chris Akins and returned for no gain",-1.500,3.450
2,14:44,1,10,PIT 32,13,0,"Kelly Holcomb pass complete to Dennis Northcutt for 32 yards, touchdown",3.450,7.000
2,14:44,,,PIT 32,14,0,Phil Dawson kicks extra point good,0.000,0.000
2,14:44,,,CLE 30,14,0,"Phil Dawson kicks off 59 yards, returned by Antwaan Randle El for 13 yards (tackle by Cedric Scott). Penalty on Chris Akins: Face Mask (15 Yards), 15 yards",0.000,1.530
2,14:38,1,10,PIT 39,14,0,Tommy Maddox pass complete to Hines Ward for 13 yards (tackle by Corey Fuller),1.530,2.390
2,14:04,1,10,CLE 48,14,0,Amos Zereoue middle for no gain (tackle by Orpheus Roye),2.390,1.850
2,13:28,2,10,CLE 48,14,0,Amos Zereoue middle for 4 yards (tackle by Earl Holmes and Tyrone Rogers),1.850,1.690
2,12:46,3,6,CLE 44,14,0,Tommy Maddox pass complete to Hines Ward for 19 yards (tackle by Robert Griffith),1.690,3.910
2,12:06,1,10,CLE 25,14,0,Amos Zereoue right tackle for no gain (tackle by Kenard Lang and Alvin McKinley),3.910,3.360
2,11:26,2,10,CLE 25,14,0,Tommy Maddox pass incomplete intended for Hines Ward is intercepted by Daylon McCutcheon at CLE-18 and returned for 13 yards,3.360,-1.000
2,11:18,1,10,CLE 31,14,0,William Green right guard for no gain (tackle by Jason Gildon),1.000,0.460
2,10:42,2,10,CLE 31,14,0,William Green right tackle for no gain (tackle by Jason Gildon),0.460,-0.230
2,9:57,3,10,CLE 31,14,0,Kelly Holcomb pass incomplete intended for Kevin Johnson,-0.230,-1.310
2,9:51,4,10,CLE 31,14,6,"Chris Gardocki punts 35 yards, returned by Antwaan Randle El for 66 yards, touchdown",-1.310,-7.000
2,9:35,,,CLE 31,14,7,Jeff Reed kicks extra point good,0.000,0.000
2,9:35,,,PIT 30,14,7,"Jeff Reed kicks off 45 yards, returned by Mark Campbell for 15 yards (tackle by Clark Haggans)",0.000,1.600
2,9:30,1,10,CLE 40,14,7,Kelly Holcomb pass incomplete intended for Mark Campbell (defended by Kendrell Bell),1.600,1.050
2,9:26,2,10,CLE 40,14,7,Kelly Holcomb pass complete to Quincy Morgan for 15 yards (tackle by Deshea Townsend),1.050,2.590
2,8:47,1,10,PIT 45,14,7,William Green left guard for -5 yards (tackle by Joey Porter),2.590,1.370
2,8:02,2,15,,14,7,Kelly Holcomb pass complete to Kevin Johnson for 14 yards (tackle by Dewayne Washington),1.370,2.540
2,7:16,3,1,PIT 36,14,7,William Green left guard for -4 yards (tackle by Kendrell Bell),2.540,0.590
2,6:46,4,5,PIT 40,14,7,"Chris Gardocki punts 40 yards, touchback",0.590,-0.280
2,6:38,1,10,PIT 20,14,7,Tommy Maddox sacked by Alvin McKinley for -5 yards,0.280,-1.070
2,6:06,2,15,PIT 15,14,7,Tommy Maddox pass complete to Hines Ward for 10 yards (tackle by Robert Griffith),-1.070,-0.300
2,5:26,3,5,PIT 25,14,7,Tommy Maddox pass incomplete intended for Antwaan Randle El,-0.300,-1.700
2,5:20,4,5,PIT 25,14,7,"Tom Rouen punts 34 yards, fair catch by Dennis Northcutt",-1.700,-1.660
2,5:13,1,10,CLE 41,14,7,Kelly Holcomb pass complete to Kevin Johnson for 29 yards,1.660,3.580
2,4:41,1,10,PIT 30,14,7,Kelly Holcomb pass incomplete intended for Andre' Davis (defended by Deshea Townsend),3.580,3.030
2,4:35,2,10,PIT 30,14,7,William Green middle for 5 yards (tackle by Joey Porter),3.030,3.010
2,3:58,3,5,PIT 25,14,7,Kelly Holcomb pass complete to Dennis Northcutt for 5 yards (tackle by Mike Logan and Lee Flowers),3.010,4.240
2,3:13,1,10,PIT 20,14,7,Kelly Holcomb pass complete to Darnell Sanders for 2 yards (tackle by Kendrell Bell),4.240,3.960
2,2:35,1,10,PIT 20,,,Timeout #2 by Pittsburgh Steelers,4.240,3.960
2,2:35,2,8,PIT 18,14,7,Kelly Holcomb pass complete to Jamel White for 17 yards (tackle by Lee Flowers),3.960,6.970
2,2:21,1,1,PIT 1,14,7,William Green middle for -3 yards (tackle by Dewayne Washington),6.970,5.340
2,2:00,2,4,PIT 4,14,7,(tackle by Joey Porter),5.340,2.490
2,1:16,3,19,PIT 19,14,7,Kelly Holcomb pass complete to Jamel White for 5 yards (tackle by Jason Gildon),2.490,2.510
2,0:53,3,19,PIT 19,,,Timeout #3 by Pittsburgh Steelers,2.490,2.510
2,0:53,4,14,PIT 14,17,7,Phil Dawson 31 yard field goal good,2.510,3.000
2,0:53,,,CLE 30,17,7,"Phil Dawson kicks off 40 yards, fair catch by Dan Kreider",0.000,0.940
2,0:49,1,10,PIT 30,17,7,Tommy Maddox pass complete to Plaxico Burress for 20 yards (tackle by Anthony Henry),0.940,2.260
2,0:43,1,10,,17,7,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Lewis Sanders),2.260,1.710
2,0:38,2,10,,17,7,Tommy Maddox pass complete to Terance Mathis for 15 yards (tackle by Brant Boyer),1.710,3.250
2,0:29,1,10,CLE 35,17,7,Tommy Maddox pass incomplete intended for Terance Mathis (defended by Anthony Henry),3.250,2.700
2,0:23,2,10,CLE 35,17,7,Tommy Maddox pass complete to Hines Ward for 6 yards (tackle by Lewis Sanders),2.700,2.810
2,0:07,3,4,CLE 29,17,7,Tommy Maddox spiked the ball,2.810,1.560
2,0:07,4,4,CLE 29,17,7,Jeff Reed 46 yard field goal no good,1.560,-1.400
2,0:02,1,10,CLE 37,17,7,Kelly Holcomb kneels for -1 yards,1.400,0.720
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,17,7,"Phil Dawson kicks off 47 yards, muffed catch by Hank Poteat, recovered by Hank Poteat and returned for no gain",0.000,0.870
3,15:00,1,10,PIT 29,17,7,Amos Zereoue right end for 5 yards (tackle by Darren Hambrick),0.870,1.000
3,14:12,2,5,PIT 34,17,7,Hines Ward left end for 4 yards (tackle by Robert Griffith and Darren Hambrick),1.000,0.830
3,13:46,3,1,PIT 38,17,7,Jerome Bettis left guard for -2 yards (tackle by Dwayne Rudd and Robert Griffith),0.830,-0.980
3,13:14,4,3,PIT 36,17,7,"Tom Rouen punts 37 yards, returned by Dennis Northcutt for 59 yards (tackle by Chris Hope)",-0.980,-4.650
3,13:00,1,10,PIT 14,17,7,Kelly Holcomb pass incomplete intended for Kevin Johnson,4.650,4.000
3,12:55,2,10,PIT 14,17,7,William Green right guard for -1 yards (tackle by Mike Logan),4.000,3.060
3,12:17,3,11,PIT 15,23,7,"Kelly Holcomb pass complete to Dennis Northcutt for 15 yards, touchdown",3.060,7.000
3,12:17,,,PIT 15,24,7,Phil Dawson kicks extra point good,0.000,0.000
3,12:17,,,CLE 30,24,7,"Phil Dawson kicks off 54 yards, returned by Hank Poteat for 18 yards (tackle by Lewis Sanders)",0.000,1.200
3,12:11,1,10,PIT 34,24,7,Tommy Maddox pass incomplete intended for Hines Ward,1.200,0.660
3,12:02,2,10,PIT 34,24,7,Antwaan Randle El right end for 3 yards (tackle by Kevin Bentley),0.660,0.370
3,11:25,3,7,PIT 37,24,7,Tommy Maddox pass incomplete intended for Terance Mathis,0.370,-0.910
3,11:20,4,7,PIT 37,24,7,"Tom Rouen punts 39 yards, fair catch by Dennis Northcutt",-0.910,-0.540
3,11:12,1,10,CLE 24,24,7,Kelly Holcomb pass incomplete intended for Quincy Morgan,0.540,0.000
3,11:05,2,10,CLE 24,24,7,Kelly Holcomb pass complete to Mark Campbell for 16 yards (tackle by Kendrell Bell and Brent Alexander),0.000,1.600
3,10:29,1,10,CLE 40,24,7,"Penalty on Kendrell Bell: Defensive Offside, 5 yards (no play)",1.600,2.330
3,10:12,1,5,CLE 45,24,7,William Green right guard for -3 yards (tackle by Jason Gildon and Lee Flowers),2.330,1.320
3,9:00,2,8,CLE 42,24,7,Kelly Holcomb pass complete to Quincy Morgan for 15 yards (tackle by Brent Alexander),1.320,2.720
3,8:43,1,10,PIT 43,24,7,William Green right tackle for 1 yard (tackle by Jason Gildon and Rodney Bailey),2.720,2.310
3,8:06,1,10,PIT 43,,,Timeout #1 by Cleveland Browns,2.720,2.310
3,8:06,2,9,PIT 42,24,7,Kelly Holcomb pass incomplete intended for Dennis Northcutt,2.310,1.620
3,8:02,3,9,PIT 42,24,7,"Kelly Holcomb pass incomplete intended for Kevin Johnson (defended by Dewayne Washington). Penalty on Mike Logan: Roughing the Passer, 15 yards (no play)",1.620,3.780
3,7:56,1,10,PIT 27,24,7,Kelly Holcomb pass incomplete intended for Kevin Johnson (defended by Dewayne Washington),3.780,3.230
3,7:50,2,10,PIT 27,24,7,"Penalty on Ross Verba: False Start, 5 yards (no play)",3.230,2.560
3,7:50,2,15,PIT 32,24,7,"Kelly Holcomb pass incomplete intended for Kevin Johnson is intercepted by Mike Logan at PIT-25 and returned for 14 yards. Penalty on Dewayne Washington: Offensive Holding, 10 yards",2.560,-0.870
3,7:35,1,10,PIT 29,24,7,Tommy Maddox pass complete to Jerame Tuman for 9 yards (tackle by Anthony Henry),0.870,1.540
3,7:18,2,1,PIT 38,24,7,Tommy Maddox pass complete to Jerame Tuman for 6 yards (tackle by Robert Griffith and Gerard Warren),1.540,1.860
3,6:52,1,10,PIT 44,24,7,Amos Zereoue right guard for 1 yard (tackle by Brant Boyer and Kenard Lang),1.860,1.450
3,6:25,2,9,PIT 45,24,7,Tommy Maddox right end for 8 yards (tackle by Alvin McKinley),1.450,1.820
3,5:54,3,1,CLE 47,24,7,Tommy Maddox pass complete to Antwaan Randle El for 5 yards (tackle by Kevin Bentley),1.820,2.790
3,5:27,1,10,CLE 42,24,7,Tommy Maddox pass complete to Hines Ward for 8 yards (tackle by Corey Fuller),2.790,3.320
3,4:59,2,2,CLE 34,24,7,Tommy Maddox pass complete to Hines Ward for 4 yards (tackle by Kevin Bentley),3.320,3.580
3,4:42,1,10,CLE 30,24,7,Tommy Maddox pass complete to Antwaan Randle El for 24 yards (tackle by Brant Boyer),3.580,5.830
3,4:01,1,6,CLE 6,24,7,Tommy Maddox pass incomplete intended for Antwaan Randle El,5.830,4.950
3,3:59,2,6,CLE 6,24,13,"Tommy Maddox pass complete to Plaxico Burress for 6 yards, touchdown",4.950,7.000
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,3:59,,,CLE 6,24,14,Jeff Reed kicks extra point good,0.000,0.000
3,3:59,,,PIT 30,24,14,"Jeff Reed kicks off 59 yards, returned by Andre' Davis for 19 yards (tackle by Chris Hope)",0.000,0.940
3,3:50,1,10,CLE 30,24,14,Kelly Holcomb pass complete to Andre' Davis for 43 yards (tackle by Lee Flowers),0.940,3.780
3,3:00,1,10,PIT 27,24,14,Kelly Holcomb pass complete to Mark Campbell for 5 yards (tackle by Kendrell Bell and Lee Flowers),3.780,3.910
3,2:16,2,5,PIT 22,24,14,William Green left end for 2 yards (tackle by Lee Flowers),3.910,3.470
3,1:44,3,3,PIT 20,24,14,Kelly Holcomb pass complete to Jamel White for 5 yards (tackle by Joey Porter),3.470,4.580
3,1:13,1,10,PIT 15,24,14,Kelly Holcomb right end for 4 yards (tackle by Kendrell Bell),4.580,4.640
3,0:24,1,10,PIT 15,,,Timeout #3 by Cleveland Browns,4.580,4.640
3,0:24,2,6,PIT 11,24,14,Dennis Northcutt right end for 5 yards (tackle by Deshea Townsend),4.640,4.900
Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,PIT 6,24,14,Kelly Holcomb pass incomplete intended for Jamel White,4.900,3.020
4,15:00,4,1,PIT 6,27,14,Phil Dawson 24 yard field goal good,3.020,3.000
4,15:00,,,CLE 30,27,14,"Phil Dawson kicks off 52 yards, returned by Hank Poteat for 17 yards (tackle by Brant Boyer)",0.000,1.270
4,14:52,1,10,PIT 35,27,14,Tommy Maddox pass complete to Antwaan Randle El for 20 yards (tackle by Brant Boyer),1.270,2.590
4,14:14,1,10,CLE 45,27,14,Tommy Maddox pass complete to Antwaan Randle El for 30 yards (tackle by Daylon McCutcheon),2.590,4.580
4,13:52,1,10,CLE 15,27,14,Amos Zereoue left end for 7 yards (tackle by Alvin McKinley and Brant Boyer),4.580,5.220
4,13:20,2,3,CLE 8,27,14,Tommy Maddox pass complete to Antwaan Randle El for 6 yards (tackle by Robert Griffith),5.220,5.530
4,12:34,2,3,CLE 3,27,20,"Tommy Maddox pass complete to Jerame Tuman for 3 yards, touchdown",5.530,7.000
4,12:34,,,CLE 3,27,21,Jeff Reed kicks extra point good,0.000,0.000
4,12:34,,,PIT 30,27,21,"Jeff Reed kicks off 43 yards, returned by Mark Campbell for 12 yards (tackle by Clark Haggans)",0.000,1.530
4,12:28,1,10,CLE 39,27,21,Kelly Holcomb pass complete to Dennis Northcutt for 18 yards (tackle by Deshea Townsend),1.530,2.720
4,11:55,1,10,PIT 43,27,21,William Green right guard for 23 yards (tackle by Joey Porter and Kimo von Oelhoffen),2.720,4.240
4,11:14,1,10,PIT 20,27,21,William Green left tackle for -2 yards (tackle by Joey Porter),4.240,3.420
4,10:31,2,12,PIT 22,27,21,Kelly Holcomb pass incomplete intended for Kevin Johnson,3.420,2.740
4,10:25,3,12,PIT 22,33,21,"Kelly Holcomb pass complete to Andre' Davis for 22 yards, touchdown",2.740,7.000
4,10:25,3,,PIT 22,33,21,"Two Point Attempt: Kelly Holcomb pass incomplete intended for Quincy Morgan, conversion fails",1.000,-1.000
4,10:25,,,CLE 30,33,21,"Phil Dawson kicks off 62 yards, returned by Hank Poteat for 20 yards (tackle by Andre King)",0.000,0.810
4,10:17,1,10,PIT 28,33,21,Amos Zereoue middle for no gain (tackle by Orpheus Roye and Lewis Sanders),0.810,0.260
4,9:43,2,10,PIT 28,33,21,Tommy Maddox pass complete to Chris Fuamatu-Ma'afala for 10 yards (tackle by Dwayne Rudd),0.260,1.470
4,9:22,1,10,PIT 38,33,21,Tommy Maddox sacked by Orpheus Roye for -10 yards,1.470,-0.430
4,9:08,2,20,PIT 28,33,21,Tommy Maddox pass incomplete intended for Terance Mathis,-0.430,-1.090
4,9:03,3,20,PIT 28,33,21,Tommy Maddox pass complete to Hines Ward for 10 yards (tackle by Kenard Lang and Corey Fuller),-1.090,-0.850
4,8:46,4,10,PIT 38,33,21,"Tom Rouen punts 39 yards, fair catch by Dennis Northcutt",-0.850,-0.480
4,8:40,1,10,CLE 23,33,21,William Green middle for no gain (tackle by Lee Flowers),0.480,-0.070
4,8:00,2,10,CLE 23,33,21,William Green left guard for 2 yards (tackle by Kendrell Bell and Casey Hampton),-0.070,-0.490
4,7:18,3,8,CLE 25,33,21,Kelly Holcomb pass complete to Jamel White for 11 yards (tackle by Hank Poteat),-0.490,1.330
4,6:36,1,10,CLE 36,33,21,William Green left guard for 5 yards (tackle by Joey Porter and Brent Alexander),1.330,1.470
4,5:52,2,5,CLE 41,33,21,William Green middle for 2 yards (tackle by Lee Flowers),1.470,1.030
4,5:44,2,5,CLE 41,,,Timeout #1 by Pittsburgh Steelers,1.470,1.030
4,5:44,3,3,CLE 43,33,21,Kelly Holcomb pass incomplete intended for Kevin Johnson,1.030,-0.520
4,5:37,4,3,CLE 43,33,21,"Chris Gardocki punts 35 yards, returned by Antwaan Randle El for 1 yard (tackle by Lewis Sanders)",-0.520,-0.480
4,5:30,1,10,PIT 23,33,21,Tommy Maddox pass incomplete intended for Chris Fuamatu-Ma'afala,0.480,-0.070
4,5:26,2,10,PIT 23,33,21,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Dwayne Rudd),-0.070,-0.760
4,5:22,3,10,PIT 23,33,21,Tommy Maddox pass complete to Terance Mathis for 14 yards (tackle by Corey Fuller),-0.760,1.400
4,4:57,1,10,PIT 37,33,21,Tommy Maddox pass complete to Chris Fuamatu-Ma'afala for 10 yards (tackle by Lewis Sanders),1.400,2.060
4,4:19,1,10,PIT 47,33,21,Tommy Maddox pass incomplete intended for Antwaan Randle El (defended by Earl Little),2.060,1.520
4,4:14,2,10,PIT 47,33,21,Tommy Maddox pass complete to Terance Mathis for 11 yards (tackle by Daylon McCutcheon),1.520,2.790
4,3:52,1,10,CLE 42,33,21,"Tommy Maddox sacked by Mark Word for -5 yards. Penalty on Dwayne Rudd: Defensive Holding, 5 yards (no play)",2.790,3.120
4,3:44,1,10,CLE 37,33,21,Tommy Maddox pass incomplete intended for Antwaan Randle El,3.120,2.570
4,3:38,2,10,CLE 37,33,21,"Tommy Maddox pass complete to Terance Mathis for 6 yards (tackle by Dwayne Rudd). Penalty on Lewis Sanders: Illegal Contact, 5 yards (no play)",2.570,3.450
4,3:30,1,10,CLE 32,33,21,"Tommy Maddox pass incomplete intended for Hines Ward. Penalty on Robert Griffith: Unnecessary Roughness, 15 yards (no play)",3.450,4.440
4,3:25,1,10,CLE 17,33,21,Tommy Maddox pass complete to Hines Ward for 12 yards (tackle by Corey Fuller),4.440,6.060
4,3:15,1,5,CLE 5,33,21,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Corey Fuller),6.060,5.150
4,3:11,2,5,CLE 5,33,27,"Tommy Maddox pass complete to Hines Ward for 5 yards, touchdown",5.150,7.000
4,3:11,,,CLE 5,33,28,Jeff Reed kicks extra point good,0.000,0.000
4,3:11,,,PIT 30,33,28,"Jeff Reed kicks off 62 yards, returned by Andre' Davis for 15 yards (tackle by Chris Hope)",0.000,0.480
