Quarter,Time,Tm,Detail,CLE,PIT
1.0,13:44,Browns,William Green 1 yard rush (Phil Dawson kick),7,0
2.0,14:38,Browns,Dennis Northcutt 32 yard pass from Kelly Holcomb (Phil Dawson kick),14,0
,9:35,Steelers,Antwaan Randle El 66 yard punt return (Jeff Reed kick),14,7
,0:49,Browns,Phil Dawson 31 yard field goal,17,7
3.0,12:11,Browns,Dennis Northcutt 15 yard pass from Kelly Holcomb (Phil Dawson kick),24,7
,3:50,Steelers,Plaxico Burress 6 yard pass from Tommy Maddox (Jeff Reed kick),24,14
4.0,14:52,Browns,Phil Dawson 24 yard field goal,27,14
,12:28,Steelers,Jerame Tuman 3 yard pass from Tommy Maddox (Jeff Reed kick),27,21
,10:17,Browns,Andre' Davis 22 yard pass from Kelly Holcomb (pass failed),33,21
,3:06,Steelers,Hines Ward 5 yard pass from Tommy Maddox (Jeff Reed kick),33,28
,0:54,Steelers,Chris Fuamatu-Ma'afala 3 yard rush (Jerame Tuman pass from Antwaan Randle El),33,36
